time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w
0.22794032,7,1240.77133031,201.53574682,1202.90554697,201.39005739,0.06809479,1.87151363,1.85896858,-0.09225234,-0.02748604,0.98809237,0.12003021
0.22794032,11,1573.38149495,205.55006769,1532.52164983,205.55265748,0.06809479,1.87151363,1.85896858,-0.09225234,-0.02748604,0.98809237,0.12003021
0.22794032,16,1126.78963718,300.72359837,1093.86023428,300.58438515,0.06809479,1.87151363,1.85896858,-0.09225234,-0.02748604,0.98809237,0.12003021
0.22794032,54,1333.37924432,301.93029920,1298.75049314,301.57862709,0.06809479,1.87151363,1.85896858,-0.09225234,-0.02748604,0.98809237,0.12003021
0.49794045,12,731.03384235,56.54953401,686.01156979,56.56277811,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247
0.49794045,16,1086.22687436,323.37317976,1053.61945164,323.43915819,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247
0.49794045,35,1738.57313196,834.64972787,1708.86373685,835.04513390,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247
0.49794045,36,1727.08161047,651.62386436,1698.17583363,652.07418857,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247
0.49794045,38,1271.28071912,471.23782702,1240.13823507,471.37773470,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247
0.49794045,40,1451.32419870,551.08956926,1420.01780526,551.13037986,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247
0.49794045,41,1504.67634514,689.39840942,1473.21222307,689.52689699,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247
0.49794045,42,1435.23118035,801.83217086,1402.32899283,801.86435904,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247
0.49794045,43,1640.83181462,687.66265380,1610.74163590,687.95541051,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247
0.49794045,54,1290.11346905,321.45076767,1256.13491913,321.44848202,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247
1.16794032,7,1187.82031394,222.80936318,1150.90957726,222.60840518,0.06173730,1.88872738,1.84829585,-0.09900588,-0.02769688,0.98774024,0.11746963
1.16794032,12,721.09610115,53.11273793,676.20122407,52.94962999,0.06173730,1.88872738,1.84829585,-0.09900588,-0.02769688,0.98774024,0.11746963
1.16794032,16,1079.40310555,321.56504922,1047.25716058,321.51631960,0.06173730,1.88872738,1.84829585,-0.09900588,-0.02769688,0.98774024,0.11746963
