time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w,cam_x,cam_y,cam_z,cam_rot_x,cam_rot_y,cam_rot_z,cam_w,valid_frame,gt_left_u,gt_left_v,gt_right_u,gt_right_v
0.22794032,7,1240.77133031,201.53574682,1202.90554697,201.39005739,0.06809479,1.87151363,1.85896858,-0.09225234,-0.02748604,0.98809237,0.12003021,0.11459777,2.01934340,1.84936413,-0.50834109,0.58185002,0.52125582,0.36239794,1.00000000,1212.48109868,205.34890231,1175.70577733,205.34890231
0.22794032,11,1573.38149495,205.55006769,1532.52164983,205.55265748,0.06809479,1.87151363,1.85896858,-0.09225234,-0.02748604,0.98809237,0.12003021,0.11459777,2.01934340,1.84936413,-0.50834109,0.58185002,0.52125582,0.36239794,1.00000000,1540.24125905,204.34221817,1501.22437713,204.34221817
0.22794032,16,1126.78963718,300.72359837,1093.86023428,300.58438515,0.06809479,1.87151363,1.85896858,-0.09225234,-0.02748604,0.98809237,0.12003021,0.11459777,2.01934340,1.84936413,-0.50834109,0.58185002,0.52125582,0.36239794,1.00000000,1103.69391749,304.37818833,1071.66120538,304.37818833
0.22794032,54,1333.37924432,301.93029920,1298.75049314,301.57862709,0.06809479,1.87151363,1.85896858,-0.09225234,-0.02748604,0.98809237,0.12003021,0.11459777,2.01934340,1.84936413,-0.50834109,0.58185002,0.52125582,0.36239794,1.00000000,1309.06327884,301.19719440,1275.40244699,301.19719440
0.49794045,12,731.03384235,56.54953401,686.01156979,56.56277811,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247,0.10187095,2.02246765,1.83415616,-0.51769521,0.58674773,0.50803472,0.36002708,1.00000000,729.92728655,76.35292281,685.71024872,76.35292281
0.49794045,16,1086.22687436,323.37317976,1053.61945164,323.43915819,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247,0.10187095,2.02246765,1.83415616,-0.51769521,0.58674773,0.50803472,0.36002708,1.00000000,1084.22559861,340.30247338,1052.33056831,340.30247338
0.49794045,35,1738.57313196,834.64972787,1708.86373685,835.04513390,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247,0.10187095,2.02246765,1.83415616,-0.51769521,0.58674773,0.50803472,0.36002708,1.00000000,1741.14208728,849.16850528,1711.99443975,849.16850528
0.49794045,36,1727.08161047,651.62386436,1698.17583363,652.07418857,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247,0.10187095,2.02246765,1.83415616,-0.51769521,0.58674773,0.50803472,0.36002708,1.00000000,1728.23815024,666.62563812,1700.11143545,666.62563812
0.49794045,38,1271.28071912,471.23782702,1240.13823507,471.37773470,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247,0.10187095,2.02246765,1.83415616,-0.51769521,0.58674773,0.50803472,0.36002708,1.00000000,1270.07341580,487.05857123,1239.59687600,487.05857123
0.49794045,40,1451.32419870,551.08956926,1420.01780526,551.13037986,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247,0.10187095,2.02246765,1.83415616,-0.51769521,0.58674773,0.50803472,0.36002708,1.00000000,1451.93806253,565.71660691,1421.10942547,565.71660691
