time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w,cam_x,cam_y,cam_z,cam_rot_x,cam_rot_y,cam_rot_z,cam_w,gt_left_u,gt_left_v,gt_right_u,gt_right_v
0.22794032,7,1240.77133031,201.53574682,1202.90554697,201.39005739,0.06809479,1.87151363,1.85896858,-0.09225234,-0.02748604,0.98809237,0.12003021,0.12996939,2.01601482,1.83119696,-0.50670464,0.57971019,0.52561335,0.36182469,1219.00527606,204.20689961,1182.21694776,204.20689961
0.22794032,11,1573.38149495,205.55006769,1532.52164983,205.55265748,0.06809479,1.87151363,1.85896858,-0.09225234,-0.02748604,0.98809237,0.12003021,0.12996939,2.01601482,1.83119696,-0.50670464,0.57971019,0.52561335,0.36182469,1547.69354649,204.45704316,1508.60849353,204.45704316
0.22794032,16,1126.78963718,300.72359837,1093.86023428,300.58438515,0.06809479,1.87151363,1.85896858,-0.09225234,-0.02748604,0.98809237,0.12003021,0.12996939,2.01601482,1.83119696,-0.50670464,0.57971019,0.52561335,0.36182469,1109.71696430,302.19510761,1077.69895179,302.19510761
0.22794032,54,1333.37924432,301.93029920,1298.75049314,301.57862709,0.06809479,1.87151363,1.85896858,-0.09225234,-0.02748604,0.98809237,0.12003021,0.12996939,2.01601482,1.83119696,-0.50670464,0.57971019,0.52561335,0.36182469,1315.30416490,299.92502524,1281.62952457,299.92502524
0.49794045,12,731.03384235,56.54953401,686.01156979,56.56277811,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247,0.11781458,2.01914041,1.81648861,-0.51611260,0.58463502,0.51243158,0.35950460,737.11371879,75.46100722,692.97347530,75.46100722
0.49794045,16,1086.22687436,323.37317976,1053.61945164,323.43915819,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247,0.11781458,2.01914041,1.81648861,-0.51611260,0.58463502,0.51243158,0.35950460,1090.06337951,338.06638898,1058.19399581,338.06638898
0.49794045,35,1738.57313196,834.64972787,1708.86373685,835.04513390,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247,0.11781458,2.01914041,1.81648861,-0.51611260,0.58463502,0.51243158,0.35950460,1744.20908313,848.59499803,1715.09327511,848.59499803
0.49794045,36,1727.08161047,651.62386436,1698.17583363,652.07418857,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247,0.11781458,2.01914041,1.81648861,-0.51611260,0.58463502,0.51243158,0.35950460,1733.15801069,666.21280131,1705.02341328,666.21280131
0.49794045,38,1271.28071912,471.23782702,1240.13823507,471.37773470,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247,0.11781458,2.01914041,1.81648861,-0.51611260,0.58463502,0.51243158,0.35950460,1275.17750501,485.20758392,1244.72675712,485.20758392
0.49794045,40,1451.32419870,551.08956926,1420.01780526,551.13037986,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247,0.11781458,2.01914041,1.81648861,-0.51611260,0.58463502,0.51243158,0.35950460,1456.70582153,564.60081984,1425.89486816,564.60081984
0.49794045,41,1504.67634514,689.39840942,1473.21222307,689.52689699,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247,0.11781458,2.01914041,1.81648861,-0.51611260,0.58463502,0.51243158,0.35950460,1510.56180438,702.22817824,1479.56149223,702.22817824
0.49794045,42,1435.23118035,801.83217086,1402.32899283,801.86435904,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247,0.11781458,2.01914041,1.81648861,-0.51611260,0.58463502,0.51243158,0.35950460,1440.77633649,814.51514523,1408.22376527,814.51514523
0.49794045,43,1640.83181462,687.66265380,1610.74163590,687.95541051,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247,0.11781458,2.01914041,1.81648861,-0.51611260,0.58463502,0.51243158,0.35950460,1647.54353878,702.18649485,1618.16055821,702.18649485
