time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w,cam_x,cam_y,cam_z,cam_rot_x,cam_rot_y,cam_rot_z,cam_w,gt_left_u,gt_left_v,gt_right_u,gt_right_v
0.22794032,7,1240.77133031,201.53574682,1202.90554697,201.39005739,0.06809479,1.87151363,1.85896858,-0.09225234,-0.02748604,0.98809237,0.12003021,0.12996939,2.01601482,1.83119696,-0.41321073,0.60756614,-0.47577725,0.48348349,-675.76318097,5557.08055280,-846.34859588,5557.08055280
0.22794032,11,1573.38149495,205.55006769,1532.52164983,205.55265748,0.06809479,1.87151363,1.85896858,-0.09225234,-0.02748604,0.98809237,0.12003021,0.12996939,2.01601482,1.83119696,-0.41321073,0.60756614,-0.47577725,0.48348349,251.86027919,2638.75332814,176.75225154,2638.75332814
0.22794032,16,1126.78963718,300.72359837,1093.86023428,300.58438515,0.06809479,1.87151363,1.85896858,-0.09225234,-0.02748604,0.98809237,0.12003021,0.12996939,2.01601482,1.83119696,-0.41321073,0.60756614,-0.47577725,0.48348349,-1176.80039674,9784.59090279,-1450.94533467,9784.59090279
0.22794032,54,1333.37924432,301.93029920,1298.75049314,301.57862709,0.06809479,1.87151363,1.85896858,-0.09225234,-0.02748604,0.98809237,0.12003021,0.12996939,2.01601482,1.83119696,-0.41321073,0.60756614,-0.47577725,0.48348349,108.05273479,4073.77379057,-1.51872023,4073.77379057
0.49794045,12,731.03384235,56.54953401,686.01156979,56.56277811,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247,0.11781458,2.01914041,1.81648861,-0.40735456,0.60923162,-0.48838295,0.47368892,2914.42674448,-4007.85183462,3102.80924357,-4007.85183462
0.49794045,16,1086.22687436,323.37317976,1053.61945164,323.43915819,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247,0.11781458,2.01914041,1.81648861,-0.40735456,0.60923162,-0.48838295,0.47368892,-1179.05565321,11392.49813800,-1499.44958226,11392.49813800
0.49794045,35,1738.57313196,834.64972787,1708.86373685,835.04513390,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247,0.11781458,2.01914041,1.81648861,-0.40735456,0.60923162,-0.48838295,0.47368892,1329.32568250,2078.19257853,1288.81306146,2078.19257853
0.49794045,36,1727.08161047,651.62386436,1698.17583363,652.07418857,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247,0.11781458,2.01914041,1.81648861,-0.40735456,0.60923162,-0.48838295,0.47368892,1079.00799287,2107.15744208,1039.03707577,2107.15744208
0.49794045,38,1271.28071912,471.23782702,1240.13823507,471.37773470,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247,0.11781458,2.01914041,1.81648861,-0.40735456,0.60923162,-0.48838295,0.47368892,687.83792763,4495.64364507,577.01343505,4495.64364507
0.49794045,40,1451.32419870,551.08956926,1420.01780526,551.13037986,0.05699793,1.87415597,1.84408603,-0.10731379,-0.02426997,0.98752412,0.11265247,0.11781458,2.01914041,1.81648861,-0.40735456,0.60923162,-0.48838295,0.47368892,950.34564371,2996.81315985,881.11413462,2996.81315985
