time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w
0.00051228,6,1360.92455774,84.68333151,1320.43964196,84.81115954,-2.46855496,-0.97140133,2.07673203,-0.21351673,0.09540933,0.95887253,0.16084472
0.00051228,24,1430.61347892,529.22441871,1393.07636316,529.40484577,-2.46855496,-0.97140133,2.07673203,-0.21351673,0.09540933,0.95887253,0.16084472
0.00051228,35,1095.53409102,708.68401681,1047.85877554,708.83073064,-2.46855496,-0.97140133,2.07673203,-0.21351673,0.09540933,0.95887253,0.16084472
0.00051228,38,213.62034473,349.66388013,166.65328370,349.44586545,-2.46855496,-0.97140133,2.07673203,-0.21351673,0.09540933,0.95887253,0.16084472
0.00051228,40,472.69095611,387.19098029,424.73180616,387.31878888,-2.46855496,-0.97140133,2.07673203,-0.21351673,0.09540933,0.95887253,0.16084472
0.00051228,41,588.54941871,572.23730302,539.23041843,572.32975171,-2.46855496,-0.97140133,2.07673203,-0.21351673,0.09540933,0.95887253,0.16084472
0.00051228,42,439.91692669,773.55684101,386.34305894,773.83844723,-2.46855496,-0.97140133,2.07673203,-0.21351673,0.09540933,0.95887253,0.16084472
0.00051228,43,874.41589572,519.64461849,827.60704875,519.78342597,-2.46855496,-0.97140133,2.07673203,-0.21351673,0.09540933,0.95887253,0.16084472
0.00051228,44,1696.06845705,363.28041816,1656.32354828,363.56862328,-2.46855496,-0.97140133,2.07673203,-0.21351673,0.09540933,0.95887253,0.16084472
0.00051228,47,1558.48584601,741.15266874,1517.80363600,741.30815813,-2.46855496,-0.97140133,2.07673203,-0.21351673,0.09540933,0.95887253,0.16084472
0.27051215,6,1348.96569446,83.60054686,1308.19217468,83.87630311,-2.47730732,-0.97033252,2.07210293,-0.21583333,0.09902798,0.95888182,0.15541789
0.27051215,24,1417.43236768,528.34382779,1379.96745883,528.58810977,-2.47730732,-0.97033252,2.07210293,-0.21583333,0.09902798,0.95888182,0.15541789
0.27051215,35,1083.84802499,709.96884929,1036.02244593,710.19591502,-2.47730732,-0.97033252,2.07210293,-0.21583333,0.09902798,0.95888182,0.15541789
0.27051215,38,195.22074331,349.74912386,147.59032523,349.78913510,-2.47730732,-0.97033252,2.07210293,-0.21583333,0.09902798,0.95888182,0.15541789
0.27051215,40,457.86346848,387.76289544,409.29799830,387.86763208,-2.47730732,-0.97033252,2.07210293,-0.21583333,0.09902798,0.95888182,0.15541789
0.27051215,41,574.60861346,574.40284400,524.70695795,574.61324582,-2.47730732,-0.97033252,2.07210293,-0.21583333,0.09902798,0.95888182,0.15541789
0.27051215,42,424.32688716,779.23596232,370.01530465,779.67468007,-2.47730732,-0.97033252,2.07210293,-0.21583333,0.09902798,0.95888182,0.15541789
0.27051215,43,861.97931240,520.42142543,815.09612616,520.68065770,-2.47730732,-0.97033252,2.07210293,-0.21583333,0.09902798,0.95888182,0.15541789
0.27051215,44,1680.09489360,362.29964641,1640.37832310,362.66262378,-2.47730732,-0.97033252,2.07210293,-0.21583333,0.09902798,0.95888182,0.15541789
0.27051215,47,1544.53721980,739.80596891,1504.18047233,740.15933673,-2.47730732,-0.97033252,2.07210293,-0.21583333,0.09902798,0.95888182,0.15541789
0.41051241,6,1340.02788443,89.02342025,1299.60716688,89.25273753,-2.48405604,-0.96841807,2.06663658,-0.21851728,0.09998004,0.95878689,0.15159775
0.41051241,24,1410.91197844,533.23081573,1373.40379345,533.46274529,-2.48405604,-0.96841807,2.06663658,-0.21851728,0.09998004,0.95878689,0.15159775
0.41051241,35,1078.42663217,716.62379114,1030.51866892,716.79829680,-2.48405604,-0.96841807,2.06663658,-0.21851728,0.09998004,0.95878689,0.15159775
0.41051241,38,183.25301450,357.26416922,135.46437602,357.17850876,-2.48405604,-0.96841807,2.06663658,-0.21851728,0.09998004,0.95878689,0.15159775
0.41051241,40,448.49908258,394.81906321,399.63431241,395.03040919,-2.48405604,-0.96841807,2.06663658,-0.21851728,0.09998004,0.95878689,0.15159775
0.41051241,41,566.27825211,582.14754927,516.39023787,582.35101454,-2.48405604,-0.96841807,2.06663658,-0.21851728,0.09998004,0.95878689,0.15159775
0.41051241,42,414.86297527,789.31773572,360.14218097,789.54110618,-2.48405604,-0.96841807,2.06663658,-0.21851728,0.09998004,0.95878689,0.15159775
