time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w,cam_x,cam_y,cam_z,cam_rot_x,cam_rot_y,cam_rot_z,cam_w,gt_left_u,gt_left_v,gt_right_u,gt_right_v
0.00051228,6,1360.92455774,84.68333151,1320.43964196,84.81115954,-2.46855496,-0.97140133,2.07673203,-0.21351673,0.09540933,0.95887253,0.16084472,-2.38248092,-0.84577294,2.02890204,-0.25671337,0.61094952,-0.56371711,0.49301314,151.68069015,3906.09886924,35.32960266,3906.09886924
0.00051228,24,1430.61347892,529.22441871,1393.07636316,529.40484577,-2.46855496,-0.97140133,2.07673203,-0.21351673,0.09540933,0.95887253,0.16084472,-2.38248092,-0.84577294,2.02890204,-0.25671337,0.61094952,-0.56371711,0.49301314,1347.78656696,3204.71111112,1256.92038788,3204.71111112
0.00051228,35,1095.53409102,708.68401681,1047.85877554,708.83073064,-2.46855496,-0.97140133,2.07673203,-0.21351673,0.09540933,0.95887253,0.16084472,-2.38248092,-0.84577294,2.02890204,-0.25671337,0.61094952,-0.56371711,0.49301314,2297.74953966,21013.99683827,1473.48030457,21013.99683827
0.00051228,38,213.62034473,349.66388013,166.65328370,349.44586545,-2.46855496,-0.97140133,2.07673203,-0.21351673,0.09540933,0.95887253,0.16084472,-2.38248092,-0.84577294,2.02890204,-0.25671337,0.61094952,-0.56371711,0.49301314,954.37971751,-937.06432696,1017.30108298,-937.06432696
0.00051228,40,472.69095611,387.19098029,424.73180616,387.31878888,-2.46855496,-0.97140133,2.07673203,-0.21351673,0.09540933,0.95887253,0.16084472,-2.38248092,-0.84577294,2.02890204,-0.25671337,0.61094952,-0.56371711,0.49301314,887.04988706,-1685.00619853,986.26477391,-1685.00619853
0.00051228,41,588.54941871,572.23730302,539.23041843,572.32975171,-2.46855496,-0.97140133,2.07673203,-0.21351673,0.09540933,0.95887253,0.16084472,-2.38248092,-0.84577294,2.02890204,-0.25671337,0.61094952,-0.56371711,0.49301314,378.14759879,-2274.98489620,510.44165066,-2274.98489620
0.00051228,42,439.91692669,773.55684101,386.34305894,773.83844723,-2.46855496,-0.97140133,2.07673203,-0.21351673,0.09540933,0.95887253,0.16084472,-2.38248092,-0.84577294,2.02890204,-0.25671337,0.61094952,-0.56371711,0.49301314,136.56977022,-1438.05718245,240.81509738,-1438.05718245
0.00051228,43,874.41589572,519.64461849,827.60704875,519.78342597,-2.46855496,-0.97140133,2.07673203,-0.21351673,0.09540933,0.95887253,0.16084472,-2.38248092,-0.84577294,2.02890204,-0.25671337,0.61094952,-0.56371711,0.49301314,-561.51137360,-9563.93043226,-124.00832022,-9563.93043226
0.00051228,44,1696.06845705,363.28041816,1656.32354828,363.56862328,-2.46855496,-0.97140133,2.07673203,-0.21351673,0.09540933,0.95887253,0.16084472,-2.38248092,-0.84577294,2.02890204,-0.25671337,0.61094952,-0.56371711,0.49301314,943.39826793,2259.35525249,884.03643124,2259.35525249
0.00051228,47,1558.48584601,741.15266874,1517.80363600,741.30815813,-2.46855496,-0.97140133,2.07673203,-0.21351673,0.09540933,0.95887253,0.16084472,-2.38248092,-0.84577294,2.02890204,-0.25671337,0.61094952,-0.56371711,0.49301314,1652.77076608,2540.91590878,1576.99955529,2540.91590878
