time_s,orientation_x,orientation_y,orientation_z,orientation_w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity_x,angular_velocity_y,angular_velocity_z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8,x,y,z,w,rot_x,rot_y,rot_z
0.11419241,0.58711845,0.79379255,-0.13813619,0.07812624,2.89672299,0.26743388,1.91876231,0.26743386,5.63554749,3.78889938,1.91876259,3.78889938,4.15409511,0.00863627,0.01607048,-0.06514544,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-2.56151009,-1.12400544,-9.10130501,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.46846807,-0.97089070,2.07645919,0.16177020,-0.21393918,0.09550946,0.95861273
0.12901250,0.58677816,0.79409951,-0.13803248,0.07774595,2.88755409,0.26025882,1.91134186,0.26025901,5.60664641,3.77350161,1.91134186,3.77350161,4.14707084,0.01345467,0.00559945,-0.06137451,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-2.55191255,-1.13584292,-9.10847855,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.46850710,-0.97123318,2.07665547,0.16116577,-0.21362495,0.09537448,0.95879804
0.13395254,0.58666670,0.79420006,-0.13799751,0.07762174,2.88456280,0.25793811,1.90894151,0.25793808,5.59715973,3.76846211,1.90894137,3.76846183,4.14481013,0.01713036,0.01142230,-0.06189072,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-2.51850748,-1.12833202,-9.15863037,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.46850849,-0.97124063,2.07665933,0.16115190,-0.21361916,0.09537368,0.95880174
0.13889257,0.58655429,0.79430091,-0.13796338,0.07749984,2.88152553,0.25562539,1.90650003,0.25562539,5.58760656,3.76334558,1.90649989,3.76334558,4.14243333,0.01821345,0.00827884,-0.06406263,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-2.50893688,-1.11630118,-9.18966007,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.46852259,-0.97130872,2.07669368,0.16102420,-0.21356853,0.09537133,0.95883471
0.14383234,0.58644724,0.79439712,-0.13792779,0.07738718,2.87860184,0.25342471,1.90414872,0.25342462,5.57853878,3.75849281,1.90414886,3.75849281,4.14016681,0.01820723,0.00722478,-0.05973576,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-2.52325320,-1.09735906,-9.19202137,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.46854470,-0.97139642,2.07673533,0.16085754,-0.21350914,0.09538177,0.95887487
0.14877238,0.58633894,0.79449385,-0.13788846,0.07728507,2.87557038,0.25122351,1.90170724,0.25122368,5.56945549,3.75355748,1.90170751,3.75355748,4.13773599,0.01770175,0.00301214,-0.05920663,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-2.53518367,-1.08555150,-9.16335201,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.46856957,-0.97147711,2.07677082,0.16070246,-0.21346014,0.09540522,0.95890945
0.15371241,0.58624029,0.79458195,-0.13785143,0.07719352,2.87280101,0.24922669,1.89947991,0.24922679,5.56120334,3.74907678,1.89947977,3.74907706,4.13552736,0.01611023,0.00246909,-0.05758887,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-2.54472804,-1.08565187,-9.13230801,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.46860188,-0.97156355,2.07680541,0.16053462,-0.21341332,0.09544532,0.95894399
0.16853250,0.58599889,0.79480380,-0.13772766,0.07696328,2.86607816,0.24408625,1.89404132,0.24408630,5.54127306,3.73839215,1.89404091,3.73839215,4.13062971,0.01821430,-0.00172423,-0.04135331,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-2.56625581,-1.05484712,-9.19673347,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.46875128,-0.97183122,2.07688413,0.15998331,-0.21328537,0.09562859,0.95904633
0.18335234,0.58585703,0.79494756,-0.13759372,0.07679766,2.86238096,0.24051716,1.89101997,0.24051703,5.52997062,3.73274231,1.89102011,3.73274231,4.12904139,0.01710847,-0.00226975,-0.02566539,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-2.53998232,-1.07366633,-9.21586418,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.46893093,-0.97201819,2.07689943,0.15954176,-0.21319044,0.09577109,0.95912677
0.18829238,0.58582896,0.79497975,-0.13754545,0.07676505,2.86165121,0.23962405,1.89038844,0.23962407,5.52794484,3.73179758,1.89038858,3.73179758,4.12898820,0.01130662,-0.00969484,-0.01974723,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-2.53282404,-1.09507036,-9.21827602,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.46893934,-0.97202478,2.07689898,0.15952551,-0.21318746,0.09577738,0.95912951
