time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w,cam_x,cam_y,cam_z,cam_rot_x,cam_rot_y,cam_rot_z,cam_w,valid_frame,gt_left_u,gt_left_v,gt_right_u,gt_right_v
0.02589026,6,1643.98082341,362.95680476,1602.69431777,362.93360879,-2.17818446,-0.91581941,1.93022203,-0.22529593,0.12809888,0.92641375,0.27311163,-2.07861901,-0.80166641,1.89613503,-0.39177099,0.77316222,0.41963211,0.26952656,1.00000000,1633.97294682,362.41533413,1593.89527986,362.41533413
0.02589026,7,264.06136977,457.74980695,220.45065890,457.66110862,-2.17818446,-0.91581941,1.93022203,-0.22529593,0.12809888,0.92641375,0.27311163,-2.07861901,-0.80166641,1.89613503,-0.39177099,0.77316222,0.41963211,0.26952656,1.00000000,250.05187725,458.61258186,207.28805821,458.61258186
0.02589026,10,1451.55886575,327.57384055,1407.94356109,327.20418086,-2.17818446,-0.91581941,1.93022203,-0.22529593,0.12809888,0.92641375,0.27311163,-2.07861901,-0.80166641,1.89613503,-0.39177099,0.77316222,0.41963211,0.26952656,1.00000000,1442.28667105,325.73240650,1399.19454778,325.73240650
0.02589026,11,497.02435455,312.75882999,447.51913070,312.63069167,-2.17818446,-0.91581941,1.93022203,-0.22529593,0.12809888,0.92641375,0.27311163,-2.07861901,-0.80166641,1.89613503,-0.39177099,0.77316222,0.41963211,0.26952656,1.00000000,486.24036549,312.33451666,436.92958912,312.33451666
0.02589026,16,342.55718034,601.12573071,304.88782766,601.07949377,-2.17818446,-0.91581941,1.93022203,-0.22529593,0.12809888,0.92641375,0.27311163,-2.07861901,-0.80166641,1.89613503,-0.39177099,0.77316222,0.41963211,0.26952656,1.00000000,327.86950633,600.91768143,290.69778953,600.91768143
0.02589026,24,1816.61860663,819.70451386,1773.89124984,819.62989363,-2.17818446,-0.91581941,1.93022203,-0.22529593,0.12809888,0.92641375,0.27311163,-2.07861901,-0.80166641,1.89613503,-0.39177099,0.77316222,0.41963211,0.26952656,1.00000000,1804.44117705,811.89934570,1762.83297081,811.89934570
0.02589026,36,1356.01643971,744.06125464,1311.29473676,743.99045006,-2.17818446,-0.91581941,1.93022203,-0.22529593,0.12809888,0.92641375,0.27311163,-2.07861901,-0.80166641,1.89613503,-0.39177099,0.77316222,0.41963211,0.26952656,1.00000000,1348.77092552,738.50980470,1304.57430878,738.50980470
0.02589026,38,594.79943118,696.89615952,555.60809451,696.57648232,-2.17818446,-0.91581941,1.93022203,-0.22529593,0.12809888,0.92641375,0.27311163,-2.07861901,-0.80166641,1.89613503,-0.39177099,0.77316222,0.41963211,0.26952656,1.00000000,586.93058759,695.64132921,547.80384267,695.64132921
0.02589026,40,808.12937075,726.64154810,764.86448887,726.24819366,-2.17818446,-0.91581941,1.93022203,-0.22529593,0.12809888,0.92641375,0.27311163,-2.07861901,-0.80166641,1.89613503,-0.39177099,0.77316222,0.41963211,0.26952656,1.00000000,802.24076874,722.64142778,759.21538154,722.64142778
0.02589026,41,917.83350142,902.93240939,870.54907917,902.60476896,-2.17818446,-0.91581941,1.93022203,-0.22529593,0.12809888,0.92641375,0.27311163,-2.07861901,-0.80166641,1.89613503,-0.39177099,0.77316222,0.41963211,0.26952656,1.00000000,911.55702679,898.26473606,864.70679221,898.26473606
0.02589026,43,1188.58761722,840.72256505,1142.17508827,840.52416937,-2.17818446,-0.91581941,1.93022203,-0.22529593,0.12809888,0.92641375,0.27311163,-2.07861901,-0.80166641,1.89613503,-0.39177099,0.77316222,0.41963211,0.26952656,1.00000000,1181.63182854,835.91909520,1135.64133086,835.91909520
0.42589026,7,251.55756422,446.88632507,207.51539978,446.57650024,-2.16187071,-0.92494688,1.94817229,-0.21577933,0.12960864,0.92910838,0.27092143,-2.06328956,-0.81047930,1.91232068,-0.38872076,0.76948135,0.42406213,0.27742735,1.00000000,241.35375158,441.86109916,198.63805326,441.86109916
0.42589026,10,1435.21097829,310.00519491,1391.79288192,309.60149214,-2.16187071,-0.92494688,1.94817229,-0.21577933,0.12960864,0.92910838,0.27092143,-2.06328956,-0.81047930,1.91232068,-0.38872076,0.76948135,0.42406213,0.27742735,1.00000000,1428.03025442,303.38917504,1385.27890020,303.38917504
0.42589026,11,484.12033411,300.27030940,434.61627795,300.08901178,-2.16187071,-0.92494688,1.94817229,-0.21577933,0.12960864,0.92910838,0.27092143,-2.06328956,-0.81047930,1.91232068,-0.38872076,0.76948135,0.42406213,0.27742735,1.00000000,476.60628293,294.15256397,427.37781944,294.15256397
0.42589026,16,332.45706415,589.32002390,294.80455983,589.21173710,-2.16187071,-0.92494688,1.94817229,-0.21577933,0.12960864,0.92910838,0.27092143,-2.06328956,-0.81047930,1.91232068,-0.38872076,0.76948135,0.42406213,0.27742735,1.00000000,321.14536973,583.66305534,284.08679294,583.66305534
0.42589026,24,1792.49424543,791.37990833,1750.37773252,791.19098129,-2.16187071,-0.92494688,1.94817229,-0.21577933,0.12960864,0.92910838,0.27092143,-2.06328956,-0.81047930,1.91232068,-0.38872076,0.76948135,0.42406213,0.27742735,1.00000000,1781.41703744,780.90808390,1740.56304135,780.90808390
0.42589026,35,1430.90600996,1015.20222566,1380.56320996,1014.97562455,-2.16187071,-0.92494688,1.94817229,-0.21577933,0.12960864,0.92910838,0.27092143,-2.06328956,-0.81047930,1.91232068,-0.38872076,0.76948135,0.42406213,0.27742735,1.00000000,1426.97356273,1007.20964919,1377.34040914,1007.20964919
0.42589026,36,1341.69357256,721.80539298,1297.52207831,721.47176649,-2.16187071,-0.92494688,1.94817229,-0.21577933,0.12960864,0.92910838,0.27092143,-2.06328956,-0.81047930,1.91232068,-0.38872076,0.76948135,0.42406213,0.27742735,1.00000000,1335.21768057,712.22913270,1291.64349204,712.22913270
0.42589026,38,586.60866254,682.18498693,547.50023528,681.93320111,-2.16187071,-0.92494688,1.94817229,-0.21577933,0.12960864,0.92910838,0.27092143,-2.06328956,-0.81047930,1.91232068,-0.38872076,0.76948135,0.42406213,0.27742735,1.00000000,581.33402965,675.85430152,542.47626190,675.85430152
0.42589026,40,799.69494873,709.55763902,756.64253591,709.21507757,-2.16187071,-0.92494688,1.94817229,-0.21577933,0.12960864,0.92910838,0.27092143,-2.06328956,-0.81047930,1.91232068,-0.38872076,0.76948135,0.42406213,0.27742735,1.00000000,795.68426949,700.71045229,753.07197112,700.71045229
