time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w,cam_x,cam_y,cam_z,cam_rot_x,cam_rot_y,cam_rot_z,cam_w,gt_left_u,gt_left_v,gt_right_u,gt_right_v
0.02589026,6,1643.98082341,362.95680476,1602.69431777,362.93360879,-2.17818446,-0.91581941,1.93022203,-0.22529593,0.12809888,0.92641375,0.27311163,-2.02840731,-0.78479309,1.84173877,-0.38963254,0.76998576,0.42311427,0.27619327,1638.10391972,364.33760637,1598.17103734,364.33760637
0.02589026,7,264.06136977,457.74980695,220.45065890,457.66110862,-2.17818446,-0.91581941,1.93022203,-0.22529593,0.12809888,0.92641375,0.27311163,-2.02840731,-0.78479309,1.84173877,-0.38963254,0.76998576,0.42311427,0.27619327,255.12238626,467.30199652,212.16133446,467.30199652
0.02589026,10,1451.55886575,327.57384055,1407.94356109,327.20418086,-2.17818446,-0.91581941,1.93022203,-0.22529593,0.12809888,0.92641375,0.27311163,-2.02840731,-0.78479309,1.84173877,-0.38963254,0.76998576,0.42311427,0.27619327,1449.00267930,329.81773571,1405.99217767,329.81773571
0.02589026,11,497.02435455,312.75882999,447.51913070,312.63069167,-2.17818446,-0.91581941,1.93022203,-0.22529593,0.12809888,0.92641375,0.27311163,-2.02840731,-0.78479309,1.84173877,-0.38963254,0.76998576,0.42311427,0.27619327,494.23354677,322.53520677,444.68911087,322.53520677
0.02589026,16,342.55718034,601.12573071,304.88782766,601.07949377,-2.17818446,-0.91581941,1.93022203,-0.22529593,0.12809888,0.92641375,0.27311163,-2.02840731,-0.78479309,1.84173877,-0.38963254,0.76998576,0.42311427,0.27619327,333.13391062,606.91419734,295.87595961,606.91419734
0.02589026,24,1816.61860663,819.70451386,1773.89124984,819.62989363,-2.17818446,-0.91581941,1.93022203,-0.22529593,0.12809888,0.92641375,0.27311163,-2.02840731,-0.78479309,1.84173877,-0.38963254,0.76998576,0.42311427,0.27619327,1804.28278008,810.12786700,1763.12233092,810.12786700
0.02589026,36,1356.01643971,744.06125464,1311.29473676,743.99045006,-2.17818446,-0.91581941,1.93022203,-0.22529593,0.12809888,0.92641375,0.27311163,-2.02840731,-0.78479309,1.84173877,-0.38963254,0.76998576,0.42311427,0.27619327,1355.88636806,741.72171737,1311.98897615,741.72171737
0.02589026,38,594.79943118,696.89615952,555.60809451,696.57648232,-2.17818446,-0.91581941,1.93022203,-0.22529593,0.12809888,0.92641375,0.27311163,-2.02840731,-0.78479309,1.84173877,-0.38963254,0.76998576,0.42311427,0.27619327,595.04416736,701.10799587,555.94906902,701.10799587
0.02589026,40,808.12937075,726.64154810,764.86448887,726.24819366,-2.17818446,-0.91581941,1.93022203,-0.22529593,0.12809888,0.92641375,0.27311163,-2.02840731,-0.78479309,1.84173877,-0.38963254,0.76998576,0.42311427,0.27619327,812.05346777,728.65612828,769.14743325,728.65612828
0.02589026,41,917.83350142,902.93240939,870.54907917,902.60476896,-2.17818446,-0.91581941,1.93022203,-0.22529593,0.12809888,0.92641375,0.27311163,-2.02840731,-0.78479309,1.84173877,-0.38963254,0.76998576,0.42311427,0.27619327,923.37393118,903.98342956,876.80356539,903.98342956
0.02589026,43,1188.58761722,840.72256505,1142.17508827,840.52416937,-2.17818446,-0.91581941,1.93022203,-0.22529593,0.12809888,0.92641375,0.27311163,-2.02840731,-0.78479309,1.84173877,-0.38963254,0.76998576,0.42311427,0.27619327,1190.96041027,840.05055490,1145.29046147,840.05055490
0.42589026,7,251.55756422,446.88632507,207.51539978,446.57650024,-2.16187071,-0.92494688,1.94817229,-0.21577933,0.12960864,0.92910838,0.27092143,-2.01422925,-0.79337082,1.85695588,-0.38655039,0.76623653,0.42751110,0.28406802,246.09155391,450.46733104,203.16650001,450.46733104
