time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w
1.69173835,7,799.06749034,83.19748913,754.79556018,83.34602400,-0.64069026,2.25552793,1.96119326,-0.11314584,0.01781424,0.98737538,-0.10940874
1.69173835,54,890.84213007,224.88978843,853.12881781,225.12030791,-0.64069026,2.25552793,1.96119326,-0.11314584,0.01781424,0.98737538,-0.10940874
2.49173835,7,864.63032911,109.11639356,820.17525622,109.49957125,-0.68918687,2.28090848,1.89668680,-0.12677452,0.01159965,0.98745385,-0.09342350
2.49173835,11,1195.73781835,152.10069337,1154.46982000,152.27629013,-0.68918687,2.28090848,1.89668680,-0.12677452,0.01159965,0.98745385,-0.09342350
2.49173835,16,716.76431590,235.56802120,677.18495699,236.14571356,-0.68918687,2.28090848,1.89668680,-0.12677452,0.01159965,0.98745385,-0.09342350
2.49173835,38,923.98183954,427.90502116,889.27676399,428.35543650,-0.68918687,2.28090848,1.89668680,-0.12677452,0.01159965,0.98745385,-0.09342350
2.49173835,40,1103.66467445,516.41736539,1071.03811323,516.56754352,-0.68918687,2.28090848,1.89668680,-0.12677452,0.01159965,0.98745385,-0.09342350
2.49173835,54,953.02223527,250.31189805,914.92392188,250.53588231,-0.68918687,2.28090848,1.89668680,-0.12677452,0.01159965,0.98745385,-0.09342350
2.56173822,7,876.66922289,118.86246170,832.12514074,119.42348968,-0.69877219,2.28405877,1.87378551,-0.12735527,0.01032004,0.98758772,-0.09134738
2.56173822,16,728.40121166,245.57264772,688.87779260,246.06102668,-0.69877219,2.28405877,1.87378551,-0.12735527,0.01032004,0.98758772,-0.09134738
2.56173822,54,964.85654327,259.96071364,926.60425196,260.35305900,-0.69877219,2.28405877,1.87378551,-0.12735527,0.01032004,0.98758772,-0.09134738
2.96173822,7,875.48872614,171.36934345,829.53952114,171.93279461,-0.79310201,2.29180624,1.69748910,-0.13615774,0.01407913,0.98543011,-0.10094587
2.96173822,16,721.64659004,298.88775040,680.65101361,299.42878133,-0.79310201,2.29180624,1.69748910,-0.13615774,0.01407913,0.98543011,-0.10094587
2.96173822,35,1352.74686564,847.99881070,1324.40254046,848.95025422,-0.79310201,2.29180624,1.69748910,-0.13615774,0.01407913,0.98543011,-0.10094587
2.96173822,38,934.98945575,491.75476508,899.20607032,492.28144059,-0.79310201,2.29180624,1.69748910,-0.13615774,0.01407913,0.98543011,-0.10094587
2.96173822,40,1120.32356040,579.83301915,1086.43619894,580.12861945,-0.79310201,2.29180624,1.69748910,-0.13615774,0.01407913,0.98543011,-0.10094587
2.96173822,41,1176.05923718,727.59582775,1142.48913586,727.98139850,-0.79310201,2.29180624,1.69748910,-0.13615774,0.01407913,0.98543011,-0.10094587
2.96173822,42,1128.90457946,862.67135250,1092.21928353,863.04662244,-0.79310201,2.29180624,1.69748910,-0.13615774,0.01407913,0.98543011,-0.10094587
2.96173822,43,1276.43404407,712.99398730,1246.85958690,713.66980212,-0.79310201,2.29180624,1.69748910,-0.13615774,0.01407913,0.98543011,-0.10094587
2.96173822,54,965.74680103,310.95063754,926.27882836,311.41725329,-0.79310201,2.29180624,1.69748910,-0.13615774,0.01407913,0.98543011,-0.10094587
3.29173835,16,686.26268701,359.25092349,642.39002949,359.91334602,-0.91732128,2.26363523,1.48654968,-0.15319138,0.00675840,0.98031837,-0.12434240
3.29173835,54,943.65746885,377.21484693,901.91762205,377.70431387,-0.91732128,2.26363523,1.48654968,-0.15319138,0.00675840,0.98031837,-0.12434240
3.96173822,16,660.35509533,381.68624117,612.11655321,381.42585948,-1.13837407,2.22913171,1.40371116,-0.13186871,0.00622617,0.98333701,-0.12497699
4.03173835,16,646.40537794,354.20004236,597.29373609,353.49881567,-1.15379310,2.22825144,1.45567871,-0.12370002,0.00751322,0.98433509,-0.12539875
5.17173835,41,700.71364628,555.54416305,661.71389452,555.72487029,-1.49777224,2.16087743,2.18206588,-0.14355827,0.01326979,0.93876358,-0.31294342
