time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w,cam_x,cam_y,cam_z,cam_rot_x,cam_rot_y,cam_rot_z,cam_w,valid_frame,gt_left_u,gt_left_v,gt_right_u,gt_right_v
1.69173835,7,799.06749034,83.19748913,754.79556018,83.34602400,-0.64069026,2.25552793,1.96119326,-0.11314584,0.01781424,0.98737538,-0.10940874,-0.66159812,2.40640507,1.93112662,0.60988951,-0.49649163,-0.37568948,-0.49029406,1.00000000,835.23598400,78.19863889,791.11935420,78.19863889
1.69173835,54,890.84213007,224.88978843,853.12881781,225.12030791,-0.64069026,2.25552793,1.96119326,-0.11314584,0.01781424,0.98737538,-0.10940874,-0.66159812,2.40640507,1.93112662,0.60988951,-0.49649163,-0.37568948,-0.49029406,1.00000000,926.52208558,218.32346653,888.61093979,218.32346653
2.49173835,7,864.63032911,109.11639356,820.17525622,109.49957125,-0.68918687,2.28090848,1.89668680,-0.12677452,0.01159965,0.98745385,-0.09342350,-0.70502714,2.43283348,1.86897952,0.61191985,-0.50825934,-0.37958325,-0.47238026,1.00000000,885.56879961,125.78091261,841.29037951,125.78091261
2.49173835,11,1195.73781835,152.10069337,1154.46982000,152.27629013,-0.68918687,2.28090848,1.89668680,-0.12677452,0.01159965,0.98745385,-0.09342350,-0.70502714,2.43283348,1.86897952,0.61191985,-0.50825934,-0.37958325,-0.47238026,1.00000000,1216.42366838,167.08995127,1175.24232602,167.08995127
2.49173835,16,716.76431590,235.56802120,677.18495699,236.14571356,-0.68918687,2.28090848,1.89668680,-0.12677452,0.01159965,0.98745385,-0.09342350,-0.70502714,2.43283348,1.86897952,0.61191985,-0.50825934,-0.37958325,-0.47238026,1.00000000,738.71090802,249.25690182,699.11321280,249.25690182
2.49173835,38,923.98183954,427.90502116,889.27676399,428.35543650,-0.68918687,2.28090848,1.89668680,-0.12677452,0.01159965,0.98745385,-0.09342350,-0.70502714,2.43283348,1.86897952,0.61191985,-0.50825934,-0.37958325,-0.47238026,1.00000000,943.97192577,441.12788417,909.36711711,441.12788417
2.49173835,40,1103.66467445,516.41736539,1071.03811323,516.56754352,-0.68918687,2.28090848,1.89668680,-0.12677452,0.01159965,0.98745385,-0.09342350,-0.70502714,2.43283348,1.86897952,0.61191985,-0.50825934,-0.37958325,-0.47238026,1.00000000,1122.25704973,528.00754851,1089.68128870,528.00754851
2.49173835,54,953.02223527,250.31189805,914.92392188,250.53588231,-0.68918687,2.28090848,1.89668680,-0.12677452,0.01159965,0.98745385,-0.09342350,-0.70502714,2.43283348,1.86897952,0.61191985,-0.50825934,-0.37958325,-0.47238026,1.00000000,974.69134127,263.11980718,936.48860159,263.11980718
2.56173822,7,876.66922289,118.86246170,832.12514074,119.42348968,-0.69877219,2.28405877,1.87378551,-0.12735527,0.01032004,0.98758772,-0.09134738,-0.71387804,2.43615516,1.84656209,0.61186567,-0.50904928,-0.38101358,-0.47044436,1.00000000,892.91816366,132.85421428,848.46401249,132.85421428
2.56173822,16,728.40121166,245.57264772,688.87779260,246.06102668,-0.69877219,2.28405877,1.87378551,-0.12735527,0.01032004,0.98758772,-0.09134738,-0.71387804,2.43615516,1.84656209,0.61186567,-0.50904928,-0.38101358,-0.47044436,1.00000000,745.23222145,256.05756077,705.51505090,256.05756077
