time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w,cam_x,cam_y,cam_z,cam_rot_x,cam_rot_y,cam_rot_z,cam_w,gt_left_u,gt_left_v,gt_right_u,gt_right_v
1.69173835,7,799.06749034,83.19748913,754.79556018,83.34602400,-0.64069026,2.25552793,1.96119326,-0.11314584,0.01781424,0.98737538,-0.10940874,-0.64501382,2.40787117,1.91379965,0.49328805,-0.47700568,0.62042785,-0.37973906,4328.28243700,-7267.81218309,4650.19980532,-7267.81218309
1.69173835,54,890.84213007,224.88978843,853.12881781,225.12030791,-0.64069026,2.25552793,1.96119326,-0.11314584,0.01781424,0.98737538,-0.10940874,-0.64501382,2.40787117,1.91379965,0.49328805,-0.47700568,0.62042785,-0.37973906,7581.58964539,-21233.13340921,8349.87989177,-21233.13340921
2.49173835,7,864.63032911,109.11639356,820.17525622,109.49957125,-0.68918687,2.28090848,1.89668680,-0.12677452,0.01159965,0.98745385,-0.09342350,-0.68795569,2.43412366,1.85211793,0.48159094,-0.49500498,0.61659476,-0.37795654,5618.39656815,-11458.89273707,6113.89989942,-11458.89273707
2.49173835,11,1195.73781835,152.10069337,1154.46982000,152.27629013,-0.68918687,2.28090848,1.89668680,-0.12677452,0.01159965,0.98745385,-0.09342350,-0.68795569,2.43412366,1.85211793,0.48159094,-0.49500498,0.61659476,-0.37795654,-826.81517930,5490.16975740,-1015.35625650,5490.16975740
2.49173835,16,716.76431590,235.56802120,677.18495699,236.14571356,-0.68918687,2.28090848,1.89668680,-0.12677452,0.01159965,0.98745385,-0.09342350,-0.68795569,2.43412366,1.85211793,0.48159094,-0.49500498,0.61659476,-0.37795654,2248.29810663,-4261.46797650,2425.93507073,-4261.46797650
2.49173835,38,923.98183954,427.90502116,889.27676399,428.35543650,-0.68918687,2.28090848,1.89668680,-0.12677452,0.01159965,0.98745385,-0.09342350,-0.68795569,2.43412366,1.85211793,0.48159094,-0.49500498,0.61659476,-0.37795654,4670.51548917,-37403.87060911,5887.71363651,-37403.87060911
2.49173835,40,1103.66467445,516.41736539,1071.03811323,516.56754352,-0.68918687,2.28090848,1.89668680,-0.12677452,0.01159965,0.98745385,-0.09342350,-0.68795569,2.43412366,1.85211793,0.48159094,-0.49500498,0.61659476,-0.37795654,765.58640692,8356.21000118,530.86667376,8356.21000118
2.49173835,54,953.02223527,250.31189805,914.92392188,250.53588231,-0.68918687,2.28090848,1.89668680,-0.12677452,0.01159965,0.98745385,-0.09342350,-0.68795569,2.43412366,1.85211793,0.48159094,-0.49500498,0.61659476,-0.37795654,77141.28128905,-288145.36883970,87385.98737103,-288145.36883970
2.56173822,7,876.66922289,118.86246170,832.12514074,119.42348968,-0.69877219,2.28405877,1.87378551,-0.12735527,0.01032004,0.98758772,-0.09134738,-0.69678610,2.43743315,1.82972033,0.48095336,-0.49708108,0.61530356,-0.37814784,5929.89847771,-12477.01502321,6469.40734172,-12477.01502321
2.56173822,16,728.40121166,245.57264772,688.87779260,246.06102668,-0.69877219,2.28405877,1.87378551,-0.12735527,0.01032004,0.98758772,-0.09134738,-0.69678610,2.43743315,1.82972033,0.48095336,-0.49708108,0.61530356,-0.37814784,2254.98930557,-4400.03534152,2438.25119594,-4400.03534152
2.56173822,54,964.85654327,259.96071364,926.60425196,260.35305900,-0.69877219,2.28405877,1.87378551,-0.12735527,0.01032004,0.98758772,-0.09134738,-0.69678610,2.43743315,1.82972033,0.48095336,-0.49708108,0.61530356,-0.37814784,-89320.52542229,350789.61679882,-101794.40440596,350789.61679882
2.96173822,7,875.48872614,171.36934345,829.53952114,171.93279461,-0.79310201,2.29180624,1.69748910,-0.13615774,0.01407913,0.98543011,-0.10094587,-0.79310989,2.44483141,1.65217443,0.47828371,-0.49349878,0.62525042,-0.36981828,4626.73805284,-10655.97873536,5111.21285634,-10655.97873536
2.96173822,16,721.64659004,298.88775040,680.65101361,299.42878133,-0.79310201,2.29180624,1.69748910,-0.13615774,0.01407913,0.98543011,-0.10094587,-0.79310989,2.44483141,1.65217443,0.47828371,-0.49349878,0.62525042,-0.36981828,1897.28450459,-3986.65965661,2072.57646546,-3986.65965661
2.96173822,35,1352.74686564,847.99881070,1324.40254046,848.95025422,-0.79310201,2.29180624,1.69748910,-0.13615774,0.01407913,0.98543011,-0.10094587,-0.79310989,2.44483141,1.65217443,0.47828371,-0.49349878,0.62525042,-0.36981828,1777.29579535,3575.13997443,1698.72727219,3575.13997443
2.96173822,38,934.98945575,491.75476508,899.20607032,492.28144059,-0.79310201,2.29180624,1.69748910,-0.13615774,0.01407913,0.98543011,-0.10094587,-0.79310989,2.44483141,1.65217443,0.47828371,-0.49349878,0.62525042,-0.36981828,2128.53327279,-31482.91524101,3197.07679491,-31482.91524101
2.96173822,40,1120.32356040,579.83301915,1086.43619894,580.12861945,-0.79310201,2.29180624,1.69748910,-0.13615774,0.01407913,0.98543011,-0.10094587,-0.79310989,2.44483141,1.65217443,0.47828371,-0.49349878,0.62525042,-0.36981828,1235.59720600,8329.17511306,993.23818820,8329.17511306
2.96173822,41,1176.05923718,727.59582775,1142.48913586,727.98139850,-0.79310201,2.29180624,1.69748910,-0.13615774,0.01407913,0.98543011,-0.10094587,-0.79310989,2.44483141,1.65217443,0.47828371,-0.49349878,0.62525042,-0.36981828,1901.12743108,6166.07020298,1728.47400726,6166.07020298
2.96173822,42,1128.90457946,862.67135250,1092.21928353,863.04662244,-0.79310201,2.29180624,1.69748910,-0.13615774,0.01407913,0.98543011,-0.10094587,-0.79310989,2.44483141,1.65217443,0.47828371,-0.49349878,0.62525042,-0.36981828,3056.25107348,7675.83009998,2815.75613389,7675.83009998
2.96173822,43,1276.43404407,712.99398730,1246.85958690,713.66980212,-0.79310201,2.29180624,1.69748910,-0.13615774,0.01407913,0.98543011,-0.10094587,-0.79310989,2.44483141,1.65217443,0.47828371,-0.49349878,0.62525042,-0.36981828,1530.18419633,4343.85944674,1426.95076337,4343.85944674
