time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w,cam_x,cam_y,cam_z,cam_rot_x,cam_rot_y,cam_rot_z,cam_w,gt_left_u,gt_left_v,gt_right_u,gt_right_v
1.69173835,7,799.06749034,83.19748913,754.79556018,83.34602400,-0.64069026,2.25552793,1.96119326,-0.11314584,0.01781424,0.98737538,-0.10940874,-0.66010993,2.39920276,1.91997383,0.60852363,-0.49779440,-0.37507335,-0.49114124,831.39305366,81.28686702,787.22188958,81.28686702
1.69173835,54,890.84213007,224.88978843,853.12881781,225.12030791,-0.64069026,2.25552793,1.96119326,-0.11314584,0.01781424,0.98737538,-0.10940874,-0.66010993,2.39920276,1.91997383,0.60852363,-0.49779440,-0.37507335,-0.49114124,923.74318796,220.68491297,885.79193556,220.68491297
2.49173835,7,864.63032911,109.11639356,820.17525622,109.49957125,-0.68918687,2.28090848,1.89668680,-0.12677452,0.01159965,0.98745385,-0.09342350,-0.70345742,2.42579723,1.85773231,0.61053495,-0.50955844,-0.37900993,-0.47323223,881.97749983,128.73052527,837.64423968,128.73052527
2.49173835,11,1195.73781835,152.10069337,1154.46982000,152.27629013,-0.68918687,2.28090848,1.89668680,-0.12677452,0.01159965,0.98745385,-0.09342350,-0.70345742,2.42579723,1.85773231,0.61053495,-0.50955844,-0.37900993,-0.47323223,1213.62655457,168.37425848,1172.38922382,168.37425848
2.49173835,16,716.76431590,235.56802120,677.18495699,236.14571356,-0.68918687,2.28090848,1.89668680,-0.12677452,0.01159965,0.98745385,-0.09342350,-0.70345742,2.42579723,1.85773231,0.61053495,-0.50955844,-0.37900993,-0.47323223,735.78826575,252.62390797,696.15302448,252.62390797
2.49173835,38,923.98183954,427.90502116,889.27676399,428.35543650,-0.68918687,2.28090848,1.89668680,-0.12677452,0.01159965,0.98745385,-0.09342350,-0.70345742,2.42579723,1.85773231,0.61053495,-0.50955844,-0.37900993,-0.47323223,942.33688856,443.36533542,907.70319265,443.36533542
2.49173835,40,1103.66467445,516.41736539,1071.03811323,516.56754352,-0.68918687,2.28090848,1.89668680,-0.12677452,0.01159965,0.98745385,-0.09342350,-0.70345742,2.42579723,1.85773231,0.61053495,-0.50955844,-0.37900993,-0.47323223,1121.25356271,529.38291530,1088.65027226,529.38291530
2.49173835,54,953.02223527,250.31189805,914.92392188,250.53588231,-0.68918687,2.28090848,1.89668680,-0.12677452,0.01159965,0.98745385,-0.09342350,-0.70345742,2.42579723,1.85773231,0.61053495,-0.50955844,-0.37900993,-0.47323223,972.13388404,265.35169670,933.89050610,265.35169670
2.56173822,7,876.66922289,118.86246170,832.12514074,119.42348968,-0.69877219,2.28405877,1.87378551,-0.12735527,0.01032004,0.98758772,-0.09134738,-0.71232491,2.42914862,1.83529404,0.61047937,-0.51034702,-0.38044460,-0.47129903,889.35511594,135.79647898,844.84574631,135.79647898
2.56173822,16,728.40121166,245.57264772,688.87779260,246.06102668,-0.69877219,2.28405877,1.87378551,-0.12735527,0.01032004,0.98758772,-0.09134738,-0.71232491,2.42914862,1.83529404,0.61047937,-0.51034702,-0.38044460,-0.47129903,742.33683416,259.41408316,702.58192397,259.41408316
2.56173822,54,964.85654327,259.96071364,926.60425196,260.35305900,-0.69877219,2.28405877,1.87378551,-0.12735527,0.01032004,0.98758772,-0.09134738,-0.71232491,2.42914862,1.83529404,0.61047937,-0.51034702,-0.38044460,-0.47129903,979.34434675,272.15617500,940.95243410,272.15617500
2.96173822,7,875.48872614,171.36934345,829.53952114,171.93279461,-0.79310201,2.29180624,1.69748910,-0.13615774,0.01407913,0.98543011,-0.10094587,-0.80859334,2.43630427,1.65753213,0.61670718,-0.51055363,-0.36829099,-0.47261928,873.66130054,193.07150353,827.15346051,193.07150353
2.96173822,16,721.64659004,298.88775040,680.65101361,299.42878133,-0.79310201,2.29180624,1.69748910,-0.13615774,0.01407913,0.98543011,-0.10094587,-0.80859334,2.43630427,1.65753213,0.61670718,-0.51055363,-0.36829099,-0.47261928,719.67534186,317.29443858,678.15086239,317.29443858
2.96173822,35,1352.74686564,847.99881070,1324.40254046,848.95025422,-0.79310201,2.29180624,1.69748910,-0.13615774,0.01407913,0.98543011,-0.10094587,-0.80859334,2.43630427,1.65753213,0.61670718,-0.51055363,-0.36829099,-0.47261928,1355.32361064,861.91588813,1326.91571076,861.91588813
2.96173822,38,934.98945575,491.75476508,899.20607032,492.28144059,-0.79310201,2.29180624,1.69748910,-0.13615774,0.01407913,0.98543011,-0.10094587,-0.80859334,2.43630427,1.65753213,0.61670718,-0.51055363,-0.36829099,-0.47261928,935.34764575,509.15778343,899.28249812,509.15778343
2.96173822,40,1120.32356040,579.83301915,1086.43619894,580.12861945,-0.79310201,2.29180624,1.69748910,-0.13615774,0.01407913,0.98543011,-0.10094587,-0.80859334,2.43630427,1.65753213,0.61670718,-0.51055363,-0.36829099,-0.47261928,1120.69521342,594.77922478,1086.87276987,594.77922478
2.96173822,41,1176.05923718,727.59582775,1142.48913586,727.98139850,-0.79310201,2.29180624,1.69748910,-0.13615774,0.01407913,0.98543011,-0.10094587,-0.80859334,2.43630427,1.65753213,0.61670718,-0.51055363,-0.36829099,-0.47261928,1176.62873532,741.23170234,1143.14443729,741.23170234
2.96173822,42,1128.90457946,862.67135250,1092.21928353,863.04662244,-0.79310201,2.29180624,1.69748910,-0.13615774,0.01407913,0.98543011,-0.10094587,-0.80859334,2.43630427,1.65753213,0.61670718,-0.51055363,-0.36829099,-0.47261928,1129.97700025,877.68366973,1093.14792567,877.68366973
2.96173822,43,1276.43404407,712.99398730,1246.85958690,713.66980212,-0.79310201,2.29180624,1.69748910,-0.13615774,0.01407913,0.98543011,-0.10094587,-0.80859334,2.43630427,1.65753213,0.61670718,-0.51055363,-0.36829099,-0.47261928,1277.76346711,726.92552021,1248.09869949,726.92552021
