time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w,cam_x,cam_y,cam_z,cam_rot_x,cam_rot_y,cam_rot_z,cam_w,valid_frame,gt_left_u,gt_left_v,gt_right_u,gt_right_v
0.39729360,7,740.42224250,26.78227541,700.43366039,26.72846717,-0.06098905,1.63837741,1.99223919,-0.05549655,-0.00835588,0.99627309,-0.06549866,-0.07203616,1.79187645,1.97161556,0.57655748,-0.48216084,-0.44417998,-0.48765412,1.00000000,736.25134389,23.31331944,696.97108301,23.31331944
0.39729360,11,1050.59266428,65.90015012,1012.38851396,65.80814258,-0.06098905,1.63837741,1.99223919,-0.05549655,-0.00835588,0.99627309,-0.06549866,-0.07203616,1.79187645,1.97161556,0.57655748,-0.48216084,-0.44417998,-0.48765412,1.00000000,1046.43013118,64.37573472,1009.00010838,64.37573472
0.39729360,16,630.30323926,133.98190385,594.78373491,134.01113285,-0.06098905,1.63837741,1.99223919,-0.05549655,-0.00835588,0.99627309,-0.06549866,-0.07203616,1.79187645,1.97161556,0.57655748,-0.48216084,-0.44417998,-0.48765412,1.00000000,628.05367542,128.96813113,593.06462525,128.96813113
0.39729360,24,1309.40021205,568.45130358,1288.41832930,568.43106568,-0.06098905,1.63837741,1.99223919,-0.05549655,-0.00835588,0.99627309,-0.06549866,-0.07203616,1.79187645,1.97161556,0.57655748,-0.48216084,-0.44417998,-0.48765412,1.00000000,1307.39161904,566.70451107,1287.18613525,566.70451107
0.39729360,30,1890.62590927,362.37947323,1860.62606217,361.39821925,-0.06098905,1.63837741,1.99223919,-0.05549655,-0.00835588,0.99627309,-0.06549866,-0.07203616,1.79187645,1.97161556,0.57655748,-0.48216084,-0.44417998,-0.48765412,1.00000000,1886.53876590,360.48919980,1856.85380270,360.48919980
0.39729360,35,1215.09825148,643.41765509,1189.73560384,643.28520783,-0.06098905,1.63837741,1.99223919,-0.05549655,-0.00835588,0.99627309,-0.06549866,-0.07203616,1.79187645,1.97161556,0.57655748,-0.48216084,-0.44417998,-0.48765412,1.00000000,1214.27271654,641.27394980,1189.61091158,641.27394980
0.39729360,36,1215.41365225,490.38687675,1190.50753413,490.44165276,-0.06098905,1.63837741,1.99223919,-0.05549655,-0.00835588,0.99627309,-0.06549866,-0.07203616,1.79187645,1.97161556,0.57655748,-0.48216084,-0.44417998,-0.48765412,1.00000000,1214.34148593,488.54323343,1190.07565504,488.54323343
0.39729360,38,826.65713777,308.29012451,795.34004908,308.24246324,-0.06098905,1.63837741,1.99223919,-0.05549655,-0.00835588,0.99627309,-0.06549866,-0.07203616,1.79187645,1.97161556,0.57655748,-0.48216084,-0.44417998,-0.48765412,1.00000000,827.58062398,306.35349079,796.77351748,306.35349079
0.39729360,40,993.63866345,393.07208200,963.70227503,392.97489295,-0.06098905,1.63837741,1.99223919,-0.05549655,-0.00835588,0.99627309,-0.06549866,-0.07203616,1.79187645,1.97161556,0.57655748,-0.48216084,-0.44417998,-0.48765412,1.00000000,993.86866860,390.74017011,964.66570560,390.74017011
0.39729360,41,1036.23094174,522.42524587,1007.04919237,522.42301485,-0.06098905,1.63837741,1.99223919,-0.05549655,-0.00835588,0.99627309,-0.06549866,-0.07203616,1.79187645,1.97161556,0.57655748,-0.48216084,-0.44417998,-0.48765412,1.00000000,1036.28313885,519.23589651,1007.75454775,519.23589651
0.39729360,42,971.69243183,625.85358060,940.79005145,625.70078504,-0.06098905,1.63837741,1.99223919,-0.05549655,-0.00835588,0.99627309,-0.06549866,-0.07203616,1.79187645,1.97161556,0.57655748,-0.48216084,-0.44417998,-0.48765412,1.00000000,972.58304108,622.26429948,942.25614383,622.26429948
0.39729360,44,1439.67659032,517.28529710,1419.26504658,517.14689188,-0.06098905,1.63837741,1.99223919,-0.05549655,-0.00835588,0.99627309,-0.06549866,-0.07203616,1.79187645,1.97161556,0.57655748,-0.48216084,-0.44417998,-0.48765412,1.00000000,1439.18423570,516.15220866,1419.47204170,516.15220866
0.39729360,48,1670.10875922,544.86276696,1650.12168716,544.92513641,-0.06098905,1.63837741,1.99223919,-0.05549655,-0.00835588,0.99627309,-0.06549866,-0.07203616,1.79187645,1.97161556,0.57655748,-0.48216084,-0.44417998,-0.48765412,0.00000000,1671.39004416,543.59471519,1652.27275222,543.59471519
0.39729360,54,842.60604677,150.03715515,807.76152631,150.06586096,-0.06098905,1.63837741,1.99223919,-0.05549655,-0.00835588,0.99627309,-0.06549866,-0.07203616,1.79187645,1.97161556,0.57655748,-0.48216084,-0.44417998,-0.48765412,1.00000000,841.28999571,146.01594184,806.99363108,146.01594184
1.19729361,7,737.86942396,25.23231053,698.13378227,25.17954098,-0.06409967,1.63049437,1.99066768,-0.05595483,-0.01015112,0.99625265,-0.06516646,-0.07494891,1.78407145,1.97060709,0.57747518,-0.48166025,-0.44500070,-0.48631286,1.00000000,736.51163562,23.72592854,697.21238407,23.72592854
1.19729361,11,1048.56832376,66.37602591,1010.52137914,66.26747229,-0.06409967,1.63049437,1.99066768,-0.05595483,-0.01015112,0.99625265,-0.06516646,-0.07494891,1.78407145,1.97060709,0.57747518,-0.48166025,-0.44500070,-0.48631286,1.00000000,1046.83852088,65.75660884,1009.38072376,65.75660884
1.19729361,16,628.26882935,131.99715454,592.94865778,131.95055133,-0.06409967,1.63049437,1.99066768,-0.05595483,-0.01015112,0.99625265,-0.06516646,-0.07494891,1.78407145,1.97060709,0.57747518,-0.48166025,-0.44500070,-0.48631286,1.00000000,628.19488676,129.09654018,593.19277958,129.09654018
1.19729361,30,1890.33682831,368.79779400,1860.80487060,367.22666841,-0.06409967,1.63049437,1.99066768,-0.05595483,-0.01015112,0.99625265,-0.06516646,-0.07494891,1.78407145,1.97060709,0.57747518,-0.48166025,-0.44500070,-0.48631286,1.00000000,1887.79826595,364.84352881,1858.06685716,364.84352881
1.19729361,35,1214.34178720,645.59669324,1189.05907264,645.53962589,-0.06409967,1.63049437,1.99066768,-0.05595483,-0.01015112,0.99625265,-0.06516646,-0.07494891,1.78407145,1.97060709,0.57747518,-0.48166025,-0.44500070,-0.48631286,1.00000000,1213.70334056,643.68674370,1189.01354907,643.68674370
1.19729361,36,1215.03772950,492.31546401,1190.08995482,492.35038275,-0.06409967,1.63049437,1.99066768,-0.05595483,-0.01015112,0.99625265,-0.06516646,-0.07494891,1.78407145,1.97060709,0.57747518,-0.48166025,-0.44500070,-0.48631286,1.00000000,1214.27399763,490.79126010,1189.98507872,490.79126010
1.19729361,38,825.35182122,307.70545787,794.16249275,307.72737657,-0.06409967,1.63049437,1.99066768,-0.05595483,-0.01015112,0.99625265,-0.06516646,-0.07494891,1.78407145,1.97060709,0.57747518,-0.48166025,-0.44500070,-0.48631286,1.00000000,827.41241997,307.17651667,796.58637339,307.17651667
1.19729361,40,992.51845048,393.50770160,962.77150731,393.43545143,-0.06409967,1.63049437,1.99066768,-0.05595483,-0.01015112,0.99625265,-0.06516646,-0.07494891,1.78407145,1.97060709,0.57747518,-0.48166025,-0.44500070,-0.48631286,1.00000000,993.61919658,392.16049762,964.39275181,392.16049762
1.19729361,41,1035.06896901,523.32522233,1005.97564046,523.31381380,-0.06409967,1.63049437,1.99066768,-0.05595483,-0.01015112,0.99625265,-0.06516646,-0.07494891,1.78407145,1.97060709,0.57747518,-0.48166025,-0.44500070,-0.48631286,1.00000000,1035.68041300,520.90248388,1007.12432513,520.90248388
1.19729361,42,970.22160937,626.39882121,939.38976144,626.41279807,-0.06409967,1.63049437,1.99066768,-0.05595483,-0.01015112,0.99625265,-0.06516646,-0.07494891,1.78407145,1.97060709,0.57747518,-0.48166025,-0.44500070,-0.48631286,1.00000000,971.45648652,623.82200184,941.09683996,623.82200184
1.19729361,43,1147.58243148,522.60468041,1121.05389950,522.56627561,-0.06409967,1.63049437,1.99066768,-0.05595483,-0.01015112,0.99625265,-0.06516646,-0.07494891,1.78407145,1.97060709,0.57747518,-0.48166025,-0.44500070,-0.48631286,1.00000000,1147.31948282,521.17407358,1121.37236886,521.17407358
