time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w,cam_x,cam_y,cam_z,cam_rot_x,cam_rot_y,cam_rot_z,cam_w,valid_frame,gt_left_u,gt_left_v,gt_right_u,gt_right_v
0.11378743,5,1554.72366689,108.08434056,1484.85013511,108.16157627,0.56918111,0.57412095,1.56230203,0.01748456,0.27809916,-0.08912184,0.95624915,0.52374855,0.42625052,1.54902635,0.66354401,0.57869029,0.29354868,-0.37236551,0.00000000,1511.21163200,330.45199969,1446.25109011,330.45199969
0.11378743,13,339.21008243,406.01957650,291.89854215,405.78885432,0.56918111,0.57412095,1.56230203,0.01748456,0.27809916,-0.08912184,0.95624915,0.52374855,0.42625052,1.54902635,0.66354401,0.57869029,0.29354868,-0.37236551,0.00000000,319.47094306,579.46915506,273.05717161,579.46915506
0.11378743,14,421.12279348,228.81090506,364.37073500,228.67069834,0.56918111,0.57412095,1.56230203,0.01748456,0.27809916,-0.08912184,0.95624915,0.52374855,0.42625052,1.54902635,0.66354401,0.57869029,0.29354868,-0.37236551,0.00000000,423.95840166,410.89197994,369.47600351,410.89197994
0.11378743,31,1148.04348313,617.06232776,1099.11600230,616.85836149,0.56918111,0.57412095,1.56230203,0.01748456,0.27809916,-0.08912184,0.95624915,0.52374855,0.42625052,1.54902635,0.66354401,0.57869029,0.29354868,-0.37236551,0.00000000,1130.20234556,812.06227772,1080.78030510,812.06227772
0.24378755,5,1552.92507955,109.12066234,1482.80076908,109.36912948,0.56993975,0.57505456,1.56158867,0.01738160,0.27848150,-0.08831539,0.95621458,0.52473500,0.42711558,1.54829908,0.66324728,0.57931392,0.29369488,-0.37180875,0.00000000,1508.98940140,331.77924625,1444.05340511,331.77924625
0.24378755,13,336.40333646,405.17567794,289.05059786,404.90615886,0.56993975,0.57505456,1.56158867,0.01738160,0.27848150,-0.08831539,0.95621458,0.52473500,0.42711558,1.54829908,0.66324728,0.57931392,0.29369488,-0.37180875,0.00000000,316.65871862,579.88539527,270.18610747,579.88539527
0.24378755,14,418.78799746,227.72437827,361.98957427,227.62746578,0.56993975,0.57505456,1.56158867,0.01738160,0.27848150,-0.08831539,0.95621458,0.52473500,0.42711558,1.54829908,0.66324728,0.57931392,0.29369488,-0.37180875,0.00000000,421.42949329,411.20186960,366.88828237,411.20186960
0.24378755,31,1145.79672337,617.49689111,1096.98480864,617.34192491,0.56993975,0.57505456,1.56158867,0.01738160,0.27848150,-0.08831539,0.95621458,0.52473500,0.42711558,1.54829908,0.66324728,0.57931392,0.29369488,-0.37180875,0.00000000,1128.04140492,813.11221143,1078.60283527,813.11221143
0.31378743,5,1552.36296411,109.83655876,1482.45960464,110.05038239,0.57070203,0.57511330,1.56044038,0.01752575,0.27929227,-0.08834145,0.95597305,0.52545384,0.42718633,1.54716483,0.66360950,0.57951384,0.29323679,-0.37121198,0.00000000,1508.96989138,333.77053096,1444.01587609,333.77053096
0.31378743,13,336.18024238,405.37923826,288.72559663,405.03979488,0.57070203,0.57511330,1.56044038,0.01752575,0.27929227,-0.08834145,0.95597305,0.52545384,0.42718633,1.54716483,0.66360950,0.57951384,0.29323679,-0.37121198,0.00000000,316.23341231,582.06803128,269.73659469,582.06803128
