time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w,cam_x,cam_y,cam_z,cam_rot_x,cam_rot_y,cam_rot_z,cam_w,gt_left_u,gt_left_v,gt_right_u,gt_right_v
0.11378743,5,1554.72366689,108.08434056,1484.85013511,108.16157627,0.56918111,0.57412095,1.56230203,0.01748456,0.27809916,-0.08912184,0.95624915,0.48486292,0.47157087,1.52517703,0.61312936,0.24259518,0.44258999,0.60772861,262.11762307,2941.12877173,119.05205324,2941.12877173
0.11378743,13,339.21008243,406.01957650,291.89854215,405.78885432,0.56918111,0.57412095,1.56230203,0.01748456,0.27809916,-0.08912184,0.95624915,0.48486292,0.47157087,1.52517703,0.61312936,0.24259518,0.44258999,0.60772861,658.92406852,-1324.88376600,738.72363748,-1324.88376600
0.11378743,14,421.12279348,228.81090506,364.37073500,228.67069834,0.56918111,0.57412095,1.56230203,0.01748456,0.27809916,-0.08912184,0.95624915,0.48486292,0.47157087,1.52517703,0.61312936,0.24259518,0.44258999,0.60772861,976.58166960,-1547.92298044,1081.59739669,-1547.92298044
0.11378743,31,1148.04348313,617.06232776,1099.11600230,616.85836149,0.56918111,0.57412095,1.56230203,0.01748456,0.27809916,-0.08912184,0.95624915,0.48486292,0.47157087,1.52517703,0.61312936,0.24259518,0.44258999,0.60772861,2118.09145272,6082.37506606,1868.07126751,6082.37506606
0.24378755,5,1552.92507955,109.12066234,1482.80076908,109.36912948,0.56993975,0.57505456,1.56158867,0.01738160,0.27848150,-0.08831539,0.95621458,0.48575895,0.47238102,1.52449314,0.61300057,0.24279161,0.44191345,0.60827217,263.27484329,2950.59443052,119.70108480,2950.59443052
0.24378755,13,336.40333646,405.17567794,289.05059786,404.90615886,0.56993975,0.57505456,1.56158867,0.01738160,0.27848150,-0.08831539,0.95621458,0.48575895,0.47238102,1.52449314,0.61300057,0.24279161,0.44191345,0.60827217,658.43704346,-1316.91406694,737.99590417,-1316.91406694
0.24378755,14,418.78799746,227.72437827,361.98957427,227.62746578,0.56993975,0.57505456,1.56158867,0.01738160,0.27848150,-0.08831539,0.95621458,0.48575895,0.47238102,1.52449314,0.61300057,0.24279161,0.44191345,0.60827217,974.83606366,-1538.87424258,1079.50906971,-1538.87424258
0.24378755,31,1145.79672337,617.49689111,1096.98480864,617.34192491,0.56993975,0.57505456,1.56158867,0.01738160,0.27848150,-0.08831539,0.95621458,0.48575895,0.47238102,1.52449314,0.61300057,0.24279161,0.44191345,0.60827217,2136.27257499,6132.87167117,1883.89346306,6132.87167117
0.31378743,5,1552.36296411,109.83655876,1482.45960464,110.05038239,0.57070203,0.57511330,1.56044038,0.01752575,0.27929227,-0.08834145,0.95597305,0.48644487,0.47246723,1.52344232,0.61325926,0.24215097,0.44149843,0.60856809,268.11559996,2948.91037078,124.60885782,2948.91037078
0.31378743,13,336.18024238,405.37923826,288.72559663,405.03979488,0.57070203,0.57511330,1.56044038,0.01752575,0.27929227,-0.08834145,0.95597305,0.48644487,0.47246723,1.52344232,0.61325926,0.24215097,0.44149843,0.60856809,654.61364763,-1317.00569958,734.21399456,-1317.00569958
