time_s,orientation_x,orientation_y,orientation_z,orientation_w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity_x,angular_velocity_y,angular_velocity_z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8,x,y,z,w,rot_x,rot_y,rot_z
1.44835357,0.97604197,-0.02565162,-0.21582173,0.01024809,0.04262437,0.07478910,-0.08777661,0.07478910,0.14809172,-0.11464683,-0.08777662,-0.11464682,0.32845225,-0.02151816,0.00952786,-0.00092814,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-4.03138447,0.25933069,-8.91307068,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,0.56836879,0.57218689,1.56191133,0.95620023,0.01955219,0.27805581,-0.08935210
1.45329360,0.97606087,-0.02562982,-0.21573947,0.01023500,0.04260928,0.07477081,-0.08775974,0.07477082,0.14807283,-0.11462545,-0.08775974,-0.11462543,0.32850887,-0.02151225,0.00847559,0.00123845,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-4.01712084,0.28096530,-8.88441467,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,0.56837386,0.57221467,1.56192476,0.95620067,0.01949190,0.27805623,-0.08935926
1.45823364,0.97607946,-0.02560365,-0.21565951,0.01021313,0.04259535,0.07475301,-0.08774235,0.07475301,0.14805356,-0.11460414,-0.08774235,-0.11460415,0.32856286,-0.01778272,0.00588490,0.00015994,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-4.00519085,0.28347731,-8.85099411,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,0.56838029,0.57224375,1.56193984,0.95620297,0.01943764,0.27805007,-0.08936563
1.46317367,0.97609782,-0.02558589,-0.21558005,0.01018099,0.04258575,0.07473980,-0.08772495,0.07473981,0.14803643,-0.11458800,-0.08772495,-0.11458802,0.32861426,-0.01248437,0.00646540,-0.00036499,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-3.98371625,0.29324940,-8.84860992,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,0.56838789,0.57227316,1.56195605,0.95620692,0.01939056,0.27803804,-0.08937103
1.47058359,0.97612542,-0.02555938,-0.21545939,0.01015754,0.04256601,0.07471487,-0.08770076,0.07471486,0.14800717,-0.11455859,-0.08770076,-0.11455859,0.32869785,-0.01672696,0.00431582,0.00394506,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-3.99561977,0.30744106,-8.87007427,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,0.56839639,0.57230224,1.56197288,0.95621214,0.01935032,0.27802146,-0.08937543
1.47552362,0.97614264,-0.02555413,-0.21538237,0.01014139,0.04255675,0.07470346,-0.08768669,0.07470347,0.14799273,-0.11454424,-0.08768668,-0.11454427,0.32875257,-0.01991525,0.00428147,0.00772664,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-4.02189302,0.31671390,-8.85572720,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,0.56840620,0.57233265,1.56199114,0.95621863,0.01931320,0.27800050,-0.08937922
1.48046365,0.97615993,-0.02554830,-0.21530557,0.01012963,0.04254643,0.07469206,-0.08767275,0.07469205,0.14798118,-0.11453041,-0.08767275,-0.11453043,0.32880753,-0.01887476,0.00692108,0.00881860,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-4.04575396,0.30930331,-8.84378147,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,0.56841634,0.57236198,1.56200900,0.95622534,0.01927952,0.27797874,-0.08938245
1.48540368,0.97617751,-0.02554684,-0.21522637,0.01012227,0.04253585,0.07468003,-0.08765915,0.07468004,0.14796745,-0.11451435,-0.08765915,-0.11451436,0.32886526,-0.01992913,0.00533229,0.00826600,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-4.06478930,0.28523198,-8.84378624,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,0.56842769,0.57239344,1.56202800,0.95623240,0.01924281,0.27795590,-0.08938583
1.50022352,0.97622776,-0.02553896,-0.21499999,0.01010607,0.04250419,0.07464575,-0.08762139,0.07464575,0.14793358,-0.11446970,-0.08762138,-0.11446968,0.32903554,-0.02362472,0.00266436,0.00987474,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-4.07674646,0.24215041,-8.79846001,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,0.56847286,0.57251456,1.56209385,0.95625087,0.01906217,0.27789912,-0.08940347
1.51504362,0.97627020,-0.02550890,-0.21481240,0.01007210,0.04247806,0.07461565,-0.08759065,0.07461565,0.14790367,-0.11443515,-0.08759064,-0.11443514,0.32918944,-0.02308089,0.00162006,0.00445501,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-4.04326200,0.26636019,-8.81516266,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,0.56851689,0.57262541,1.56214246,0.95625663,0.01886400,0.27788494,-0.08942796
