time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w,cam_x,cam_y,cam_z,cam_rot_x,cam_rot_y,cam_rot_z,cam_w,gt_left_u,gt_left_v,gt_right_u,gt_right_v
-0.02906559,13,262.63951135,165.38606327,216.79445651,165.12653836,0.67629414,0.79447098,2.17823115,0.03618650,0.24975459,-0.09045722,0.96339536,0.60989348,0.65300091,2.14577022,0.62484661,0.30427356,0.41137262,0.58970915,1222.93294706,-1092.23728012,1288.71648041,-1092.23728012
-0.02906559,20,1635.10540813,146.58844493,1591.08543532,146.95903872,0.67629414,0.79447098,2.17823115,0.03618650,0.24975459,-0.09045722,0.96339536,0.60989348,0.65300091,2.14577022,0.62484661,0.30427356,0.41137262,0.58970915,592.09628777,2461.90255091,520.42798294,2461.90255091
0.04093454,13,262.46010254,163.08385213,216.70489696,163.00977218,0.67372650,0.79480394,2.18017862,0.03594857,0.24850461,-0.09162377,0.96361725,0.60709528,0.65343718,2.14774008,0.62506362,0.30456148,0.41256655,0.58849521,1228.12496882,-1101.23123170,1294.12799217,-1101.23123170
0.04093454,20,1634.67706550,143.67004807,1590.59128941,144.03835143,0.67372650,0.79480394,2.18017862,0.03594857,0.24850461,-0.09162377,0.96361725,0.60709528,0.65343718,2.14774008,0.62506362,0.30456148,0.41256655,0.58849521,587.93235210,2453.03081235,516.54541397,2453.03081235
0.17093441,20,1640.18839169,136.72499483,1596.07525287,137.16492920,0.67023890,0.79574625,2.18266867,0.03573262,0.24706353,-0.09203172,0.96395692,0.60359929,0.65439801,2.15016669,0.62484605,0.30536981,0.41353902,0.58762418,582.42870449,2451.58865741,511.12135388,2451.58865741
0.31093441,20,1643.85209576,132.74284987,1599.75256857,133.25218042,0.66712130,0.79806358,2.18448911,0.03361779,0.24563471,-0.09409145,0.96419925,0.60013529,0.65674160,2.15259064,0.62639411,0.30623441,0.41432307,0.58496778,582.30128312,2431.30403613,511.60773072,2431.30403613
0.37093441,13,275.32313361,150.90612663,230.05289933,151.07287577,0.66616876,0.79889278,2.18498467,0.03309617,0.24548245,-0.09528057,0.96413932,0.59889469,0.65765765,2.15330856,0.62716319,0.30594914,0.41470447,0.58402197,1246.72882246,-1133.61398627,1313.52860606,-1133.61398627
0.37093441,20,1646.62668898,132.00106244,1602.27843299,132.51967109,0.66616876,0.79889278,2.18498467,0.03309617,0.24548245,-0.09528057,0.96413932,0.59889469,0.65765765,2.15330856,0.62716319,0.30594914,0.41470447,0.58402197,583.50097636,2421.31210981,513.10571855,2421.31210981
0.51093441,13,280.56331096,150.86760385,235.13971508,150.69141871,0.66656623,0.80021577,2.18427502,0.03332729,0.24599097,-0.09451399,0.96407720,0.59945898,0.65891675,2.15253008,0.62687126,0.30592483,0.41415327,0.58473882,1243.64101581,-1126.74526598,1310.23478789,-1126.74526598
0.51093441,20,1651.50697478,131.47742315,1607.11729454,132.02987218,0.66656623,0.80021577,2.18427502,0.03332729,0.24599097,-0.09451399,0.96407720,0.59945898,0.65891675,2.15253008,0.62687126,0.30592483,0.41415327,0.58473882,584.64447734,2429.50757465,514.00529628,2429.50757465
