time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w
0.05758399,7,937.45178091,301.05140383,896.42022536,300.93530821,-0.69692978,1.77436101,2.10344638,-0.22837007,0.02439544,0.97293780,0.02537658
0.05758399,11,1270.58675894,296.19090067,1229.35238276,295.85590518,-0.69692978,1.77436101,2.10344638,-0.22837007,0.02439544,0.97293780,0.02537658
0.05758399,12,363.86238823,49.62197216,308.72392912,49.01238765,-0.69692978,1.77436101,2.10344638,-0.22837007,0.02439544,0.97293780,0.02537658
0.05758399,16,828.54103744,433.13845790,791.99119393,433.16742262,-0.69692978,1.77436101,2.10344638,-0.22837007,0.02439544,0.97293780,0.02537658
0.05758399,35,1583.62778191,984.98310448,1550.61819167,984.86362972,-0.69692978,1.77436101,2.10344638,-0.22837007,0.02439544,0.97293780,0.02537658
0.05758399,36,1530.83683313,781.75025707,1500.33840632,781.73469083,-0.69692978,1.77436101,2.10344638,-0.22837007,0.02439544,0.97293780,0.02537658
0.05758399,38,1046.33592093,598.18405799,1011.50615402,598.11513595,-0.69692978,1.77436101,2.10344638,-0.22837007,0.02439544,0.97293780,0.02537658
0.05758399,40,1247.74106231,676.92510145,1213.16926530,676.77557894,-0.69692978,1.77436101,2.10344638,-0.22837007,0.02439544,0.97293780,0.02537658
0.05758399,41,1324.36517018,829.69264473,1288.83545309,829.85237773,-0.69692978,1.77436101,2.10344638,-0.22837007,0.02439544,0.97293780,0.02537658
0.05758399,42,1269.14197575,967.24701447,1230.04502719,967.54606601,-0.69692978,1.77436101,2.10344638,-0.22837007,0.02439544,0.97293780,0.02537658
0.65758399,7,927.44234850,297.73283618,886.48116672,297.52858336,-0.69167895,1.76164581,2.10970528,-0.22538128,0.02112992,0.97383708,0.01995323
0.65758399,11,1259.82522085,296.43817062,1218.67621525,296.09447224,-0.69167895,1.76164581,2.10970528,-0.22538128,0.02112992,0.97383708,0.01995323
0.65758399,12,352.54599128,39.26763131,297.47735769,38.58116555,-0.69167895,1.76164581,2.10970528,-0.22538128,0.02112992,0.97383708,0.01995323
0.65758399,16,817.61266119,428.35126843,781.07549804,428.22345918,-0.69167895,1.76164581,2.10970528,-0.22538128,0.02112992,0.97383708,0.01995323
0.65758399,35,1562.44657144,981.34999307,1529.65286894,981.33793589,-0.69167895,1.76164581,2.10970528,-0.22538128,0.02112992,0.97383708,0.01995323
0.65758399,36,1513.61232449,780.90940608,1483.41101528,780.90370048,-0.69167895,1.76164581,2.10970528,-0.22538128,0.02112992,0.97383708,0.01995323
0.65758399,38,1033.79396795,594.71393952,999.04114468,594.51478062,-0.69167895,1.76164581,2.10970528,-0.22538128,0.02112992,0.97383708,0.01995323
0.65758399,40,1233.68813025,674.62562872,1199.09008765,674.48219314,-0.69167895,1.76164581,2.10970528,-0.22538128,0.02112992,0.97383708,0.01995323
0.65758399,41,1308.00639462,826.77145365,1272.57192043,826.60251172,-0.69167895,1.76164581,2.10970528,-0.22538128,0.02112992,0.97383708,0.01995323
0.65758399,42,1250.96773618,962.11886862,1211.92001744,962.13127460,-0.69167895,1.76164581,2.10970528,-0.22538128,0.02112992,0.97383708,0.01995323
0.99758399,7,926.59069735,297.68622170,885.63559791,297.53436424,-0.68984552,1.76090279,2.10767320,-0.22622546,0.02022005,0.97366528,0.01972570
0.99758399,11,1258.54263342,297.61294497,1217.49111009,297.33220914,-0.68984552,1.76090279,2.10767320,-0.22622546,0.02022005,0.97366528,0.01972570
0.99758399,16,816.64786689,428.17181119,780.14994440,428.08336560,-0.68984552,1.76090279,2.10767320,-0.22622546,0.02022005,0.97366528,0.01972570
0.99758399,35,1560.65492334,984.97470864,1527.88097761,984.93900957,-0.68984552,1.76090279,2.10767320,-0.22622546,0.02022005,0.97366528,0.01972570
0.99758399,36,1511.82128126,783.59382099,1481.76133885,783.70055339,-0.68984552,1.76090279,2.10767320,-0.22622546,0.02022005,0.97366528,0.01972570
0.99758399,38,1032.48967548,595.63777608,997.61757448,595.48294918,-0.68984552,1.76090279,2.10767320,-0.22622546,0.02022005,0.97366528,0.01972570
0.99758399,40,1232.02422718,676.30466028,1197.45874025,676.21913615,-0.68984552,1.76090279,2.10767320,-0.22622546,0.02022005,0.97366528,0.01972570
0.99758399,41,1306.11747485,829.01642261,1270.80323768,829.02273403,-0.68984552,1.76090279,2.10767320,-0.22622546,0.02022005,0.97366528,0.01972570
