time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w
0.15365731,38,1111.14831644,78.18846489,1075.10072768,77.93480379,-0.51966849,2.01035348,2.10405241,0.02071157,-0.01414974,0.99963656,0.00986243
0.15365731,40,1301.99280057,175.50903457,1267.42707995,175.40790402,-0.51966849,2.01035348,2.10405241,0.02071157,-0.01414974,0.99963656,0.00986243
0.55365731,38,1135.41712550,54.79404842,1098.86134924,54.60418233,-0.51414910,1.98365578,2.11194031,0.02931134,-0.02516231,0.99915638,0.01393470
0.55365731,40,1324.80686767,158.77672523,1289.83957996,158.51897707,-0.51414910,1.98365578,2.11194031,0.02931134,-0.02516231,0.99915638,0.01393470
0.75365731,38,1149.39034797,58.25255695,1112.54423622,58.25322456,-0.52511839,1.98562648,2.10893175,0.02595717,-0.02478585,0.99935098,0.00307961
0.75365731,40,1338.49688167,163.52542960,1302.89730345,163.37044123,-0.52511839,1.98562648,2.10893175,0.02595717,-0.02478585,0.99935098,0.00307961
0.96365719,38,1128.13370135,66.18043939,1090.94319570,66.09044466,-0.53758196,1.99679394,2.10032910,0.01853353,-0.02494457,0.99949474,0.00662892
1.02365719,38,1118.36171608,75.78616161,1082.15822811,75.58365133,-0.54095449,2.00407481,2.09826031,0.01753257,-0.02344581,0.99953118,0.00895345
1.22365719,35,1549.58010930,495.26090480,1520.26451736,495.03236644,-0.55121121,2.02260649,2.09429897,0.01281013,-0.01320097,0.99980327,0.00739793
1.22365719,36,1560.94204555,315.55259658,1531.44623170,315.28199430,-0.55121121,2.02260649,2.09429897,0.01281013,-0.01320097,0.99980327,0.00739793
1.22365719,38,1130.23644856,89.24123395,1093.64794133,89.06359869,-0.55121121,2.02260649,2.09429897,0.01281013,-0.01320097,0.99980327,0.00739793
1.22365719,40,1319.21755620,191.27640453,1284.21247639,191.00781187,-0.55121121,2.02260649,2.09429897,0.01281013,-0.01320097,0.99980327,0.00739793
1.63365731,24,1632.92847759,428.21663999,1608.29677917,428.35039706,-0.57964955,2.03951588,2.08209823,-0.00354226,0.00169445,0.99998362,-0.00406359
1.63365731,38,1114.44856957,120.38418202,1077.80337760,120.34201771,-0.57964955,2.03951588,2.08209823,-0.00354226,0.00169445,0.99998362,-0.00406359
1.63365731,40,1304.87527467,216.10920498,1269.68579591,215.90838660,-0.57964955,2.03951588,2.08209823,-0.00354226,0.00169445,0.99998362,-0.00406359
1.83365731,38,1098.62751727,126.08613959,1062.42417043,126.04112623,-0.58849765,2.04012621,2.08045534,-0.00249035,0.00051798,0.99998008,-0.00561897
1.83365731,40,1291.17646861,220.57698738,1256.57631270,220.31730436,-0.58849765,2.04012621,2.08045534,-0.00249035,0.00051798,0.99998008,-0.00561897
1.89365706,38,1102.38823353,127.29029929,1065.47828265,127.19027563,-0.59007916,2.03939882,2.08138955,-0.00221984,0.00016738,0.99996936,-0.00750047
1.96365719,35,1516.47222441,514.57054962,1487.52785067,514.46324040,-0.59189063,2.03968027,2.08321077,-0.00054801,-0.00050106,0.99998250,-0.00586025
1.96365719,36,1518.53907809,336.96053205,1489.37271889,336.79514689,-0.59189063,2.03968027,2.08321077,-0.00054801,-0.00050106,0.99998250,-0.00586025
1.96365719,38,1089.05644396,127.38464666,1052.41549449,127.16206387,-0.59189063,2.03968027,2.08321077,-0.00054801,-0.00050106,0.99998250,-0.00586025
1.96365719,40,1279.32716529,222.29789566,1244.36770882,221.96982290,-0.59189063,2.03968027,2.08321077,-0.00054801,-0.00050106,0.99998250,-0.00586025
2.03365731,35,1521.42824085,511.81777245,1492.23963508,511.75923741,-0.59315676,2.04038421,2.08475338,0.00088546,-0.00078666,0.99998351,-0.00561652
2.03365731,36,1522.77938139,334.44197184,1493.71922961,334.18405645,-0.59315676,2.04038421,2.08475338,0.00088546,-0.00078666,0.99998351,-0.00561652
2.03365731,38,1090.57402062,124.78162670,1054.28061812,124.51379345,-0.59315676,2.04038421,2.08475338,0.00088546,-0.00078666,0.99998351,-0.00561652
2.03365731,40,1282.13109402,219.59843519,1247.31829797,219.11204584,-0.59315676,2.04038421,2.08475338,0.00088546,-0.00078666,0.99998351,-0.00561652
2.03365731,44,1776.19953520,365.30253039,1752.44525240,365.06579666,-0.59315676,2.04038421,2.08475338,0.00088546,-0.00078666,0.99998351,-0.00561652
3.17365706,24,1521.71583644,409.75562639,1498.08043982,409.73062301,-0.65316840,2.08939523,2.07992261,-0.00807170,0.01959711,0.99891686,-0.04142329
3.17365706,35,1445.56463312,494.15136396,1416.88635867,493.81527067,-0.65316840,2.08939523,2.07992261,-0.00807170,0.01959711,0.99891686,-0.04142329
3.17365706,38,1020.68870058,114.25358858,983.52654700,114.23539266,-0.65316840,2.08939523,2.07992261,-0.00807170,0.01959711,0.99891686,-0.04142329
3.17365706,40,1211.85535440,208.16269031,1176.81356734,207.88705602,-0.65316840,2.08939523,2.07992261,-0.00807170,0.01959711,0.99891686,-0.04142329
3.17365706,44,1673.50163573,343.69390096,1649.98152852,343.71031562,-0.65316840,2.08939523,2.07992261,-0.00807170,0.01959711,0.99891686,-0.04142329
3.30365719,35,1442.58403433,496.33222893,1413.89786131,496.35354146,-0.66917169,2.09230624,2.07777661,-0.01014899,0.02036562,0.99892606,-0.04035727
3.30365719,36,1438.27453345,321.74128075,1409.47778731,321.84681609,-0.66917169,2.09230624,2.07777661,-0.01014899,0.02036562,0.99892606,-0.04035727
3.30365719,38,1015.56227783,117.27756216,978.49576502,117.23117874,-0.66917169,2.09230624,2.07777661,-0.01014899,0.02036562,0.99892606,-0.04035727
3.30365719,40,1207.41940548,211.13484550,1172.50125776,210.91808211,-0.66917169,2.09230624,2.07777661,-0.01014899,0.02036562,0.99892606,-0.04035727
3.50365719,38,1030.66958258,120.47849841,993.76119209,120.38494926,-0.71207519,2.09367836,2.07274800,-0.00605364,0.01406461,0.99958215,-0.02450573
3.50365719,40,1225.21800158,214.01542662,1190.41165434,213.74608478,-0.71207519,2.09367836,2.07274800,-0.00605364,0.01406461,0.99958215,-0.02450573
3.63365731,38,1064.03036447,122.18011153,1026.78455898,122.24608373,-0.75368323,2.08704815,2.06621481,-0.00965928,0.00546380,0.99988475,-0.01031374
3.63365731,40,1260.94762577,217.63463614,1225.72732169,217.47756408,-0.75368323,2.08704815,2.06621481,-0.00965928,0.00546380,0.99988475,-0.01031374
3.97365706,24,1703.66876079,475.97600506,1678.21211332,476.02566264,-0.89011947,2.05441027,2.05244384,-0.02220252,-0.01254419,0.99949448,0.01896287
