time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w,cam_x,cam_y,cam_z,cam_rot_x,cam_rot_y,cam_rot_z,cam_w,valid_frame,gt_left_u,gt_left_v,gt_right_u,gt_right_v
0.15365731,38,1111.14831644,78.18846489,1075.10072768,77.93480379,-0.51966849,2.01035348,2.10405241,0.02071157,-0.01414974,0.99963656,0.00986243,-0.49998667,2.16686671,2.08492830,-0.50430227,0.48370125,0.52590647,0.48490691,1.00000000,1126.37507880,64.83348785,1090.45334478,64.83348785
0.15365731,40,1301.99280057,175.50903457,1267.42707995,175.40790402,-0.51966849,2.01035348,2.10405241,0.02071157,-0.01414974,0.99963656,0.00986243,-0.49998667,2.16686671,2.08492830,-0.50430227,0.48370125,0.52590647,0.48490691,1.00000000,1315.54956456,164.33103497,1281.17584004,164.33103497
0.55365731,38,1135.41712550,54.79404842,1098.86134924,54.60418233,-0.51414910,1.98365578,2.11194031,0.02931134,-0.02516231,0.99915638,0.01393470,-0.50324290,2.13803935,2.09620965,-0.50421006,0.47469230,0.53644969,0.48234963,1.00000000,1135.06643816,42.10789549,1098.80929214,42.10789549
0.55365731,40,1324.80686767,158.77672523,1289.83957996,158.51897707,-0.51414910,1.98365578,2.11194031,0.02931134,-0.02516231,0.99915638,0.01393470,-0.50324290,2.13803935,2.09620965,-0.50421006,0.47469230,0.53644969,0.48234963,1.00000000,1323.78430685,147.20436471,1289.12029557,147.20436471
0.75365731,38,1149.39034797,58.25255695,1112.54423622,58.25322456,-0.52511839,1.98562648,2.10893175,0.02595717,-0.02478585,0.99935098,0.00307961,-0.50851416,2.14249419,2.09305683,-0.51017387,0.47207672,0.53032510,0.48540857,1.00000000,1115.66868193,51.24255087,1079.56525897,51.24255087
0.75365731,40,1338.49688167,163.52542960,1302.89730345,163.37044123,-0.52511839,1.98562648,2.10893175,0.02595717,-0.02478585,0.99935098,0.00307961,-0.50851416,2.14249419,2.09305683,-0.51017387,0.47207672,0.53032510,0.48540857,1.00000000,1302.62982268,156.68420806,1268.20411248,156.68420806
0.96365719,38,1128.13370135,66.18043939,1090.94319570,66.09044466,-0.53758196,1.99679394,2.10032910,0.01853353,-0.02494457,0.99949474,0.00662892,-0.48246261,2.16263853,2.08418622,-0.50808615,0.48177636,0.53242894,0.47566735,1.00000000,1144.65485664,76.53665525,1108.91625520,76.53665525
1.02365719,38,1118.36171608,75.78616161,1082.15822811,75.58365133,-0.54095449,2.00407481,2.09826031,0.01753257,-0.02344581,0.99953118,0.00895345,-0.52514563,2.16002211,2.08215789,-0.51127105,0.47962145,0.52795596,0.47940347,1.00000000,1129.26597948,74.01506124,1093.21206107,74.01506124
1.22365719,35,1549.58010930,495.26090480,1520.26451736,495.03236644,-0.55121121,2.02260649,2.09429897,0.01281013,-0.01320097,0.99980327,0.00739793,-0.52144633,2.18182034,2.07499600,-0.50793149,0.48805994,0.52140198,0.48160468,1.00000000,1547.99445187,485.16994741,1519.41061266,485.16994741
1.22365719,36,1560.94204555,315.55259658,1531.44623170,315.28199430,-0.55121121,2.02260649,2.09429897,0.01281013,-0.01320097,0.99980327,0.00739793,-0.52144633,2.18182034,2.07499600,-0.50793149,0.48805994,0.52140198,0.48160468,1.00000000,1558.27639969,305.46502473,1529.58936780,305.46502473
