time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w,cam_x,cam_y,cam_z,cam_rot_x,cam_rot_y,cam_rot_z,cam_w,gt_left_u,gt_left_v,gt_right_u,gt_right_v
0.15365731,38,1111.14831644,78.18846489,1075.10072768,77.93480379,-0.51966849,2.01035348,2.10405241,0.02071157,-0.01414974,0.99963656,0.00986243,-0.48859287,2.16611845,2.06378513,-0.50197182,0.48187420,0.53011209,0.48456446,1133.58319849,62.82473591,1097.62380924,62.82473591
0.15365731,40,1301.99280057,175.50903457,1267.42707995,175.40790402,-0.51966849,2.01035348,2.10405241,0.02071157,-0.01414974,0.99963656,0.00986243,-0.48859287,2.16611845,2.06378513,-0.50197182,0.48187420,0.53011209,0.48456446,1322.70501560,162.79796901,1288.28377815,162.79796901
0.55365731,38,1135.41712550,54.79404842,1098.86134924,54.60418233,-0.51414910,1.98365578,2.11194031,0.02931134,-0.02516231,0.99915638,0.01393470,-0.49221225,2.13771809,2.07486406,-0.50184390,0.47281716,0.54061417,0.48200928,1142.40606249,40.08164802,1106.10444787,40.08164802
0.55365731,40,1324.80686767,158.77672523,1289.83957996,158.51897707,-0.51414910,1.98365578,2.11194031,0.02931134,-0.02516231,0.99915638,0.01393470,-0.49221225,2.13771809,2.07486406,-0.50184390,0.47281716,0.54061417,0.48200928,1331.06996562,145.67806654,1296.35321876,145.67806654
0.75365731,38,1149.39034797,58.25255695,1112.54423622,58.25322456,-0.52511839,1.98562648,2.10893175,0.02595717,-0.02478585,0.99935098,0.00307961,-0.49732724,2.14235999,2.07179072,-0.50780635,0.47022186,0.53450115,0.48511096,1122.92328619,49.19318799,1086.78090248,49.19318799
0.75365731,40,1338.49688167,163.52542960,1302.89730345,163.37044123,-0.52511839,1.98562648,2.10893175,0.02595717,-0.02478585,0.99935098,0.00307961,-0.49732724,2.14235999,2.07179072,-0.50780635,0.47022186,0.53450115,0.48511096,1309.79330187,155.10184152,1275.32040297,155.10184152
0.96365719,38,1128.13370135,66.18043939,1090.94319570,66.09044466,-0.53758196,1.99679394,2.10032910,0.01853353,-0.02494457,0.99949474,0.00662892,-0.47098040,2.16222128,2.06308179,-0.50577117,0.47989167,0.53661819,0.47533190,1151.84188964,74.57293606,1116.06510910,74.57293606
1.02365719,38,1118.36171608,75.78616161,1082.15822811,75.58365133,-0.54095449,2.00407481,2.09826031,0.01753257,-0.02344581,0.99953118,0.00895345,-0.51361021,2.15970147,2.06108080,-0.50894867,0.47775786,0.53215264,0.47909523,1136.42510455,72.08050337,1100.33576806,72.08050337
1.22365719,35,1549.58010930,495.26090480,1520.26451736,495.03236644,-0.55121121,2.02260649,2.09429897,0.01281013,-0.01320097,0.99980327,0.00739793,-0.50972028,2.18102816,2.05403689,-0.50563465,0.48623466,0.52562777,0.48127425,1553.84357055,484.04218298,1525.23986679,484.04218298
1.22365719,36,1560.94204555,315.55259658,1531.44623170,315.28199430,-0.55121121,2.02260649,2.09429897,0.01281013,-0.01320097,0.99980327,0.00739793,-0.50972028,2.18102816,2.05403689,-0.50563465,0.48623466,0.52562777,0.48127425,1565.70716409,303.96677682,1536.96106155,303.96677682
