time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w,cam_x,cam_y,cam_z,cam_rot_x,cam_rot_y,cam_rot_z,cam_w,gt_left_u,gt_left_v,gt_right_u,gt_right_v
0.15365731,38,1111.14831644,78.18846489,1075.10072768,77.93480379,-0.51966849,2.01035348,2.10405241,0.02071157,-0.01414974,0.99963656,0.00986243,-0.47881046,2.18400249,2.05055539,0.52082462,-0.49855684,0.48195996,-0.49789295,-2388.95040825,8036.51157741,-2638.27294567,8036.51157741
0.15365731,40,1301.99280057,175.50903457,1267.42707995,175.40790402,-0.51966849,2.01035348,2.10405241,0.02071157,-0.01414974,0.99963656,0.00986243,-0.47881046,2.18400249,2.05055539,0.52082462,-0.49855684,0.48195996,-0.49789295,-259.17968681,3916.00038306,-366.12515517,3916.00038306
0.55365731,38,1135.41712550,54.79404842,1098.86134924,54.60418233,-0.51414910,1.98365578,2.11194031,0.02931134,-0.02516231,0.99915638,0.01393470,-0.48258214,2.15585478,2.06186860,0.52940944,-0.50063818,0.47098606,-0.49725164,-2372.05847156,7658.54296424,-2611.05050652,7658.54296424
0.55365731,40,1324.80686767,158.77672523,1289.83957996,158.51897707,-0.51414910,1.98365578,2.11194031,0.02931134,-0.02516231,0.99915638,0.01393470,-0.48258214,2.15585478,2.06186860,0.52940944,-0.50063818,0.47098606,-0.49725164,-284.94612306,3840.65949312,-390.39381999,3840.65949312
0.75365731,38,1149.39034797,58.25255695,1112.54423622,58.25322456,-0.52511839,1.98562648,2.10893175,0.02595717,-0.02478585,0.99935098,0.00307961,-0.48792310,2.16065873,2.05885709,0.53199623,-0.49768319,0.47729045,-0.49141152,-2741.35178165,8604.10942426,-3011.00678247,8604.10942426
0.75365731,40,1338.49688167,163.52542960,1302.89730345,163.37044123,-0.52511839,1.98562648,2.10893175,0.02595717,-0.02478585,0.99935098,0.00307961,-0.48792310,2.16065873,2.05885709,0.53199623,-0.49768319,0.47729045,-0.49141152,-329.83471779,4047.28283218,-441.14457805,4047.28283218
0.96365719,38,1128.13370135,66.18043939,1090.94319570,66.09044466,-0.53758196,1.99679394,2.10032910,0.01853353,-0.02494457,0.99949474,0.00662892,-0.46095210,2.18027945,2.05027959,0.52241413,-0.50749164,0.47517472,-0.49370507,-1965.04911556,7241.22992405,-2186.68051921,7241.22992405
1.02365719,38,1118.36171608,75.78616161,1082.15822811,75.58365133,-0.54095449,2.00407481,2.09826031,0.01753257,-0.02344581,0.99953118,0.00895345,-0.50379692,2.17785784,2.04825091,0.52459498,-0.50385853,0.47979697,-0.49063383,-2261.34064775,7890.78043589,-2506.66389730,7890.78043589
1.22365719,35,1549.58010930,495.26090480,1520.26451736,495.03236644,-0.55121121,2.02260649,2.09429897,0.01281013,-0.01320097,0.99980327,0.00739793,-0.49973018,2.19888474,2.04092580,0.51648663,-0.50196329,0.48657850,-0.49448537,806.82809326,2554.39538427,754.18316465,2554.39538427
1.22365719,36,1560.94204555,315.55259658,1531.44623170,315.28199430,-0.55121121,2.02260649,2.09429897,0.01281013,-0.01320097,0.99980327,0.00739793,-0.49973018,2.19888474,2.04092580,0.51648663,-0.50196329,0.48657850,-0.49448537,480.50159131,2528.12999079,428.22754947,2528.12999079
1.22365719,38,1130.23644856,89.24123395,1093.64794133,89.06359869,-0.55121121,2.02260649,2.09429897,0.01281013,-0.01320097,0.99980327,0.00739793,-0.49973018,2.19888474,2.04092580,0.51648663,-0.50196329,0.48657850,-0.49448537,-2194.94340668,7914.78570536,-2439.91981415,7914.78570536
1.22365719,40,1319.21755620,191.27640453,1284.21247639,191.00781187,-0.55121121,2.02260649,2.09429897,0.01281013,-0.01320097,0.99980327,0.00739793,-0.49973018,2.19888474,2.04092580,0.51648663,-0.50196329,0.48657850,-0.49448537,-189.57715782,3889.80925095,-295.67396117,3889.80925095
1.63365731,24,1632.92847759,428.21663999,1608.29677917,428.35039706,-0.57964955,2.03951588,2.08209823,-0.00354226,0.00169445,0.99998362,-0.00406359,-0.71616975,2.16240957,2.02430524,0.52733515,-0.47461757,0.52833227,-0.46639127,664.25029421,2746.00547409,617.82717202,2746.00547409
1.63365731,38,1114.44856957,120.38418202,1077.80337760,120.34201771,-0.57964955,2.03951588,2.08209823,-0.00354226,0.00169445,0.99998362,-0.00406359,-0.71616975,2.16240957,2.02430524,0.52733515,-0.47461757,0.52833227,-0.46639127,-20002.92675267,51700.16494320,-21770.75940091,51700.16494320
1.63365731,40,1304.87527467,216.10920498,1269.68579591,215.90838660,-0.57964955,2.03951588,2.08209823,-0.00354226,0.00169445,0.99998362,-0.00406359,-0.71616975,2.16240957,2.02430524,0.52733515,-0.47461757,0.52833227,-0.46639127,-756.19360811,5887.10994747,-928.87707826,5887.10994747
1.83365731,38,1098.62751727,126.08613959,1062.42417043,126.04112623,-0.58849765,2.04012621,2.08045534,-0.00249035,0.00051798,0.99998008,-0.00561897,-0.74783782,2.15490192,2.02306755,0.53158009,-0.47116850,0.53030924,-0.46281202,-55250.28821620,135886.96009345,-59973.92050226,135886.96009345
1.83365731,40,1291.17646861,220.57698738,1256.57631270,220.31730436,-0.58849765,2.04012621,2.08045534,-0.00249035,0.00051798,0.99998008,-0.00561897,-0.74783782,2.15490192,2.02306755,0.53158009,-0.47116850,0.53030924,-0.46281202,-884.03093461,6229.20655642,-1069.00205408,6229.20655642
1.89365706,38,1102.38823353,127.29029929,1065.47828265,127.19027563,-0.59007916,2.03939882,2.08138955,-0.00221984,0.00016738,0.99996936,-0.00750047,-0.56764809,2.20882043,2.02453126,0.51269691,-0.49211506,0.51106996,-0.48349989,-3487.47066872,11730.57174220,-3859.81357676,11730.57174220
1.96365719,35,1516.47222441,514.57054962,1487.52785067,514.46324040,-0.59189063,2.03968027,2.08321077,-0.00054801,-0.00050106,0.99998250,-0.00586025,-0.57450275,2.20768221,2.02648999,0.51366580,-0.49185087,0.50968600,-0.48420074,829.39871240,2733.03661545,772.45584220,2733.03661545
1.96365719,36,1518.53907809,336.96053205,1489.37271889,336.79514689,-0.59189063,2.03968027,2.08321077,-0.00054801,-0.00050106,0.99998250,-0.00586025,-0.57450275,2.20768221,2.02648999,0.51366580,-0.49185087,0.50968600,-0.48420074,472.28459621,2730.65067074,415.30143165,2730.65067074
1.96365719,38,1089.05644396,127.38464666,1052.41549449,127.16206387,-0.59189063,2.03968027,2.08321077,-0.00054801,-0.00050106,0.99998250,-0.00586025,-0.57450275,2.20768221,2.02648999,0.51366580,-0.49185087,0.50968600,-0.48420074,-3472.19506202,11552.24091460,-3839.82064144,11552.24091460
1.96365719,40,1279.32716529,222.29789566,1244.36770882,221.96982290,-0.59189063,2.03968027,2.08321077,-0.00054801,-0.00050106,0.99998250,-0.00586025,-0.57450275,2.20768221,2.02648999,0.51366580,-0.49185087,0.50968600,-0.48420074,-296.90524239,4464.05975350,-421.06040952,4464.05975350
2.03365731,35,1521.42824085,511.81777245,1492.23963508,511.75923741,-0.59315676,2.04038421,2.08475338,0.00088546,-0.00078666,0.99998351,-0.00561652,-0.56858311,2.21027403,2.02805781,0.51360151,-0.49226348,0.50789745,-0.48572661,824.24295786,2712.13246943,767.80104899,2712.13246943
2.03365731,36,1522.77938139,334.44197184,1493.71922961,334.18405645,-0.59315676,2.04038421,2.08475338,0.00088546,-0.00078666,0.99998351,-0.00561652,-0.56858311,2.21027403,2.02805781,0.51360151,-0.49226348,0.50789745,-0.48572661,470.37657798,2708.31920501,413.90663713,2708.31920501
2.03365731,38,1090.57402062,124.78162670,1054.28061812,124.51379345,-0.59315676,2.04038421,2.08475338,0.00088546,-0.00078666,0.99998351,-0.00561652,-0.56858311,2.21027403,2.02805781,0.51360151,-0.49226348,0.50789745,-0.48572661,-3301.91716811,11045.58392454,-3652.57816223,11045.58392454
2.03365731,40,1282.13109402,219.59843519,1247.31829797,219.11204584,-0.59315676,2.04038421,2.08475338,0.00088546,-0.00078666,0.99998351,-0.00561652,-0.56858311,2.21027403,2.02805781,0.51360151,-0.49226348,0.50789745,-0.48572661,-288.03784546,4397.33360763,-410.12763321,4397.33360763
2.03365731,44,1776.19953520,365.30253039,1752.44525240,365.06579666,-0.59315676,2.04038421,2.08475338,0.00088546,-0.00078666,0.99998351,-0.00561652,-0.56858311,2.21027403,2.02805781,0.51360151,-0.49226348,0.50789745,-0.48572661,651.38700728,2033.43258306,619.73830036,2033.43258306
3.17365706,24,1521.71583644,409.75562639,1498.08043982,409.73062301,-0.65316840,2.08939523,2.07992261,-0.00807170,0.01959711,0.99891686,-0.04142329,-0.63732637,2.25899440,2.01670484,0.51604030,-0.46782750,0.53926512,-0.47332122,648.41214751,2733.00651804,603.00247458,2733.00651804
3.17365706,35,1445.56463312,494.15136396,1416.88635867,493.81527067,-0.65316840,2.08939523,2.07992261,-0.00807170,0.01959711,0.99891686,-0.04142329,-0.63732637,2.25899440,2.01670484,0.51604030,-0.46782750,0.53926512,-0.47332122,805.13805434,3073.61360931,740.60043060,3073.61360931
3.17365706,38,1020.68870058,114.25358858,983.52654700,114.23539266,-0.65316840,2.08939523,2.07992261,-0.00807170,0.01959711,0.99891686,-0.04142329,-0.63732637,2.25899440,2.01670484,0.51604030,-0.46782750,0.53926512,-0.47332122,-12704.82339461,35478.17754050,-13878.90629954,35478.17754050
3.17365706,40,1211.85535440,208.16269031,1176.81356734,207.88705602,-0.65316840,2.08939523,2.07992261,-0.00807170,0.01959711,0.99891686,-0.04142329,-0.63732637,2.25899440,2.01670484,0.51604030,-0.46782750,0.53926512,-0.47332122,-653.75342840,5711.36097092,-816.53578111,5711.36097092
3.17365706,44,1673.50163573,343.69390096,1649.98152852,343.71031562,-0.65316840,2.08939523,2.07992261,-0.00807170,0.01959711,0.99891686,-0.04142329,-0.63732637,2.25899440,2.01670484,0.51604030,-0.46782750,0.53926512,-0.47332122,602.66978944,2264.22376100,567.55769368,2264.22376100
3.30365719,35,1442.58403433,496.33222893,1413.89786131,496.35354146,-0.66917169,2.09230624,2.07777661,-0.01014899,0.02036562,0.99892606,-0.04035727,-0.65323505,2.26163628,2.01439723,0.51414681,-0.46893972,0.54024358,-0.47316538,815.12592050,3047.25800850,751.00712906,3047.25800850
3.30365719,36,1438.27453345,321.74128075,1409.47778731,321.84681609,-0.66917169,2.09230624,2.07777661,-0.01014899,0.02036562,0.99892606,-0.04035727,-0.65323505,2.26163628,2.01439723,0.51414681,-0.46893972,0.54024358,-0.47316538,404.98767240,3091.09615042,339.79541878,3091.09615042
3.30365719,38,1015.56227783,117.27756216,978.49576502,117.23117874,-0.66917169,2.09230624,2.07777661,-0.01014899,0.02036562,0.99892606,-0.04035727,-0.65323505,2.26163628,2.01439723,0.51414681,-0.46893972,0.54024358,-0.47316538,-11554.90807568,32811.27311202,-12642.50174234,32811.27311202
3.30365719,40,1207.41940548,211.13484550,1172.50125776,210.91808211,-0.66917169,2.09230624,2.07777661,-0.01014899,0.02036562,0.99892606,-0.04035727,-0.65323505,2.26163628,2.01439723,0.51414681,-0.46893972,0.54024358,-0.47316538,-613.63111075,5632.64004178,-774.46227315,5632.64004178
3.50365719,38,1030.66958258,120.47849841,993.76119209,120.38494926,-0.71207519,2.09367836,2.07274800,-0.00605364,0.01406461,0.99958215,-0.02450573,-0.69378201,2.26241213,2.01135113,0.51205265,-0.47823576,0.52788756,-0.48002851,-5103.07156728,15649.06174481,-5620.61556620,15649.06174481
3.50365719,40,1225.21800158,214.01542662,1190.41165434,213.74608478,-0.71207519,2.09367836,2.07274800,-0.00605364,0.01406461,0.99958215,-0.02450573,-0.69378201,2.26241213,2.01135113,0.51205265,-0.47823576,0.52788756,-0.48002851,-407.73229607,4811.20805867,-545.40475883,4811.20805867
3.63365731,38,1064.03036447,122.18011153,1026.78455898,122.24608373,-0.75368323,2.08704815,2.06621481,-0.00965928,0.00546380,0.99988475,-0.01031374,-0.75844727,2.24697049,2.00772984,0.51064074,-0.48847798,0.52172190,-0.47795560,-3693.36667165,12221.96669426,-4100.43578964,12221.96669426
3.63365731,40,1260.94762577,217.63463614,1225.72732169,217.47756408,-0.75368323,2.08704815,2.06621481,-0.00965928,0.00546380,0.99988475,-0.01031374,-0.75844727,2.24697049,2.00772984,0.51064074,-0.48847798,0.52172190,-0.47795560,-265.58155347,4447.84613881,-394.04050305,4447.84613881
3.97365706,24,1703.66876079,475.97600506,1678.21211332,476.02566264,-0.89011947,2.05441027,2.05244384,-0.02220252,-0.01254419,0.99949448,0.01896287,-0.84350922,2.22772602,2.00151772,-0.49399419,0.52303268,-0.50034395,0.48172864,820.73692335,2114.99454006,784.37346604,2114.99454006
3.97365706,38,1152.66185242,141.91169601,1114.04767391,142.02015924,-0.89011947,2.05441027,2.05244384,-0.02220252,-0.01254419,0.99949448,0.01896287,-0.84350922,2.22772602,2.00151772,-0.49399419,0.52303268,-0.50034395,0.48172864,-1291.50029016,6505.26569877,-1504.78981691,6505.26569877
