time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w,cam_x,cam_y,cam_z,cam_rot_x,cam_rot_y,cam_rot_z,cam_w,gt_left_u,gt_left_v,gt_right_u,gt_right_v
0.04266386,13,217.31029801,417.44865095,163.84297193,417.28380359,0.96121125,0.64390154,1.56962491,0.05059962,0.29386639,-0.10201998,0.94903853,0.85603701,0.53235760,1.55912019,0.66159028,0.52802909,0.34297175,-0.40725170,197.33070878,420.05378409,146.26710811,420.05378409
0.04266386,14,266.65700729,193.61379716,201.04861458,193.02956652,0.96121125,0.64390154,1.56962491,0.05059962,0.29386639,-0.10201998,0.94903853,0.85603701,0.53235760,1.55912019,0.66159028,0.52802909,0.34297175,-0.40725170,254.26067117,203.18975316,191.59811589,203.18975316
0.04266386,31,1136.87762335,590.99423323,1081.04237315,590.88385970,0.96121125,0.64390154,1.56962491,0.05059962,0.29386639,-0.10201998,0.94903853,0.85603701,0.53235760,1.55912019,0.66159028,0.52802909,0.34297175,-0.40725170,1100.64977646,596.70905680,1046.86436409,596.70905680
0.11266373,13,217.77585466,416.80234998,164.14831409,416.70989059,0.96114840,0.64452391,1.56961036,0.04992019,0.29425961,-0.10171731,0.94898516,0.85607686,0.53286390,1.55931327,0.66126827,0.52871692,0.34261191,-0.40718518,196.78226672,419.60300142,145.71193147,419.60300142
0.11266373,14,267.62092786,192.59291293,201.94725121,192.11515479,0.96114840,0.64452391,1.56961036,0.04992019,0.29425961,-0.10171731,0.94898516,0.85607686,0.53286390,1.55931327,0.66126827,0.52871692,0.34261191,-0.40718518,254.11047696,202.83856515,191.45022486,202.83856515
0.11266373,31,1136.36851906,590.80454955,1080.45330528,590.68372818,0.96114840,0.64452391,1.56961036,0.04992019,0.29425961,-0.10171731,0.94898516,0.85607686,0.53286390,1.55931327,0.66126827,0.52871692,0.34261191,-0.40718518,1099.90972941,597.61815609,1046.12830098,597.61815609
0.17266373,13,215.93494511,416.14619481,162.54742123,416.07173446,0.96117303,0.64512792,1.56951625,0.04912130,0.29464538,-0.10160536,0.94891915,0.85617116,0.53337968,1.55946855,0.66096095,0.52937238,0.34208996,-0.40727136,196.87902660,419.00979047,145.81494532,419.00979047
0.17266373,14,265.19891196,192.16233488,199.39852913,191.67180357,0.96117303,0.64512792,1.56951625,0.04912130,0.29464538,-0.10160536,0.94891915,0.85617116,0.53337968,1.55946855,0.66096095,0.52937238,0.34208996,-0.40727136,254.60303616,202.40027640,191.95877895,202.40027640
0.17266373,31,1135.54462024,591.20701435,1079.68958781,591.10088018,0.96117303,0.64512792,1.56951625,0.04912130,0.29464538,-0.10160536,0.94891915,0.85617116,0.53337968,1.55946855,0.66096095,0.52937238,0.34208996,-0.40727136,1099.60635080,598.52227874,1045.82424050,598.52227874
0.24266386,13,215.96242523,415.54503793,162.44848445,415.62588332,0.96104498,0.64562654,1.56970097,0.04859590,0.29457357,-0.10170001,0.94895835,0.85605818,0.53385385,1.55976846,0.66070064,0.52958999,0.34184731,-0.40761444,197.39523837,417.95706616,146.34760148,417.95706616
0.24266386,14,266.01716630,191.57281192,200.36281856,191.08427703,0.96104498,0.64562654,1.56970097,0.04859590,0.29457357,-0.10170001,0.94895835,0.85605818,0.53385385,1.55976846,0.66070064,0.52958999,0.34184731,-0.40761444,255.24460662,201.44442685,192.61791096,201.44442685
0.24266386,31,1134.96948033,591.79736873,1079.09190099,591.69581473,0.96104498,0.64562654,1.56970097,0.04859590,0.29457357,-0.10170001,0.94895835,0.85605818,0.53385385,1.55976846,0.66070064,0.52958999,0.34184731,-0.40761444,1099.67919871,598.32093705,1045.90229349,598.32093705
0.31266373,13,216.32495193,414.99683414,162.82045866,414.91143911,0.96078528,0.64572462,1.57012606,0.04813449,0.29436451,-0.10180459,0.94903553,0.85580950,0.53393495,1.56026841,0.66042330,0.52971245,0.34171156,-0.40801837,198.06974661,416.65647573,147.03941544,416.65647573
0.31266373,14,266.21112950,191.03756775,200.43115457,190.53140073,0.96078528,0.64572462,1.57012606,0.04813449,0.29436451,-0.10180459,0.94903553,0.85580950,0.53393495,1.56026841,0.66042330,0.52971245,0.34171156,-0.40801837,256.02120741,200.20564739,193.41050912,200.20564739
0.31266373,31,1135.04947902,592.14694860,1079.15510875,592.01658410,0.96078528,0.64572462,1.57012606,0.04813449,0.29436451,-0.10180459,0.94903553,0.85580950,0.53393495,1.56026841,0.66042330,0.52971245,0.34171156,-0.40801837,1099.92195662,597.72212597,1046.15429122,597.72212597
0.38266360,13,217.18846307,413.67540583,163.70363358,413.58985607,0.96037241,0.64538181,1.57066632,0.04816127,0.29405271,-0.10199420,0.94911046,0.85535915,0.53363183,1.56075794,0.66039337,0.52947884,0.34180283,-0.40829351,198.86338043,416.00708582,147.85263345,416.00708582
