time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w,cam_x,cam_y,cam_z,cam_rot_x,cam_rot_y,cam_rot_z,cam_w,gt_left_u,gt_left_v,gt_right_u,gt_right_v
0.50400370,7,918.87592386,37.64218078,877.86822844,37.51878459,-0.37320311,1.95327227,2.11325500,-0.09280421,0.03073316,0.99510628,-0.01436424,-0.34996973,2.10337082,2.06427254,0.54844765,-0.54413010,-0.43457184,-0.46289839,907.50465257,45.37687464,866.98550567,45.37687464
0.50400370,11,1244.86925993,40.22811916,1204.37880387,40.07982842,-0.37320311,1.95327227,2.11325500,-0.09280421,0.03073316,0.99510628,-0.01436424,-0.34996973,2.10337082,2.06427254,0.54844765,-0.54413010,-0.43457184,-0.46289839,1231.23892627,48.16455870,1191.54156693,48.16455870
0.50400370,16,804.70892691,168.40924606,768.79760080,168.30023443,-0.37320311,1.95327227,2.11325500,-0.09280421,0.03073316,0.99510628,-0.01436424,-0.34996973,2.10337082,2.06427254,0.54844765,-0.54413010,-0.43457184,-0.46289839,795.70097853,173.27120610,760.00746164,173.27120610
0.50400370,35,1447.27067578,660.33603327,1419.76716011,660.34108940,-0.37320311,1.95327227,2.11325500,-0.09280421,0.03073316,0.99510628,-0.01436424,-0.34996973,2.10337082,2.06427254,0.54844765,-0.54413010,-0.43457184,-0.46289839,1437.18019340,661.51643740,1410.22629166,661.51643740
0.50400370,36,1427.50111888,494.76130047,1400.61360972,494.65232187,-0.37320311,1.95327227,2.11325500,-0.09280421,0.03073316,0.99510628,-0.01436424,-0.34996973,2.10337082,2.06427254,0.54844765,-0.54413010,-0.43457184,-0.46289839,1416.78446727,496.53008352,1390.56683472,496.53008352
0.50400370,38,1011.02650640,330.95738454,978.33710864,330.83788705,-0.37320311,1.95327227,2.11325500,-0.09280421,0.03073316,0.99510628,-0.01436424,-0.34996973,2.10337082,2.06427254,0.54844765,-0.54413010,-0.43457184,-0.46289839,1002.56406896,336.20773361,970.44328251,336.20773361
0.50400370,40,1191.74303434,404.79442024,1160.04147225,404.46859661,-0.37320311,1.95327227,2.11325500,-0.09280421,0.03073316,0.99510628,-0.01436424,-0.34996973,2.10337082,2.06427254,0.54844765,-0.54413010,-0.43457184,-0.46289839,1181.65865959,408.14436369,1150.65785428,408.14436369
0.50400370,42,1195.96374747,653.43186416,1162.58848808,653.10587539,-0.37320311,1.95327227,2.11325500,-0.09280421,0.03073316,0.99510628,-0.01436424,-0.34996973,2.10337082,2.06427254,0.54844765,-0.54413010,-0.43457184,-0.46289839,1186.71128435,654.94997382,1153.99027015,654.94997382
0.50400370,44,1669.86630939,509.82271436,1647.38813846,509.70378662,-0.37320311,1.95327227,2.11325500,-0.09280421,0.03073316,0.99510628,-0.01436424,-0.34996973,2.10337082,2.06427254,0.54844765,-0.54413010,-0.43457184,-0.46289839,1657.22598007,510.47806431,1635.62401248,510.47806431
1.77400358,7,922.36929227,52.73477479,881.42950877,52.61801589,-0.37671005,1.95638316,2.10772521,-0.09727702,0.03282386,0.99463639,-0.01257888,-0.35240109,2.10621742,2.05840873,0.54856383,-0.54806440,-0.43189436,-0.46061959,909.69807748,58.34015658,869.30010155,58.34015658
1.77400358,11,1247.39526379,53.55431264,1207.05971262,53.36587513,-0.37671005,1.95638316,2.10772521,-0.09727702,0.03282386,0.99463639,-0.01257888,-0.35240109,2.10621742,2.05840873,0.54856383,-0.54806440,-0.43189436,-0.46061959,1232.72263155,59.13110193,1193.10759325,59.13110193
1.77400358,16,808.68706012,182.98598937,772.60421954,182.87446137,-0.37671005,1.95638316,2.10772521,-0.09727702,0.03282386,0.99463639,-0.01257888,-0.35240109,2.10621742,2.05840873,0.54856383,-0.54806440,-0.43189436,-0.46061959,798.61756289,185.94912052,763.00898068,185.94912052
