time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w,cam_x,cam_y,cam_z,cam_rot_x,cam_rot_y,cam_rot_z,cam_w,valid_frame,gt_left_u,gt_left_v,gt_right_u,gt_right_v
-0.11386642,32,1358.97952015,372.90401024,1291.44649625,372.54882518,2.07933568,1.41859676,0.94649500,-0.07559178,0.08931095,0.76654579,0.63144040,2.23128303,1.43538198,0.91936049,-0.07600834,0.78568242,0.61043316,0.06555321,1.00000000,1341.43556061,364.60561874,1274.36723406,364.60561874
-0.11386642,55,1393.67981951,642.63330943,1335.55083792,642.56738417,2.07933568,1.41859676,0.94649500,-0.07559178,0.08931095,0.76654579,0.63144040,2.23128303,1.43538198,0.91936049,-0.07600834,0.78568242,0.61043316,0.06555321,1.00000000,1382.99898002,634.94497566,1325.22096756,634.94497566
-0.04386629,32,1359.00312474,373.02259786,1291.42127808,372.63705554,2.07934762,1.41860614,0.94651760,-0.07563954,0.08942215,0.76654465,0.63142034,2.23129270,1.43538825,0.91936843,-0.07598738,0.78575073,0.61034321,0.06559627,1.00000000,1341.35266071,364.79767533,1274.28769964,364.79767533
-0.04386629,55,1393.70381611,642.65628821,1335.58972213,642.60375417,2.07934762,1.41860614,0.94651760,-0.07563954,0.08942215,0.76654465,0.63142034,2.23129270,1.43538825,0.91936843,-0.07598738,0.78575073,0.61034321,0.06559627,1.00000000,1382.96551306,635.12497705,1325.18738937,635.12497705
0.08613358,32,1358.97927244,372.80892006,1291.42856616,372.50115225,2.07937465,1.41858152,0.94655285,-0.07565050,0.08942412,0.76653676,0.63142832,2.23132054,1.43536004,0.91940596,-0.07598392,0.78575727,0.61033654,0.06558400,1.00000000,1341.38457705,364.80897473,1274.32068231,364.80897473
0.08613358,55,1393.70202595,642.62360962,1335.56153375,642.53447110,2.07937465,1.41858152,0.94655285,-0.07565050,0.08942412,0.76653676,0.63142832,2.23132054,1.43536004,0.91940596,-0.07598392,0.78575727,0.61033654,0.06558400,1.00000000,1382.99700411,635.13540366,1325.21928623,635.13540366
0.15613371,32,1359.00156603,372.77469025,1291.39992465,372.47979709,2.07937441,1.41858658,0.94654875,-0.07567880,0.08922666,0.76651180,0.63148315,2.23132996,1.43536018,0.91945295,-0.07605460,0.78568772,0.61043393,0.06542875,1.00000000,1341.65508823,364.67918407,1274.58539048,364.67918407
0.15613371,55,1393.72352990,642.49768604,1335.51169671,642.47542336,2.07937441,1.41858658,0.94654875,-0.07567880,0.08922666,0.76651180,0.63148315,2.23132996,1.43536018,0.91945295,-0.07605460,0.78568772,0.61043393,0.06542875,1.00000000,1383.16314202,635.04146979,1325.38297900,635.04146979
0.22613358,32,1358.92018928,372.82396402,1291.37494474,372.41296887,2.07939103,1.41858481,0.94658306,-0.07571192,0.08923047,0.76649629,0.63149748,2.23134856,1.43535162,0.91949419,-0.07605431,0.78570550,0.61041422,0.06539955,1.00000000,1341.71693512,364.73252327,1274.64745238,364.73252327
0.22613358,55,1393.67051862,642.65046675,1335.53431090,642.56355091,2.07939103,1.41858481,0.94658306,-0.07571192,0.08923047,0.76649629,0.63149748,2.23134856,1.43535162,0.91949419,-0.07605431,0.78570550,0.61041422,0.06539955,1.00000000,1383.22339631,635.09986121,1325.44239825,635.09986121
0.35613371,32,1358.93872240,372.75149194,1291.43280185,372.41037964,2.07940119,1.41853295,0.94659441,-0.07566977,0.08943229,0.76653065,0.63143227,2.23134783,1.43530868,0.91945007,-0.07598452,0.78576979,0.61032145,0.06557370,1.00000000,1341.39717271,364.84614307,1274.33559486,364.84614307
0.35613371,55,1393.71948009,642.54058338,1335.55767561,642.47147646,2.07940119,1.41853295,0.94659441,-0.07566977,0.08943229,0.76653065,0.63143227,2.23134783,1.43530868,0.91945007,-0.07598452,0.78576979,0.61032145,0.06557370,1.00000000,1383.01120415,635.16746708,1325.23459003,635.16746708
0.55613371,32,1358.94232981,372.66446819,1291.37397255,372.33928231,2.07939431,1.41849852,0.94646383,-0.07578501,0.08954456,0.76653150,0.63140149,2.23134090,1.43527324,0.91931855,-0.07600324,0.78586708,0.61019206,0.06559025,1.00000000,1341.29754991,365.27192949,1274.24074218,365.27192949
0.55613371,55,1393.64264159,642.42596575,1335.52482214,642.32411861,2.07939431,1.41849852,0.94646383,-0.07578501,0.08954456,0.76653150,0.63140149,2.23134090,1.43527324,0.91931855,-0.07600324,0.78586708,0.61019206,0.06559025,1.00000000,1382.95074645,635.57059561,1325.17369855,635.57059561
0.69613346,32,1358.87192175,372.65380546,1291.36544937,372.35919731,2.07937656,1.41848961,0.94645254,-0.07555099,0.08945208,0.76655601,0.63141291,2.23131675,1.43527435,0.91927766,-0.07593779,0.78572433,0.61037601,0.06566476,1.00000000,1341.25920358,364.70072237,1274.19748575,364.70072237
0.69613346,55,1393.55580309,642.47605823,1335.44486521,642.34774850,2.07937656,1.41848961,0.94645254,-0.07555099,0.08945208,0.76655601,0.63141291,2.23131675,1.43527435,0.91927766,-0.07593779,0.78572433,0.61037601,0.06566476,1.00000000,1382.90217726,634.99744344,1325.12803278,634.99744344
0.75613371,32,1358.89196194,372.76696790,1291.38652315,372.34179664,2.07937620,1.41847518,0.94640880,-0.07649921,0.08998114,0.76651966,0.63126768,2.23133268,1.43524515,0.91931600,-0.07620906,0.78636053,0.60953759,0.06552279,1.00000000,1341.00013086,367.22951014,1273.96603647,367.22951014
0.75613371,55,1393.62408793,642.49709282,1335.52461276,642.43128556,2.07937620,1.41847518,0.94640880,-0.07649921,0.08998114,0.76651966,0.63126768,2.23133268,1.43524515,0.91931600,-0.07620906,0.78636053,0.60953759,0.06552279,1.00000000,1382.75830090,637.48881365,1324.97694652,637.48881365
0.82613358,32,1358.88288965,372.90327403,1291.32279330,372.47972694,2.07937939,1.41852122,0.94648406,-0.07561812,0.08946519,0.76650981,0.63145909,2.23132434,1.43528497,0.91932284,-0.07591852,0.78576459,0.61033435,0.06559252,1.00000000,1341.43092392,364.82107051,1274.36716199,364.82107051
0.82613358,55,1393.68738283,642.66945061,1335.51019169,642.58991690,2.07937939,1.41852122,0.94648406,-0.07561812,0.08946519,0.76650981,0.63145909,2.23132434,1.43528497,0.91932284,-0.07591852,0.78576459,0.61033435,0.06559252,1.00000000,1383.07813587,635.13522760,1325.30013232,635.13522760
0.96613358,32,1358.93816412,372.73987576,1291.39657413,372.44105509,2.07936015,1.41854391,0.94651142,-0.07559504,0.08943088,0.76656802,0.63139606,2.23130190,1.43533594,0.91934974,-0.07598479,0.78573247,0.61036166,0.06564639,1.00000000,1341.24334736,364.73435176,1274.18129007,364.73435176
0.96613358,55,1393.74310820,642.57365809,1335.61446354,642.46159485,2.07936015,1.41854391,0.94651142,-0.07559504,0.08943088,0.76656802,0.63139606,2.23130190,1.43533594,0.91934974,-0.07598479,0.78573247,0.61036166,0.06564639,1.00000000,1382.86431169,635.04356395,1325.08952142,635.04356395
1.02613358,32,1358.81353266,372.95941601,1291.24820190,372.54067442,2.07938591,1.41849932,0.94654504,-0.07594733,0.08962008,0.76652596,0.63137800,2.23133579,1.43527228,0.91941712,-0.07605669,0.78596947,0.61005699,0.06555785,1.00000000,1341.25582559,365.64373006,1274.20404863,365.64373006
