time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w
0.33714706,7,858.26368550,145.36853412,816.62081095,145.40666950,-0.40147981,2.09331995,1.91352326,-0.11644142,0.00394763,0.99033242,-0.07528262
0.33714706,11,1174.41624354,183.56227542,1134.96881645,183.39713514,-0.40147981,2.09331995,1.91352326,-0.11644142,0.00394763,0.99033242,-0.07528262
0.33714706,16,725.69439060,256.49779075,688.53610546,256.57940110,-0.40147981,2.09331995,1.91352326,-0.11644142,0.00394763,0.99033242,-0.07528262
0.33714706,35,1314.80033780,778.96930741,1288.05134825,779.05253779,-0.40147981,2.09331995,1.91352326,-0.11644142,0.00394763,0.99033242,-0.07528262
0.33714706,36,1303.44939507,615.85768253,1277.38471330,615.76805834,-0.40147981,2.09331995,1.91352326,-0.11644142,0.00394763,0.99033242,-0.07528262
0.33714706,38,920.18369898,434.58763046,887.06132774,434.62386665,-0.40147981,2.09331995,1.91352326,-0.11644142,0.00394763,0.99033242,-0.07528262
0.33714706,40,1091.81532843,520.06078897,1060.35460242,520.10078166,-0.40147981,2.09331995,1.91352326,-0.11644142,0.00394763,0.99033242,-0.07528262
0.33714706,42,1083.60359316,771.13703975,1050.02735413,771.04227836,-0.40147981,2.09331995,1.91352326,-0.11644142,0.00394763,0.99033242,-0.07528262
0.33714706,48,1745.04307309,660.08633366,1724.84194923,660.06550150,-0.40147981,2.09331995,1.91352326,-0.11644142,0.00394763,0.99033242,-0.07528262
0.86714718,7,863.74195976,147.13900988,822.22630323,147.18825291,-0.40541459,2.09903814,1.91140832,-0.11756593,0.00465714,0.99016654,-0.07567550
0.86714718,11,1180.11290880,184.36567719,1140.62819221,184.26357418,-0.40541459,2.09903814,1.91140832,-0.11756593,0.00465714,0.99016654,-0.07567550
0.86714718,16,731.21805386,258.83255677,694.12912542,258.91781074,-0.40541459,2.09903814,1.91140832,-0.11756593,0.00465714,0.99016654,-0.07567550
0.86714718,35,1321.21049313,781.01876420,1294.24841937,781.29183326,-0.40541459,2.09903814,1.91140832,-0.11756593,0.00465714,0.99016654,-0.07567550
0.86714718,36,1309.41926377,617.50159820,1283.25202159,617.33094926,-0.40541459,2.09903814,1.91140832,-0.11756593,0.00465714,0.99016654,-0.07567550
0.86714718,38,925.67774092,436.82808698,892.63177793,436.83909773,-0.40541459,2.09903814,1.91140832,-0.11756593,0.00465714,0.99016654,-0.07567550
0.86714718,40,1097.56858035,521.98768200,1066.10068038,521.99290439,-0.40541459,2.09903814,1.91140832,-0.11756593,0.00465714,0.99016654,-0.07567550
0.86714718,42,1089.91763630,773.86884586,1056.26106053,773.84086003,-0.40541459,2.09903814,1.91140832,-0.11756593,0.00465714,0.99016654,-0.07567550
0.86714718,48,1752.59602037,660.73120650,1732.32101507,660.92176222,-0.40541459,2.09903814,1.91140832,-0.11756593,0.00465714,0.99016654,-0.07567550
2.14714718,7,876.63906496,142.59695333,834.78085621,142.73135881,-0.42845681,2.11004484,1.91121275,-0.11765281,0.00445467,0.99060826,-0.06952145
2.14714718,11,1194.93140417,178.91417210,1155.25137217,178.76858877,-0.42845681,2.11004484,1.91121275,-0.11765281,0.00445467,0.99060826,-0.06952145
2.14714718,16,743.39517092,255.72772182,706.11018837,255.82112683,-0.42845681,2.11004484,1.91121275,-0.11765281,0.00445467,0.99060826,-0.06952145
2.14714718,35,1336.92727969,779.93856867,1309.87505428,779.75853932,-0.42845681,2.11004484,1.91121275,-0.11765281,0.00445467,0.99060826,-0.06952145
2.14714718,36,1324.19199411,615.10242634,1298.03288186,615.12169742,-0.42845681,2.11004484,1.91121275,-0.11765281,0.00445467,0.99060826,-0.06952145
2.14714718,38,938.44015593,433.93728426,905.23327296,433.93629637,-0.42845681,2.11004484,1.91121275,-0.11765281,0.00445467,0.99060826,-0.06952145
2.14714718,40,1111.27324617,519.18693771,1079.57936399,519.14860960,-0.42845681,2.11004484,1.91121275,-0.11765281,0.00445467,0.99060826,-0.06952145
2.14714718,42,1104.70161298,772.37994747,1070.95821363,772.32471352,-0.42845681,2.11004484,1.91121275,-0.11765281,0.00445467,0.99060826,-0.06952145
2.14714718,44,1533.48174690,635.51480198,1512.38955715,635.48189470,-0.42845681,2.11004484,1.91121275,-0.11765281,0.00445467,0.99060826,-0.06952145
2.14714718,48,1772.54080699,658.51200130,1752.09669584,658.52555446,-0.42845681,2.11004484,1.91121275,-0.11765281,0.00445467,0.99060826,-0.06952145
3.14714718,7,931.29153536,164.41058480,888.13708040,164.59572770,-0.55653427,2.12780462,1.85403440,-0.12940536,0.00422007,0.99036387,-0.04913890
3.14714718,11,1260.10105756,197.50634836,1219.13356849,197.36241382,-0.55653427,2.12780462,1.85403440,-0.12940536,0.00422007,0.99036387,-0.04913890
3.14714718,16,794.31787865,281.97346076,756.32491008,282.26905225,-0.55653427,2.12780462,1.85403440,-0.12940536,0.00422007,0.99036387,-0.04913890
3.14714718,35,1407.61986703,822.52138597,1379.25182625,822.52512411,-0.55653427,2.12780462,1.85403440,-0.12940536,0.00422007,0.99036387,-0.04913890
3.14714718,36,1391.82835942,649.06226751,1364.43895502,649.07974631,-0.55653427,2.12780462,1.85403440,-0.12940536,0.00422007,0.99036387,-0.04913890
3.14714718,38,992.40396195,463.11879880,958.15799718,463.22387552,-0.55653427,2.12780462,1.85403440,-0.12940536,0.00422007,0.99036387,-0.04913890
3.14714718,40,1170.90124182,550.53405911,1138.06859291,550.64987642,-0.55653427,2.12780462,1.85403440,-0.12940536,0.00422007,0.99036387,-0.04913890
