time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w,cam_x,cam_y,cam_z,cam_rot_x,cam_rot_y,cam_rot_z,cam_w,gt_left_u,gt_left_v,gt_right_u,gt_right_v
0.33714706,7,858.26368550,145.36853412,816.62081095,145.40666950,-0.40147981,2.09331995,1.91352326,-0.11644142,0.00394763,0.99033242,-0.07528262,-0.39563574,2.24722935,1.87164579,0.48306733,-0.50457246,0.60011660,-0.38975973,4249.55484679,-8525.57634684,4595.90871607,-8525.57634684
0.33714706,11,1174.41624354,183.56227542,1134.96881645,183.39713514,-0.40147981,2.09331995,1.91352326,-0.11644142,0.00394763,0.99033242,-0.07528262,-0.39563574,2.24722935,1.87164579,0.48306733,-0.50457246,0.60011660,-0.38975973,-1151.66172549,6739.44687729,-1373.77051150,6739.44687729
0.33714706,16,725.69439060,256.49779075,688.53610546,256.57940110,-0.40147981,2.09331995,1.91352326,-0.11644142,0.00394763,0.99033242,-0.07528262,-0.39563574,2.24722935,1.87164579,0.48306733,-0.50457246,0.60011660,-0.38975973,2121.42766816,-4003.88302591,2277.17690379,-4003.88302591
0.33714706,35,1314.80033780,778.96930741,1288.05134825,779.05253779,-0.40147981,2.09331995,1.91352326,-0.11644142,0.00394763,0.99033242,-0.07528262,-0.39563574,2.24722935,1.87164579,0.48306733,-0.50457246,0.60011660,-0.38975973,1620.91371670,3893.91671819,1540.09427022,3893.91671819
0.33714706,36,1303.44939507,615.85768253,1277.38471330,615.76805834,-0.40147981,2.09331995,1.91352326,-0.11644142,0.00394763,0.99033242,-0.07528262,-0.39563574,2.24722935,1.87164579,0.48306733,-0.50457246,0.60011660,-0.38975973,1129.61825007,4060.52580267,1047.42562113,4060.52580267
0.33714706,38,920.18369898,434.58763046,887.06132774,434.62386665,-0.40147981,2.09331995,1.91352326,-0.11644142,0.00394763,0.99033242,-0.07528262,-0.39563574,2.24722935,1.87164579,0.48306733,-0.50457246,0.60011660,-0.38975973,3109.58779039,-21316.18291933,3767.91667966,-21316.18291933
0.33714706,40,1091.81532843,520.06078897,1060.35460242,520.10078166,-0.40147981,2.09331995,1.91352326,-0.11644142,0.00394763,0.99033242,-0.07528262,-0.39563574,2.24722935,1.87164579,0.48306733,-0.50457246,0.60011660,-0.38975973,679.14593669,10284.96715634,401.98961819,10284.96715634
0.33714706,42,1083.60359316,771.13703975,1050.02735413,771.04227836,-0.40147981,2.09331995,1.91352326,-0.11644142,0.00394763,0.99033242,-0.07528262,-0.39563574,2.24722935,1.87164579,0.48306733,-0.50457246,0.60011660,-0.38975973,2922.61245361,10264.95260504,2627.80294411,10264.95260504
0.33714706,48,1745.04307309,660.08633366,1724.84194923,660.06550150,-0.40147981,2.09331995,1.91352326,-0.11644142,0.00394763,0.99033242,-0.07528262,-0.39563574,2.24722935,1.87164579,0.48306733,-0.50457246,0.60011660,-0.38975973,1059.31617954,2066.04062488,1032.03643937,2066.04062488
0.86714718,7,863.74195976,147.13900988,822.22630323,147.18825291,-0.40541459,2.09903814,1.91140832,-0.11756593,0.00465714,0.99016654,-0.07567550,-0.39955243,2.25289711,1.86934239,0.48225818,-0.50448109,0.60114783,-0.38929059,4238.18324404,-8559.26737206,4585.95595252,-8559.26737206
0.86714718,11,1180.11290880,184.36567719,1140.62819221,184.26357418,-0.40541459,2.09903814,1.91140832,-0.11756593,0.00465714,0.99016654,-0.07567550,-0.39955243,2.25289711,1.86934239,0.48225818,-0.50448109,0.60114783,-0.38929059,-1132.89076495,6724.62603213,-1354.48826611,6724.62603213
0.86714718,16,731.21805386,258.83255677,694.12912542,258.91781074,-0.40541459,2.09903814,1.91140832,-0.11756593,0.00465714,0.99016654,-0.07567550,-0.39955243,2.25289711,1.86934239,0.48225818,-0.50448109,0.60114783,-0.38929059,2110.54417408,-4009.58988352,2266.58386050,-4009.58988352
0.86714718,35,1321.21049313,781.01876420,1294.24841937,781.29183326,-0.40541459,2.09903814,1.91140832,-0.11756593,0.00465714,0.99016654,-0.07567550,-0.39955243,2.25289711,1.86934239,0.48225818,-0.50448109,0.60114783,-0.38929059,1625.90071251,3884.84720835,1545.23806950,3884.84720835
0.86714718,36,1309.41926377,617.50159820,1283.25202159,617.33094926,-0.40541459,2.09903814,1.91140832,-0.11756593,0.00465714,0.99016654,-0.07567550,-0.39955243,2.25289711,1.86934239,0.48225818,-0.50448109,0.60114783,-0.38929059,1136.08338498,4054.92371415,1053.98493052,4054.92371415
0.86714718,38,925.67774092,436.82808698,892.63177793,436.83909773,-0.40541459,2.09903814,1.91140832,-0.11756593,0.00465714,0.99016654,-0.07567550,-0.39955243,2.25289711,1.86934239,0.48225818,-0.50448109,0.60114783,-0.38929059,3074.66489821,-21513.07376808,3739.35737377,-21513.07376808
0.86714718,40,1097.56858035,521.98768200,1066.10068038,521.99290439,-0.40541459,2.09903814,1.91140832,-0.11756593,0.00465714,0.99016654,-0.07567550,-0.39955243,2.25289711,1.86934239,0.48225818,-0.50448109,0.60114783,-0.38929059,702.27936721,10235.60583251,426.36036110,10235.60583251
0.86714718,42,1089.91763630,773.86884586,1056.26106053,773.84086003,-0.40541459,2.09903814,1.91140832,-0.11756593,0.00465714,0.99016654,-0.07567550,-0.39955243,2.25289711,1.86934239,0.48225818,-0.50448109,0.60114783,-0.38929059,2927.66890252,10170.72170183,2635.38290216,10170.72170183
0.86714718,48,1752.59602037,660.73120650,1732.32101507,660.92176222,-0.40541459,2.09903814,1.91140832,-0.11756593,0.00465714,0.99016654,-0.07567550,-0.39955243,2.25289711,1.86934239,0.48225818,-0.50448109,0.60114783,-0.38929059,1061.15344159,2065.88873409,1033.87746576,2065.88873409
2.14714718,7,876.63906496,142.59695333,834.78085621,142.73135881,-0.42845681,2.11004484,1.91121275,-0.11765281,0.00445467,0.99060826,-0.06952145,-0.42072216,2.26389805,1.86943333,0.47950578,-0.50799253,0.59831396,-0.39247702,4788.23027124,-9990.11551860,5192.51422185,-9990.11551860
2.14714718,11,1194.93140417,178.91417210,1155.25137217,178.76858877,-0.42845681,2.11004484,1.91121275,-0.11765281,0.00445467,0.99060826,-0.06952145,-0.42072216,2.26389805,1.86943333,0.47950578,-0.50799253,0.59831396,-0.39247702,-964.36869504,6151.91070360,-1167.01569243,6151.91070360
2.14714718,16,743.39517092,255.72772182,706.11018837,255.82112683,-0.42845681,2.11004484,1.91121275,-0.11765281,0.00445467,0.99060826,-0.06952145,-0.42072216,2.26389805,1.86943333,0.47950578,-0.50799253,0.59831396,-0.39247702,2201.54743295,-4331.30011041,2369.03455971,-4331.30011041
2.14714718,35,1336.92727969,779.93856867,1309.87505428,779.75853932,-0.42845681,2.11004484,1.91121275,-0.11765281,0.00445467,0.99060826,-0.06952145,-0.42072216,2.26389805,1.86943333,0.47950578,-0.50799253,0.59831396,-0.39247702,1590.59634673,3706.80177732,1513.62359422,3706.80177732
2.14714718,36,1324.19199411,615.10242634,1298.03288186,615.12169742,-0.42845681,2.11004484,1.91121275,-0.11765281,0.00445467,0.99060826,-0.06952145,-0.42072216,2.26389805,1.86943333,0.47950578,-0.50799253,0.59831396,-0.39247702,1122.86258240,3863.78114495,1044.64083337,3863.78114495
2.14714718,38,938.44015593,433.93728426,905.23327296,433.93629637,-0.42845681,2.11004484,1.91121275,-0.11765281,0.00445467,0.99060826,-0.06952145,-0.42072216,2.26389805,1.86943333,0.47950578,-0.50799253,0.59831396,-0.39247702,4135.26292855,-31969.37708144,5119.21251583,-31969.37708144
2.14714718,40,1111.27324617,519.18693771,1079.57936399,519.14860960,-0.42845681,2.11004484,1.91121275,-0.11765281,0.00445467,0.99060826,-0.06952145,-0.42072216,2.26389805,1.86943333,0.47950578,-0.50799253,0.59831396,-0.39247702,721.70364432,8983.71736996,479.98882940,8983.71736996
2.14714718,42,1104.70161298,772.37994747,1070.95821363,772.32471352,-0.42845681,2.11004484,1.91121275,-0.11765281,0.00445467,0.99060826,-0.06952145,-0.42072216,2.26389805,1.86943333,0.47950578,-0.50799253,0.59831396,-0.39247702,2665.66781787,8900.36319377,2410.34937333,8900.36319377
2.14714718,44,1533.48174690,635.51480198,1512.38955715,635.48189470,-0.42845681,2.11004484,1.91121275,-0.11765281,0.00445467,0.99060826,-0.06952145,-0.42072216,2.26389805,1.86943333,0.47950578,-0.50799253,0.59831396,-0.39247702,1079.56962120,2631.68827000,1040.24533027,2631.68827000
2.14714718,48,1772.54080699,658.51200130,1752.09669584,658.52555446,-0.42845681,2.11004484,1.91121275,-0.11765281,0.00445467,0.99060826,-0.06952145,-0.42072216,2.26389805,1.86943333,0.47950578,-0.50799253,0.59831396,-0.39247702,1056.63835699,2017.74600539,1029.91320683,2017.74600539
3.14714718,7,931.29153536,164.41058480,888.13708040,164.59572770,-0.55653427,2.12780462,1.85403440,-0.12940536,0.00422007,0.99036387,-0.04913890,-0.54341639,2.28124348,1.81335153,0.46367484,-0.52394829,0.59432283,-0.39656552,7634.14984258,-18890.04190600,8403.35614213,-18890.04190600
3.14714718,11,1260.10105756,197.50634836,1219.13356849,197.36241382,-0.55653427,2.12780462,1.85403440,-0.12940536,0.00422007,0.99036387,-0.04913890,-0.54341639,2.28124348,1.81335153,0.46367484,-0.52394829,0.59432283,-0.39656552,-454.86339688,4852.24879479,-617.06013893,4852.24879479
3.14714718,16,794.31787865,281.97346076,756.32491008,282.26905225,-0.55653427,2.12780462,1.85403440,-0.12940536,0.00422007,0.99036387,-0.04913890,-0.54341639,2.28124348,1.81335153,0.46367484,-0.52394829,0.59432283,-0.39656552,2356.93342746,-5537.82500014,2570.97016462,-5537.82500014
3.14714718,35,1407.61986703,822.52138597,1379.25182625,822.52512411,-0.55653427,2.12780462,1.85403440,-0.12940536,0.00422007,0.99036387,-0.04913890,-0.54341639,2.28124348,1.81335153,0.46367484,-0.52394829,0.59432283,-0.39656552,1580.79154035,3189.53270778,1513.29662539,3189.53270778
3.14714718,36,1391.82835942,649.06226751,1364.43895502,649.07974631,-0.55653427,2.12780462,1.85403440,-0.12940536,0.00422007,0.99036387,-0.04913890,-0.54341639,2.28124348,1.81335153,0.46367484,-0.52394829,0.59432283,-0.39656552,1173.48000379,3327.21739180,1105.09233206,3327.21739180
3.14714718,38,992.40396195,463.11879880,958.15799718,463.22387552,-0.55653427,2.12780462,1.85403440,-0.12940536,0.00422007,0.99036387,-0.04913890,-0.54341639,2.28124348,1.81335153,0.46367484,-0.52394829,0.59432283,-0.39656552,-4135.55752318,71764.44846972,-6358.91772721,71764.44846972
3.14714718,40,1170.90124182,550.53405911,1138.06859291,550.64987642,-0.55653427,2.12780462,1.85403440,-0.12940536,0.00422007,0.99036387,-0.04913890,-0.54341639,2.28124348,1.81335153,0.46367484,-0.52394829,0.59432283,-0.39656552,951.48270567,6460.66730751,775.53793765,6460.66730751
3.14714718,42,1165.86911462,815.75180421,1130.76239569,815.93735355,-0.55653427,2.12780462,1.85403440,-0.12940536,0.00422007,0.99036387,-0.04913890,-0.54341639,2.28124348,1.81335153,0.46367484,-0.52394829,0.59432283,-0.39656552,2354.24135389,6305.86097474,2169.99886387,6305.86097474
3.14714718,48,1871.76120669,694.40125624,1850.13066633,694.54374675,-0.55653427,2.12780462,1.85403440,-0.12940536,0.00422007,0.99036387,-0.04913890,-0.54341639,2.28124348,1.81335153,0.46367484,-0.52394829,0.59432283,-0.39656552,1079.67562067,1860.24329901,1054.50256538,1860.24329901
3.21714706,7,925.97987507,168.99292301,882.82976641,169.06269954,-0.57415851,2.13119654,1.84555289,-0.13256846,0.00709225,0.99010084,-0.04555398,-0.55857924,2.28446524,1.80441742,0.45866454,-0.52586050,0.59537401,-0.39828051,8285.13994920,-21201.33910208,9148.53736187,-21201.33910208
3.21714706,11,1255.95141209,200.56916547,1214.89005402,200.34731027,-0.57415851,2.13119654,1.84555289,-0.13256846,0.00709225,0.99010084,-0.04555398,-0.55857924,2.28446524,1.80441742,0.45866454,-0.52586050,0.59537401,-0.39828051,-398.54145561,4728.05990609,-556.86239434,4728.05990609
3.21714706,16,789.19285496,287.48753734,751.14528171,287.78240051,-0.57415851,2.13119654,1.84555289,-0.13256846,0.00709225,0.99010084,-0.04555398,-0.55857924,2.28446524,1.80441742,0.45866454,-0.52586050,0.59537401,-0.39828051,2358.91821736,-5759.98312790,2581.30143354,-5759.98312790
