time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w
0.13783777,7,988.57240233,400.52428890,947.57138358,400.35899329,-0.61391291,1.80205323,1.91606239,-0.24331372,-0.04670424,0.96877877,0.00918300
0.13783777,11,1321.25535344,447.89495840,1280.15335196,447.62460398,-0.61391291,1.80205323,1.91606239,-0.24331372,-0.04670424,0.96877877,0.00918300
0.13783777,16,861.15968155,507.05779160,824.69699925,506.95555775,-0.61391291,1.80205323,1.91606239,-0.24331372,-0.04670424,0.96877877,0.00918300
0.13783777,36,1514.04709330,959.98277993,1482.65590066,959.97518028,-0.61391291,1.80205323,1.91606239,-0.24331372,-0.04670424,0.96877877,0.00918300
0.13783777,38,1052.37043802,702.71857649,1017.19237150,702.50640529,-0.61391291,1.80205323,1.91606239,-0.24331372,-0.04670424,0.96877877,0.00918300
0.13783777,40,1242.06924062,813.71557325,1206.89838767,813.54425432,-0.61391291,1.80205323,1.91606239,-0.24331372,-0.04670424,0.96877877,0.00918300
0.13783777,44,1813.56606972,1025.44903723,1787.18040798,1025.57919900,-0.61391291,1.80205323,1.91606239,-0.24331372,-0.04670424,0.96877877,0.00918300
0.13783777,54,1083.11950702,531.74737067,1045.82602440,531.58200396,-0.61391291,1.80205323,1.91606239,-0.24331372,-0.04670424,0.96877877,0.00918300
0.26783789,7,975.61965518,399.97186664,934.79656031,399.76359480,-0.61130830,1.83658294,1.92539975,-0.24007529,-0.04255800,0.96967200,0.01693047
0.26783789,11,1306.97300108,442.38238011,1266.02515333,441.87543953,-0.61130830,1.83658294,1.92539975,-0.24007529,-0.04255800,0.96967200,0.01693047
0.26783789,12,447.13243380,92.45041826,392.84367501,92.01193280,-0.61130830,1.83658294,1.92539975,-0.24007529,-0.04255800,0.96967200,0.01693047
0.26783789,16,849.04556170,507.70977423,812.86197346,507.55409633,-0.61130830,1.83658294,1.92539975,-0.24007529,-0.04255800,0.96967200,0.01693047
0.26783789,54,1071.38254808,528.89990775,1034.46109334,528.73499050,-0.61130830,1.83658294,1.92539975,-0.24007529,-0.04255800,0.96967200,0.01693047
0.46783789,38,1030.43651307,687.06346639,995.41823315,686.70087224,-0.60794204,1.90645535,1.94713736,-0.23869863,0.00775214,0.97106098,-0.00000480
0.46783789,40,1223.61192299,779.46757735,1188.89340725,778.88922602,-0.60794204,1.90645535,1.94713736,-0.23869863,0.00775214,0.97106098,-0.00000480
0.46783789,41,1289.62311215,936.03400714,1254.33867284,935.38986624,-0.60794204,1.90645535,1.94713736,-0.23869863,0.00775214,0.97106098,-0.00000480
0.60783789,11,1282.25313286,394.27622717,1241.90813888,394.00031379,-0.61550759,1.96084048,1.94978920,-0.24081104,0.02430817,0.97017053,0.01371092
0.60783789,16,836.06456118,510.82384781,799.50213429,510.92735788,-0.61550759,1.96084048,1.94978920,-0.24081104,0.02430817,0.97017053,0.01371092
0.60783789,54,1058.77254809,506.51735218,1021.87575215,506.46887769,-0.61550759,1.96084048,1.94978920,-0.24081104,0.02430817,0.97017053,0.01371092
0.73783776,16,873.99413999,516.34694349,837.75234165,516.15075112,-0.61736935,1.98264954,1.94902127,-0.23738150,0.01950561,0.97082042,0.02777741
0.73783776,54,1096.64336570,506.59043325,1059.83777680,506.26629185,-0.61736935,1.98264954,1.94902127,-0.23738150,0.01950561,0.97082042,0.02777741
1.07783802,7,1066.62872874,414.82852917,1025.48628918,414.84123445,-0.64209258,1.99047385,1.93076063,-0.25608780,-0.00257074,0.96549141,0.04731293
1.07783802,12,530.85982261,169.12368266,478.45500652,169.20927578,-0.64209258,1.99047385,1.93076063,-0.25608780,-0.00257074,0.96549141,0.04731293
1.07783802,16,945.80784479,537.74708673,909.06441924,537.90795484,-0.64209258,1.99047385,1.93076063,-0.25608780,-0.00257074,0.96549141,0.04731293
1.07783802,38,1159.82732015,713.16340835,1124.52807989,713.12096027,-0.64209258,1.99047385,1.93076063,-0.25608780,-0.00257074,0.96549141,0.04731293
1.07783802,40,1367.21535862,805.32210391,1331.87057750,805.82332690,-0.64209258,1.99047385,1.93076063,-0.25608780,-0.00257074,0.96549141,0.04731293
1.07783802,41,1450.11879738,974.97632907,1412.88219774,975.44770856,-0.64209258,1.99047385,1.93076063,-0.25608780,-0.00257074,0.96549141,0.04731293
1.07783802,54,1171.71504878,535.95715572,1134.33865117,536.06913919,-0.64209258,1.99047385,1.93076063,-0.25608780,-0.00257074,0.96549141,0.04731293
1.40783789,7,1036.43142274,432.07993413,994.78140884,431.91722721,-0.64094359,2.01914363,1.92507984,-0.26081174,0.03143647,0.96443425,0.02924482
1.40783789,11,1372.85801035,427.14928102,1330.98176553,426.78937320,-0.64094359,2.01914363,1.92507984,-0.26081174,0.03143647,0.96443425,0.02924482
1.40783789,12,497.03184965,203.67915462,443.15110185,203.54041633,-0.64094359,2.01914363,1.92507984,-0.26081174,0.03143647,0.96443425,0.02924482
1.40783789,16,916.34658420,558.01147238,879.09691151,557.97930230,-0.64094359,2.01914363,1.92507984,-0.26081174,0.03143647,0.96443425,0.02924482
1.40783789,38,1133.28435341,723.15263578,1097.50949274,723.01068350,-0.64094359,2.01914363,1.92507984,-0.26081174,0.03143647,0.96443425,0.02924482
1.40783789,40,1339.89069648,803.70338382,1304.11075712,803.59354447,-0.64094359,2.01914363,1.92507984,-0.26081174,0.03143647,0.96443425,0.02924482
1.40783789,54,1141.96833885,547.53472514,1104.02332191,547.31063311,-0.64094359,2.01914363,1.92507984,-0.26081174,0.03143647,0.96443425,0.02924482
1.47783802,7,1024.94318671,434.19487009,983.57619699,434.05608126,-0.64302662,2.02606162,1.92113241,-0.26197379,0.02675672,0.96391722,0.03892945
1.47783802,11,1359.77310128,426.18161596,1318.15204190,426.00569091,-0.64302662,2.02606162,1.92113241,-0.26197379,0.02675672,0.96391722,0.03892945
1.47783802,12,480.58150661,209.12255765,426.40302696,209.02023065,-0.64302662,2.02606162,1.92113241,-0.26197379,0.02675672,0.96391722,0.03892945
1.47783802,16,907.26880367,561.63767817,870.22357772,561.67053798,-0.64302662,2.02606162,1.92113241,-0.26197379,0.02675672,0.96391722,0.03892945
1.47783802,38,1127.58891501,725.14144132,1092.22281793,725.03730310,-0.64302662,2.02606162,1.92113241,-0.26197379,0.02675672,0.96391722,0.03892945
1.47783802,40,1335.67017711,803.45726375,1300.37894604,803.63618564,-0.64302662,2.02606162,1.92113241,-0.26197379,0.02675672,0.96391722,0.03892945
1.87783802,7,1054.23697501,461.76027243,1012.45409348,461.64034439,-0.64950169,2.04341669,1.90105472,-0.27076364,0.03462473,0.96128818,0.03759265
1.87783802,11,1392.92934482,449.75246184,1351.04743603,449.42919981,-0.64950169,2.04341669,1.90105472,-0.27076364,0.03462473,0.96128818,0.03759265
1.87783802,12,510.90519815,247.10160516,457.39907389,246.94744791,-0.64950169,2.04341669,1.90105472,-0.27076364,0.03462473,0.96128818,0.03759265
1.87783802,16,935.82366138,590.27565987,898.54899430,590.03301642,-0.64950169,2.04341669,1.90105472,-0.27076364,0.03462473,0.96128818,0.03759265
1.87783802,36,1671.15146455,933.91005308,1638.78206653,934.01356720,-0.64950169,2.04341669,1.90105472,-0.27076364,0.03462473,0.96128818,0.03759265
1.87783802,38,1159.10457401,753.09491531,1123.11546148,752.91261966,-0.64950169,2.04341669,1.90105472,-0.27076364,0.03462473,0.96128818,0.03759265
1.87783802,40,1371.80646122,831.87992332,1335.46359852,831.69286601,-0.64950169,2.04341669,1.90105472,-0.27076364,0.03462473,0.96128818,0.03759265
1.87783802,54,1162.97024062,575.33005563,1124.93110030,575.05009342,-0.64950169,2.04341669,1.90105472,-0.27076364,0.03462473,0.96128818,0.03759265
2.07783802,7,1062.36788865,464.10948968,1020.81342721,463.89956641,-0.64851116,2.03832739,1.90123374,-0.26936319,0.02900932,0.96177715,0.03982864
