time_s,orientation_x,orientation_y,orientation_z,orientation_w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity_x,angular_velocity_y,angular_velocity_z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8,x,y,z,w,rot_x,rot_y,rot_z
1.44672333,-0.99884784,0.04165013,-0.01139904,0.02093639,0.03201539,0.07312524,-0.01534944,0.07312524,0.16984410,-0.05237729,-0.01534943,-0.05237729,0.46796670,0.36390516,-0.15255263,-0.32630575,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,0.68176961,-0.98399138,-9.56479931,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.28943683,1.99778217,1.63038489,0.03080567,0.02584586,0.02950400,0.99875548
1.46648321,-0.99892604,0.03771992,-0.01031621,0.02485113,0.03366399,0.07407582,-0.01609014,0.07407582,0.16747746,-0.05408651,-0.01609014,-0.05408651,0.46726473,0.38800231,-0.14120706,-0.43336613,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,0.08047740,-1.02611089,-9.15381527,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.29149560,2.00053792,1.63342570,0.02798771,0.02471269,0.03263937,0.99876956
1.47142324,-0.99894428,0.03657916,-0.01007949,0.02589761,0.03410439,0.07430184,-0.01626867,0.07430184,0.16685836,-0.05452799,-0.01626867,-0.05452800,0.46707496,0.40227166,-0.12474740,-0.45385003,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-0.07938997,-0.96812683,-9.06771088,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.29190548,2.00108332,1.63402480,0.02738723,0.02448529,0.03328083,0.99877064
1.47636327,-0.99896020,0.03540186,-0.00984995,0.02698582,0.03456983,0.07453480,-0.01644894,0.07453480,0.16622456,-0.05497326,-0.01644894,-0.05497327,0.46688057,0.41867210,-0.11405469,-0.46785270,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-0.23443221,-0.87668514,-9.05558491,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.29250541,2.00187892,1.63489586,0.02647897,0.02415369,0.03423246,0.99877105
1.48130330,-0.99897355,0.03421389,-0.00964973,0.02807352,0.03503884,0.07475876,-0.01661858,0.07475877,0.16559228,-0.05541144,-0.01661858,-0.05541145,0.46668944,0.42064184,-0.08931675,-0.46886707,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-0.37043878,-0.74685264,-9.10551453,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.29306292,2.00261498,1.63569797,0.02560113,0.02384825,0.03513142,0.99877006
1.48624333,-0.99898338,0.03304568,-0.00949955,0.02915411,0.03551122,0.07498112,-0.01676743,0.07498112,0.16498588,-0.05582541,-0.01676744,-0.05582542,0.46650580,0.42261658,-0.06773799,-0.45905222,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-0.49944600,-0.62170351,-9.13159180,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.29364382,2.00337790,1.63652408,0.02465581,0.02353569,0.03608086,0.99876741
1.50106318,-0.99898857,0.03003674,-0.00921125,0.03216848,0.03689798,0.07563198,-0.01713548,0.07563198,0.16336586,-0.05689126,-0.01713549,-0.05689126,0.46603765,0.36743195,-0.02734291,-0.34274551,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-0.63786507,-0.38688383,-9.13128281,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.29562621,2.00594055,1.63923336,0.02132217,0.02256454,0.03935326,0.99874297
1.51588327,-0.99896449,0.02830426,-0.00889272,0.03449280,0.03810063,0.07623185,-0.01747081,0.07623185,0.16216823,-0.05768840,-0.01747082,-0.05768841,0.46574291,0.26882813,-0.03897825,-0.13686455,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-0.51368302,-0.19466224,-9.09774208,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.29742445,2.00819012,1.64148072,0.01848966,0.02186917,0.04219196,0.99869901
1.52082330,-0.99895060,0.02811012,-0.00871756,0.03509346,0.03846040,0.07643587,-0.01759829,0.07643586,0.16187111,-0.05791264,-0.01759830,-0.05791264,0.46568473,0.23952678,-0.05351961,-0.05471951,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-0.46598792,-0.14403985,-9.12876225,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.29785789,2.00871889,1.64198490,0.01789073,0.02172989,0.04282853,0.99868586
1.52576333,-0.99893451,0.02811674,-0.00851785,0.03559182,0.03878906,0.07663634,-0.01772737,0.07663635,0.16162421,-0.05811827,-0.01772738,-0.05811827,0.46564830,0.19424224,-0.05349810,0.02362709,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-0.38247511,-0.14554855,-9.29832840,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.29854314,2.00954295,1.64274981,0.01703551,0.02152935,0.04378323,0.99866376
1.53317325,-0.99890757,0.02850074,-0.00818508,0.03611631,0.03920127,0.07692268,-0.01791462,0.07692269,0.16137778,-0.05836379,-0.01791461,-0.05836379,0.46563950,0.12765934,-0.05739724,0.14303499,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-0.18204436,-0.21503921,-9.59934521,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.29911847,2.01022300,1.64336110,0.01641445,0.02137609,0.04452959,0.99864445
1.53811329,-0.99888742,0.02898547,-0.00795426,0.03633822,0.03943119,0.07711186,-0.01803104,0.07711185,0.16129657,-0.05848915,-0.01803106,-0.05848916,0.46566184,0.09355163,-0.06093826,0.21328592,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-0.07228468,-0.25684395,-9.63526630,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.29978040,2.01099150,1.64402914,0.01582034,0.02121270,0.04531914,0.99862201
1.54305332,-0.99886531,0.02963016,-0.00770301,0.03648024,0.03963654,0.07730428,-0.01814874,0.07730427,0.16126763,-0.05859301,-0.01814874,-0.05859300,0.46570315,0.06799536,-0.07332909,0.27812644,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-0.01263267,-0.28485593,-9.50401592,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.30045691,2.01176119,1.64467304,0.01535547,0.02105585,0.04604387,0.99859943
1.54799335,-0.99884039,0.03043470,-0.00741420,0.03656001,0.03982964,0.07750576,-0.01827703,0.07750576,0.16127510,-0.05868816,-0.01827703,-0.05868816,0.46576088,0.04139262,-0.08678078,0.33862737,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,0.03514188,-0.32970428,-9.34650803,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.30116179,2.01254600,1.64530310,0.01502587,0.02089943,0.04670840,0.99857687
1.55293338,-0.99881315,0.03137729,-0.00708744,0.03657244,0.04000421,0.07771017,-0.01841615,0.07771018,0.16131872,-0.05877344,-0.01841615,-0.05877344,0.46583565,0.01591395,-0.10652785,0.39262566,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,0.10672428,-0.41248232,-9.32753181,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.30184133,2.01328609,1.64587277,0.01485120,0.02075245,0.04726357,0.99855642
1.56775322,-0.99871635,0.03481509,-0.00590245,0.03631402,0.04045552,0.07834504,-0.01890309,0.07834505,0.16161762,-0.05903226,-0.01890309,-0.05903226,0.46614626,-0.03559928,-0.14550594,0.50928327,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,0.29997033,-0.68490565,-9.62158012,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.30447854,2.01600925,1.64776619,0.01536637,0.02017629,0.04867840,0.99849247
1.58257332,-0.99859023,0.03891134,-0.00449013,0.03582218,0.04089838,0.07905367,-0.01947849,0.07905367,0.16209085,-0.05932999,-0.01947848,-0.05932997,0.46656706,-0.08976281,-0.16292649,0.58161243,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-0.09139977,-0.86800843,-9.75999355,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.30670846,2.01814377,1.64904049,0.01692845,0.01964308,0.04913196,0.99845562
1.58751335,-0.99854010,0.04039532,-0.00400978,0.03563429,0.04105672,0.07931105,-0.01967439,0.07931104,0.16227519,-0.05943362,-0.01967438,-0.05943361,0.46673204,-0.10633825,-0.14996008,0.60324662,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-0.20115946,-0.90973413,-9.91276646,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.30729866,2.01868597,1.64933764,0.01745986,0.01949246,0.04916687,0.99844770
1.59245338,-0.99848819,0.04192435,-0.00355893,0.03536986,0.04117403,0.07954833,-0.01985361,0.07954833,0.16249913,-0.05950760,-0.01985361,-0.05950760,0.46691950,-0.13721796,-0.13766514,0.62104399,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-0.22971301,-0.95061439,-10.15869522,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.30815706,2.01945930,1.64974493,0.01829842,0.01926749,0.04916662,0.99843707
1.59739316,-0.99843383,0.04349354,-0.00312891,0.03504885,0.04126347,0.07977642,-0.02002146,0.07977642,0.16276702,-0.05955455,-0.02002145,-0.05955452,0.46712735,-0.15587462,-0.12839857,0.63725106,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-0.23209909,-0.99837124,-10.26617718,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.30904936,2.02024529,1.65014069,0.01923760,0.01902757,0.04911087,0.99842676
1.60233319,-0.99837607,0.04509701,-0.00272411,0.03469955,0.04134228,0.08000621,-0.02017807,0.08000621,0.16307032,-0.05958948,-0.02017806,-0.05958947,0.46735107,-0.16444043,-0.11691997,0.64592417,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-0.19164160,-1.04089367,-10.18507671,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.30995600,2.02102659,1.65051779,0.02024675,0.01877889,0.04900526,0.99841670
1.60974337,-0.99828392,0.04753209,-0.00215273,0.03413716,0.04144475,0.08034821,-0.02039763,0.08034821,0.16356415,-0.05960690,-0.02039763,-0.05960691,0.46771331,-0.17667441,-0.11547300,0.65454602,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-0.13429627,-1.07848430,-9.89386463,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.31089966,2.02182258,1.65088728,0.02134350,0.01851571,0.04885079,0.99840634
1.61468314,-0.99821943,0.04915706,-0.00175629,0.03374201,0.04150593,0.08057094,-0.02055309,0.08057092,0.16390044,-0.05962066,-0.02055309,-0.05962065,0.46796702,-0.18722383,-0.12399582,0.65503618,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-0.07941643,-1.09700012,-9.75782776,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.31185386,2.02261096,1.65124084,0.02249768,0.01824450,0.04865336,0.99839563
1.61962318,-0.99815375,0.05075557,-0.00134277,0.03333481,0.04155984,0.08078628,-0.02071840,0.08078626,0.16424045,-0.05963945,-0.02071841,-0.05963944,0.46822678,-0.18927118,-0.13032177,0.64364943,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,0.03272934,-1.10775411,-9.75790787,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.31279611,2.02337441,1.65157361,0.02368089,0.01797092,0.04842171,0.99838450
1.63444327,-0.99794650,0.05538617,-0.00012207,0.03217566,0.04175251,0.08143929,-0.02122331,0.08143930,0.16525205,-0.05973783,-0.02122331,-0.05973782,0.46902343,-0.17902522,-0.13650403,0.59820439,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,0.18302591,-1.16106296,-9.80103016,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.31851565,2.02774445,1.65339683,0.03173190,0.01615607,0.04641422,0.99828743
1.64926337,-0.99773955,0.05949622,0.00109183,0.03122138,0.04201104,0.08208221,-0.02175291,0.08208221,0.16614693,-0.05992994,-0.02175292,-0.05992994,0.46978154,-0.13959922,-0.13343133,0.52092714,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,0.32624367,-1.13092399,-9.95627213,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.31998171,2.02880504,1.65384402,0.03400554,0.01564377,0.04577985,0.99825002
1.65420314,-0.99767345,0.06072038,0.00144436,0.03096161,0.04210806,0.08228945,-0.02191045,0.08228945,0.16641472,-0.05999944,-0.02191046,-0.05999946,0.47001869,-0.13210855,-0.12807791,0.48686874,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,0.41688827,-1.08223653,-10.09237289,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.32018802,2.02895266,1.65390703,0.03432795,0.01557049,0.04568887,0.99824430
1.65914318,-0.99760884,0.06188423,0.00181060,0.03071906,0.04220825,0.08249018,-0.02207573,0.08249016,0.16666037,-0.06007218,-0.02207572,-0.06007218,0.47024833,-0.12562593,-0.13799299,0.46629645,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,0.43836296,-1.02711928,-10.03980732,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.32133380,2.02976556,1.65425810,0.03611396,0.01515953,0.04518197,0.99821068
1.66408321,-0.99754548,0.06298118,0.00221079,0.03052051,0.04232985,0.08269801,-0.02225938,0.08269803,0.16687770,-0.06017268,-0.02225938,-0.06017268,0.47046343,-0.10582083,-0.15723457,0.43815446,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,0.47423363,-0.97901857,-9.91323853,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.32251536,2.03059200,1.65462335,0.03792473,0.01473072,0.04466510,0.99817321
1.66902324,-0.99748361,0.06400746,0.00262380,0.03037491,0.04247546,0.08291428,-0.02245212,0.08291429,0.16706419,-0.06030485,-0.02245213,-0.06030486,0.47066162,-0.07919866,-0.16325800,0.41007156,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,0.52672732,-0.95698750,-9.85594845,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.32378650,2.03146828,1.65502179,0.03980450,0.01426632,0.04412858,0.99813062
1.67396327,-0.99742347,0.06496068,0.00304932,0.03028427,0.04264566,0.08313784,-0.02265284,0.08313783,0.16721305,-0.06045842,-0.02265283,-0.06045843,0.47084215,-0.05782103,-0.17827547,0.38195127,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,0.52911341,-0.97128195,-9.88938904,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.32499110,2.03228693,1.65540645,0.04150454,0.01382290,0.04364644,0.99808882
1.67890330,-0.99736625,0.06583620,0.00350620,0.03023058,0.04282953,0.08335800,-0.02286991,0.08335800,0.16731876,-0.06063848,-0.02286992,-0.06063847,0.47100499,-0.04860269,-0.19657107,0.35000043,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,0.47423363,-1.01243079,-10.03503323,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.32615018,2.03306427,1.65578471,0.04305747,0.01339164,0.04321166,0.99804783
1.68384333,-0.99731183,0.06664335,0.00397620,0.03019951,0.04301788,0.08357190,-0.02309489,0.08357189,0.16739978,-0.06084394,-0.02309490,-0.06084397,0.47115362,-0.04003674,-0.19752152,0.32404689,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,0.42409948,-1.06307340,-10.26425552,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.32749944,2.03395673,1.65623720,0.04475198,0.01288203,0.04274797,0.99799996
1.69866318,-0.99716884,0.06867125,0.00528721,0.03017681,0.04354974,0.08414382,-0.02372594,0.08414382,0.16755332,-0.06145536,-0.02372595,-0.06145537,0.47153713,-0.03510373,-0.18480825,0.24508518,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,0.16155119,-1.12071669,-10.58885574,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.33191113,2.03678667,1.65783373,0.04940059,0.01114873,0.04158414,0.99785071
1.71348327,-0.99705690,0.07020126,0.00649501,0.03011725,0.04395696,0.08456721,-0.02430925,0.08456721,0.16762621,-0.06203574,-0.02430925,-0.06203574,0.47185341,-0.04252822,-0.15908784,0.18937975,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,0.17594707,-0.82940996,-10.85120678,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-0.33534557,2.03890418,1.65923039,0.05217514,0.00973993,0.04101701,0.99774771
