time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w,cam_x,cam_y,cam_z,cam_rot_x,cam_rot_y,cam_rot_z,cam_w,gt_left_u,gt_left_v,gt_right_u,gt_right_v
0.15645148,31,858.50952236,312.06745801,816.28389721,311.99222622,0.80195232,0.69968573,2.25055683,0.01243707,0.17008427,0.01097686,0.98528981,0.77199461,0.54782692,2.21159561,0.56948342,0.58982670,0.40890817,-0.40073334,853.93858892,317.79108113,811.97600397,317.79108113
0.22645161,13,260.65569111,110.41611819,215.18076395,109.86058226,0.80276182,0.69919817,2.24969843,0.01309667,0.17181136,0.01398858,0.98494325,0.77354393,0.54725860,2.21049096,0.56894822,0.59168758,0.40975132,-0.39787886,247.48892846,112.71641366,203.56452509,112.71641366
0.22645161,31,855.08613326,314.11207102,812.38153858,314.03567875,0.80276182,0.69919817,2.24969843,0.01309667,0.17181136,0.01398858,0.98494325,0.77354393,0.54725860,2.21049096,0.56894822,0.59168758,0.40975132,-0.39787886,847.31905879,321.50976657,805.33846523,321.50976657
0.36645135,31,837.74530922,321.49270535,794.84166656,321.50275305,0.81170208,0.70010573,2.24617783,0.01453627,0.17899782,0.01741826,0.98358686,0.78289738,0.54812920,2.20680807,0.57076100,0.59562372,0.40802130,-0.39113026,838.39463651,336.98428788,796.36266475,336.98428788
0.42645161,31,832.63004885,331.55150198,790.23629137,331.82350538,0.81810305,0.70134300,2.24006986,0.00839202,0.18218239,0.01040559,0.98317378,0.78730684,0.54914803,2.20312634,0.57258688,0.59656654,0.39955072,-0.39574215,857.09447183,344.50788711,815.09574950,344.50788711
0.49645148,31,851.06573856,339.35921270,808.88905063,339.30504317,0.82022311,0.70284571,2.23711600,0.00819544,0.18363256,0.01168017,0.98289124,0.78971585,0.55057273,2.20025426,0.57240332,0.59788116,0.39924313,-0.39433168,853.98907735,348.01809565,811.95783290,348.01809565
1.09645148,13,257.47009570,167.98943901,211.61923915,167.43897027,0.85067858,0.70431040,2.21404887,0.00528177,0.20082719,0.01642799,0.97947464,0.82055637,0.55155513,2.17890606,0.57520353,0.60860828,0.39001249,-0.38291922,248.85556334,170.39210766,204.94637857,170.39210766
1.09645148,31,847.64044594,380.34217418,804.48437250,380.26659936,0.85067858,0.70431040,2.21404887,0.00528177,0.20082719,0.01642799,0.97947464,0.82055637,0.55155513,2.17890606,0.57520353,0.60860828,0.39001249,-0.38291922,844.45498930,386.49037815,802.11243770,386.49037815
1.43645148,31,816.68599057,392.33850511,773.34699765,392.28834261,0.85557196,0.70026497,2.21090159,0.01268959,0.20426818,0.02759549,0.97844357,0.82808104,0.54765251,2.17308328,0.57441239,0.61171517,0.39726318,-0.37153321,816.90284768,394.28887528,774.36277014,394.28887528
1.56645136,13,215.11545222,181.84612559,169.16993942,181.24516261,0.85595198,0.69788476,2.21273341,0.01336229,0.20213053,0.02592425,0.97892412,0.82807102,0.54540074,2.17468326,0.57480238,0.60972564,0.39804911,-0.37335477,211.40768112,175.03289604,166.75835879,175.03289604
1.56645136,31,823.12355683,392.91669704,780.29483288,392.64987610,0.85595198,0.69788476,2.21273341,0.01336229,0.20213053,0.02592425,0.97892412,0.82807102,0.54540074,2.17468326,0.57480238,0.60972564,0.39804911,-0.37335477,820.78962694,389.33694762,778.25087734,389.33694762
1.70645161,13,212.91529401,178.55427251,166.25228113,177.94635774,0.85594763,0.70015405,2.21404920,0.01354784,0.20297758,0.03059157,0.97861160,0.82939154,0.54750688,2.17570664,0.57276680,0.61220553,0.39993896,-0.37039359,196.77324451,172.80214694,151.85089027,172.80214694
1.70645161,31,818.94518050,389.98343219,775.75678192,389.77353647,0.85594763,0.70015405,2.21404920,0.01354784,0.20297758,0.03059157,0.97861160,0.82939154,0.54750688,2.17570664,0.57276680,0.61220553,0.39993896,-0.37039359,810.18482792,390.11803462,767.59755752,390.11803462
1.83645148,13,192.81349047,174.90344085,145.74583738,174.28872614,0.85626654,0.70376514,2.21323042,0.01807565,0.20389330,0.03931132,0.97803622,0.83196236,0.55121450,2.17305392,0.57076149,0.61446477,0.40594283,-0.36314568,162.29187516,173.47464066,116.72492838,173.47464066
1.83645148,31,805.21949420,388.94305947,761.94406003,388.91349519,0.85626654,0.70376514,2.21323042,0.01807565,0.20389330,0.03931132,0.97803622,0.83196236,0.55121450,2.17305392,0.57076149,0.61446477,0.40594283,-0.36314568,787.22072180,392.17585281,744.48427282,392.17585281
1.90645161,31,791.88839798,390.38511185,748.38698378,390.56167126,0.85666467,0.70570544,2.21223786,0.01984657,0.20445413,0.04329047,0.97771701,0.83339500,0.55319067,2.17131961,0.56973842,0.61568313,0.40843313,-0.35988164,776.80242585,393.52541927,733.98736908,393.52541927
1.96645136,13,152.95393687,176.65587239,105.05403603,175.76214388,0.85763670,0.70713204,2.21131245,0.01835048,0.20438303,0.04152349,0.97783761,0.83394127,0.55453614,2.17094466,0.56990951,0.61556779,0.40686599,-0.36157919,153.33399433,173.16951714,107.58602619,173.16951714
1.96645136,31,778.90231837,392.76138754,735.58171224,392.63745694,0.85763670,0.70713204,2.21131245,0.01835048,0.20438303,0.04152349,0.97783761,0.83394127,0.55453614,2.17094466,0.56990951,0.61556779,0.40686599,-0.36157919,781.11961433,393.29097546,738.31948715,393.29097546
2.03645148,13,149.24441408,177.36776752,101.76017503,176.76975123,0.85835939,0.70922472,2.21093823,0.01750396,0.20515132,0.04068105,0.97772769,0.83441041,0.55657616,2.17092073,0.57023247,0.61589858,0.40557336,-0.36195873,156.50914240,174.55627483,110.84171907,174.55627483
2.03645148,31,779.03230137,393.48434029,735.90273059,393.23652687,0.85835939,0.70922472,2.21093823,0.01750396,0.20515132,0.04068105,0.97772769,0.83441041,0.55657616,2.17092073,0.57023247,0.61589858,0.40557336,-0.36195873,782.74110448,394.85725027,739.95353743,394.85725027
2.63645148,13,110.32088125,187.68568192,61.65597447,187.25115295,0.86967448,0.72787934,2.19979269,0.02270273,0.21299051,0.05164483,0.97542423,0.84807471,0.57535768,2.15799400,0.56994521,0.62156050,0.40880062,-0.34886538,105.61123817,191.21668498,59.01844192,191.21668498
