time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w,cam_x,cam_y,cam_z,cam_rot_x,cam_rot_y,cam_rot_z,cam_w,gt_left_u,gt_left_v,gt_right_u,gt_right_v
0.15645148,31,858.50952236,312.06745801,816.28389721,311.99222622,0.80195232,0.69968573,2.25055683,0.01243707,0.17008427,0.01097686,0.98528981,0.76575189,0.54034677,2.19701082,0.55904086,0.41610998,0.39817700,0.59647371,2876.70708806,-9055.86929157,3251.81281900,-9055.86929157
0.22645161,13,260.65569111,110.41611819,215.18076395,109.86058226,0.80276182,0.69919817,2.24969843,0.01309667,0.17181136,0.01398858,0.98494325,0.76729384,0.53977593,2.19591061,0.55784327,0.41622866,0.39596648,0.59897842,1534.39635518,-1015.18210641,1599.07793844,-1015.18210641
0.22645161,31,855.08613326,314.11207102,812.38153858,314.03567875,0.80276182,0.69919817,2.24969843,0.01309667,0.17181136,0.01398858,0.98494325,0.76729384,0.53977593,2.19591061,0.55784327,0.41622866,0.39596648,0.59897842,2744.21090971,-8562.66630175,3100.23435487,-8562.66630175
0.36645135,31,837.74530922,321.49270535,794.84166656,321.50275305,0.81170208,0.70010573,2.24617783,0.01453627,0.17899782,0.01741826,0.98358686,0.77648377,0.54066145,2.19229123,0.55820678,0.41289786,0.39074660,0.60434894,2505.91034842,-7990.72872495,2839.99832579,-7990.72872495
0.42645161,31,832.63004885,331.55150198,790.23629137,331.82350538,0.81810305,0.70134300,2.24006986,0.00839202,0.18218239,0.01040559,0.98317378,0.78071418,0.54154276,2.18876190,0.56624322,0.41060773,0.38937804,0.59929513,2694.91387261,-9376.02081911,3082.74894717,-9376.02081911
0.49645148,31,851.06573856,339.35921270,808.88905063,339.30504317,0.82022311,0.70284571,2.23711600,0.00819544,0.18363256,0.01168017,0.98289124,0.78310100,0.54295099,2.18590877,0.56626119,0.41045750,0.38777728,0.60041792,2618.35997403,-9126.35046352,2996.73898109,-9126.35046352
1.09645148,13,257.47009570,167.98943901,211.61923915,167.43897027,0.85067858,0.70431040,2.21404887,0.00528177,0.20082719,0.01642799,0.97947464,0.81352816,0.54379841,2.16483204,0.57202454,0.40379514,0.37370733,0.60834221,1451.57712805,-1022.16675081,1516.49149554,-1022.16675081
1.09645148,31,847.64044594,380.34217418,804.48437250,380.26659936,0.85067858,0.70431040,2.21404887,0.00528177,0.20082719,0.01642799,0.97947464,0.81352816,0.54379841,2.16483204,0.57202454,0.40379514,0.37370733,0.60834221,2181.18292765,-8486.57391245,2537.09612127,-8486.57391245
1.43645148,31,816.68599057,392.33850511,773.34699765,392.28834261,0.85557196,0.70026497,2.21090159,0.01268959,0.20426818,0.02759549,0.97844357,0.82109591,0.54002969,2.15891497,0.56375228,0.40343730,0.36963339,0.61870257,1903.41190530,-6896.83137288,2198.18276976,-6896.83137288
1.56645136,13,215.11545222,181.84612559,169.16993942,181.24516261,0.85595198,0.69788476,2.21273341,0.01336229,0.20213053,0.02592425,0.97892412,0.82111932,0.53781368,2.16047936,0.56345801,0.40360713,0.37211483,0.61737097,1418.50316182,-944.94229711,1481.30239951,-944.94229711
1.56645136,31,823.12355683,392.91669704,780.29483288,392.64987610,0.85595198,0.69788476,2.21273341,0.01336229,0.20213053,0.02592425,0.97892412,0.82111932,0.53781368,2.16047936,0.56345801,0.40360713,0.37211483,0.61737097,1963.19617477,-7081.16056316,2265.24887245,-7081.16056316
1.70645161,13,212.91529401,178.55427251,166.25228113,177.94635774,0.85594763,0.70015405,2.21404920,0.01354784,0.20297758,0.03059157,0.97861160,0.82248532,0.53988821,2.16149748,0.56124193,0.40523935,0.36927755,0.62001827,1411.95368367,-916.51397686,1473.95031515,-916.51397686
1.70645161,31,818.94518050,389.98343219,775.75678192,389.77353647,0.85594763,0.70015405,2.21404920,0.01354784,0.20297758,0.03059157,0.97861160,0.82248532,0.53988821,2.16149748,0.56124193,0.40523935,0.36927755,0.62001827,1889.27045366,-6583.03697771,2171.97206706,-6583.03697771
1.83645148,13,192.81349047,174.90344085,145.74583738,174.28872614,0.85626654,0.70376514,2.21323042,0.01807565,0.20389330,0.03931132,0.97803622,0.82514264,0.54366705,2.15876520,0.55466620,0.40658682,0.36644473,0.62669835,1389.70738845,-853.91378557,1449.94026227,-853.91378557
1.83645148,31,805.21949420,388.94305947,761.94406003,388.91349519,0.85626654,0.70376514,2.21323042,0.01807565,0.20389330,0.03931132,0.97803622,0.82514264,0.54366705,2.15876520,0.55466620,0.40658682,0.36644473,0.62669835,1756.00325011,-5699.71742182,2004.64584772,-5699.71742182
1.90645161,31,791.88839798,390.38511185,748.38698378,390.56167126,0.85666467,0.70570544,2.21223786,0.01984657,0.20445413,0.04329047,0.97771701,0.82661134,0.54566718,2.15700111,0.55185639,0.40724462,0.36490264,0.62964467,1703.57180690,-5367.49993333,1939.46461000,-5367.49993333
1.96645136,13,152.95393687,176.65587239,105.05403603,175.76214388,0.85763670,0.70713204,2.21131245,0.01835048,0.20438303,0.04152349,0.97783761,0.82713961,0.54697989,2.15665198,0.55353944,0.40719864,0.36512686,0.62806507,1384.85035181,-838.48074720,1444.66599556,-838.48074720
1.96645136,31,778.90231837,392.76138754,735.58171224,392.63745694,0.85763670,0.70713204,2.21131245,0.01835048,0.20438303,0.04152349,0.97783761,0.82713961,0.54697989,2.15665198,0.55353944,0.40719864,0.36512686,0.62806507,1722.80637795,-5501.11788897,1963.92631660,-5501.11788897
2.03645148,13,149.24441408,177.36776752,101.76017503,176.76975123,0.85835939,0.70922472,2.21093823,0.01750396,0.20515132,0.04068105,0.97772769,0.82757765,0.54899910,2.15665392,0.55471839,0.40675076,0.36468674,0.62757065,1384.90279505,-843.98272802,1444.84615769,-843.98272802
2.03645148,31,779.03230137,393.48434029,735.90273059,393.23652687,0.85835939,0.70922472,2.21093823,0.01750396,0.20515132,0.04068105,0.97772769,0.82757765,0.54899910,2.15665392,0.55471839,0.40675076,0.36468674,0.62757065,1721.04330978,-5554.33785375,1964.20337353,-5554.33785375
2.63645148,13,110.32088125,187.68568192,61.65597447,187.25115295,0.86967448,0.72787934,2.19979269,0.02270273,0.21299051,0.05164483,0.97542423,0.84115838,0.56784596,2.14373290,0.54918673,0.40449875,0.35678918,0.63833860,1336.60104222,-762.58548582,1394.22407127,-762.58548582
2.63645148,31,749.87582401,407.66970443,706.16810983,407.51109628,0.86967448,0.72787934,2.19979269,0.02270273,0.21299051,0.05164483,0.97542423,0.84115838,0.56784596,2.14373290,0.54918673,0.40449875,0.35678918,0.63833860,1508.30758276,-4627.91117770,1716.40406196,-4627.91117770
2.77645148,13,103.63380438,193.28805754,54.87011734,192.78565299,0.87222854,0.73301097,2.19837822,0.02536501,0.21575108,0.05659508,0.97447681,0.84478133,0.57313208,2.14135246,0.54619504,0.40376909,0.35381499,0.64300579,1319.04037244,-729.95849391,1375.73808033,-729.95849391
2.77645148,31,745.40100810,413.27261827,701.41062376,413.10085765,0.87222854,0.73301097,2.19837822,0.02536501,0.21575108,0.05659508,0.97447681,0.84478133,0.57313208,2.14135246,0.54619504,0.40376909,0.35381499,0.64300579,1443.81139785,-4314.38465111,1639.93893225,-4314.38465111
2.83645148,13,87.30667613,194.56482015,38.27003162,194.15546662,0.87263009,0.73519733,2.19884933,0.02324294,0.21572175,0.05482360,0.97463721,0.84478948,0.57511132,2.14260055,0.54823707,0.40402613,0.35372096,0.64115558,1325.07950907,-741.80491052,1382.08835969,-741.80491052
2.83645148,31,734.95222339,415.12716131,691.05482458,415.05239728,0.87263009,0.73519733,2.19884933,0.02324294,0.21572175,0.05482360,0.97463721,0.84478948,0.57511132,2.14260055,0.54823707,0.40402613,0.35372096,0.64115558,1457.85500919,-4409.66707137,1657.62612666,-4409.66707137
2.97645148,13,97.28675129,191.09573802,49.10586093,190.34771858,0.87083060,0.73849430,2.20099856,0.02151454,0.21264443,0.05306847,0.97545024,0.84288619,0.57827495,2.14518263,0.54890479,0.40597259,0.35564716,0.63828277,1338.82798037,-750.84875910,1396.09746492,-750.84875910
2.97645148,31,743.64082499,411.93755625,700.03947201,411.59947427,0.87083060,0.73849430,2.20099856,0.02151454,0.21264443,0.05306847,0.97545024,0.84288619,0.57827495,2.14518263,0.54890479,0.40597259,0.35564716,0.63828277,1502.57932278,-4491.58827677,1705.45395855,-4491.58827677
3.50645161,13,100.98406753,183.46052652,52.34470434,182.95319839,0.87573569,0.74623441,2.19755059,0.02189799,0.21606016,0.05558957,0.97455005,0.84820243,0.58596001,2.14168837,0.54864847,0.40484713,0.35243724,0.64099270,1325.44805451,-733.03016881,1382.19884489,-733.03016881
3.50645161,31,741.60957417,409.33904197,697.66827900,409.22461288,0.87573569,0.74623441,2.19755059,0.02189799,0.21606016,0.05558957,0.97455005,0.84820243,0.58596001,2.14168837,0.54864847,0.40484713,0.35243724,0.64099270,1447.60948601,-4310.68145455,1643.73410176,-4310.68145455
3.97645148,13,94.05748686,206.93519584,45.83894928,206.53505542,0.89892361,0.75477159,2.17392247,0.01423640,0.22721734,0.04657344,0.97262543,0.86801889,0.59381540,2.12191711,0.56162320,0.39750502,0.34662199,0.63751262,1310.25242750,-785.62514121,1368.52318128,-785.62514121
3.97645148,31,741.12649414,431.32714338,697.40499545,431.27935606,0.89892361,0.75477159,2.17392247,0.01423640,0.22721734,0.04657344,0.97262543,0.86801889,0.59381540,2.12191711,0.56162320,0.39750502,0.34662199,0.63751262,1366.99414461,-4784.54560649,1582.86220278,-4784.54560649
4.04645136,13,110.96631234,211.56948612,62.98967706,211.08353146,0.90272515,0.75655523,2.16922903,0.01220559,0.22914066,0.04521653,0.97226592,0.87136462,0.59540552,2.11810334,0.56410438,0.39666989,0.34514381,0.63664354,1308.85006935,-795.17904208,1367.40958485,-795.17904208
