time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w
-0.02554723,13,247.99137083,541.08962352,202.79311525,541.20969961,0.50305033,0.93819381,0.93702855,0.02939991,0.12326947,-0.02893029,0.99151567
-0.02554723,31,855.10373459,704.77312707,811.46130786,704.49406773,0.50305033,0.93819381,0.93702855,0.02939991,0.12326947,-0.02893029,0.99151567
0.03445303,13,248.05256138,541.19351116,202.83440652,541.28468115,0.50311157,0.93818636,0.93689370,0.02865929,0.12393520,-0.02898033,0.99145289
0.03445303,31,855.19354372,704.79419327,811.50943043,704.49038511,0.50311157,0.93818636,0.93689370,0.02865929,0.12393520,-0.02898033,0.99145289
0.10445290,13,248.01139346,541.19798499,202.78583247,541.37439987,0.50309258,0.93818705,0.93695286,0.02928934,0.12336088,-0.02896650,0.99150651
0.10445290,31,855.09649860,704.83769272,811.47879134,704.58180845,0.50309258,0.93818705,0.93695286,0.02928934,0.12336088,-0.02896650,0.99150651
0.37445277,13,247.98179576,541.15132728,202.80532460,541.16157891,0.50304811,0.93817485,0.93710149,0.02884575,0.12325002,-0.02878649,0.99153855
0.37445277,31,855.08596085,704.77647797,811.45229686,704.49002396,0.50304811,0.93817485,0.93710149,0.02884575,0.12325002,-0.02878649,0.99153855
0.43445303,13,248.04960975,541.22489745,202.83695711,541.27682425,0.50305060,0.93818969,0.93707495,0.02899025,0.12319611,-0.02881557,0.99154019
0.43445303,31,855.13334727,704.80839655,811.50224378,704.50842255,0.50305060,0.93818969,0.93707495,0.02899025,0.12319611,-0.02881557,0.99154019
0.50445290,13,247.94781365,541.17997300,202.79526102,541.40606376,0.50304818,0.93817815,0.93703303,0.02898491,0.12325388,-0.02880191,0.99153356
0.50445290,31,855.07280209,704.83309975,811.45277634,704.54217332,0.50304818,0.93817815,0.93703303,0.02898491,0.12325388,-0.02880191,0.99153356
0.57445277,13,247.96925004,541.07075665,202.76182524,541.16219168,0.50302294,0.93813450,0.93699181,0.02966133,0.12328084,-0.02903481,0.99150341
0.57445277,31,855.08397543,704.68115829,811.47526339,704.52547887,0.50302294,0.93813450,0.93699181,0.02966133,0.12328084,-0.02903481,0.99150341
0.84445290,13,248.07926964,541.17892271,202.84487388,541.26316045,0.50301335,0.93817699,0.93706637,0.02906940,0.12326774,-0.02879658,0.99152952
0.84445290,31,855.18442174,704.71171429,811.52795139,704.50941027,0.50301335,0.93817699,0.93706637,0.02906940,0.12326774,-0.02879658,0.99152952
0.90445290,13,247.96921036,541.18596840,202.77281880,541.37044106,0.50302636,0.93819136,0.93710132,0.02928953,0.12315568,-0.02885529,0.99153526
0.90445290,31,855.16151887,704.88203434,811.42940322,704.56541001,0.50302636,0.93819136,0.93710132,0.02928953,0.12315568,-0.02885529,0.99153526
0.97445277,13,247.94993077,541.13015234,202.77117895,541.22053732,0.50302981,0.93818695,0.93708166,0.02906715,0.12322752,-0.02884243,0.99153321
0.97445277,31,855.09882467,704.70248713,811.46002448,704.50396530,0.50302981,0.93818695,0.93708166,0.02906715,0.12322752,-0.02884243,0.99153321
1.04445290,13,247.99526982,541.14093304,202.79564294,541.34221121,0.50302246,0.93815969,0.93702897,0.02924894,0.12328436,-0.02890620,0.99151897
1.04445290,31,855.18463375,704.75587531,811.50087641,704.46331922,0.50302246,0.93815969,0.93702897,0.02924894,0.12328436,-0.02890620,0.99151897
1.10445290,13,247.99229454,541.27506054,202.78199286,541.37335646,0.50300424,0.93812286,0.93695073,0.03007778,0.12338274,-0.02916754,0.99147430
1.10445290,31,855.11292415,704.80994964,811.42748432,704.58504643,0.50300424,0.93812286,0.93695073,0.03007778,0.12338274,-0.02916754,0.99147430
1.24445290,13,248.02872610,541.16126672,202.85840811,541.36558694,0.50306605,0.93817845,0.93706227,0.02899785,0.12319810,-0.02880240,0.99154010
1.24445290,31,855.18625069,704.75535719,811.52284656,704.50395825,0.50306605,0.93817845,0.93706227,0.02899785,0.12319810,-0.02880240,0.99154010
1.31445303,13,247.97950611,541.24734207,202.82564169,541.40617346,0.50306533,0.93816143,0.93710679,0.02894243,0.12328237,-0.02878083,0.99153187
1.31445303,31,855.12927253,704.88548857,811.44911250,704.53778713,0.50306533,0.93816143,0.93710679,0.02894243,0.12328237,-0.02878083,0.99153187
1.51445303,13,247.98133535,541.25153410,202.78447471,541.38093827,0.50302768,0.93819052,0.93705916,0.02951734,0.12314634,-0.02894968,0.99152691
1.51445303,31,855.11944257,704.79477035,811.45543637,704.51096875,0.50302768,0.93819052,0.93705916,0.02951734,0.12314634,-0.02894968,0.99152691
1.57445277,13,247.94405141,541.11412968,202.74059465,541.17646185,0.50303020,0.93818500,0.93705537,0.02891554,0.12339153,-0.02878575,0.99151894
1.57445277,31,855.17824126,704.76738477,811.47296272,704.50239034,0.50303020,0.93818500,0.93705537,0.02891554,0.12339153,-0.02878575,0.99151894
1.71445303,13,247.99499942,541.24069126,202.82977382,541.39204682,0.50300879,0.93814235,0.93697267,0.02988497,0.12352580,-0.02918660,0.99146175
1.71445303,31,855.14300510,704.88120497,811.46552373,704.51682123,0.50300879,0.93814235,0.93697267,0.02988497,0.12352580,-0.02918660,0.99146175
1.77445277,13,247.96197723,541.11971829,202.75977631,541.22901567,0.50303628,0.93814840,0.93702294,0.02911668,0.12341244,-0.02899877,0.99150423
1.77445277,31,855.08765276,704.77573846,811.45913451,704.53514453,0.50303628,0.93814840,0.93702294,0.02911668,0.12341244,-0.02899877,0.99150423
1.84445290,13,248.03675849,541.15573940,202.83126995,541.24478913,0.50304792,0.93816641,0.93710339,0.02939430,0.12303253,-0.02884681,0.99154770
1.84445290,31,855.12420371,704.72305081,811.50540418,704.48087470,0.50304792,0.93816641,0.93710339,0.02939430,0.12303253,-0.02884681,0.99154770
1.91445303,13,247.97357909,541.21642263,202.80335749,541.39753074,0.50303901,0.93816034,0.93705236,0.02927690,0.12336430,-0.02896103,0.99150662
1.91445303,31,855.11835032,704.89009558,811.44762809,704.51546088,0.50303901,0.93816034,0.93705236,0.02927690,0.12336430,-0.02896103,0.99150662
1.98445290,13,247.93522509,541.12863581,202.76541104,541.22506896,0.50303202,0.93818972,0.93704623,0.02916245,0.12312096,-0.02884812,0.99154353
1.98445290,31,855.11564588,704.79486666,811.45455822,704.52165373,0.50303202,0.93818972,0.93704623,0.02916245,0.12312096,-0.02884812,0.99154353
2.04445290,13,248.03123189,541.16726598,202.78715228,541.22709154,0.50299120,0.93815559,0.93694859,0.03003093,0.12333023,-0.02907241,0.99148504
2.04445290,31,855.14957437,704.77142931,811.51010178,704.49038321,0.50299120,0.93815559,0.93694859,0.03003093,0.12333023,-0.02907241,0.99148504
2.24445290,13,248.00693745,541.13384806,202.79371913,541.23238220,0.50296957,0.93812793,0.93695715,0.03005483,0.12331127,-0.02908020,0.99148645
2.24445290,31,855.15405327,704.75809451,811.51236002,704.44867655,0.50296957,0.93812793,0.93695715,0.03005483,0.12331127,-0.02908020,0.99148645
2.31445303,13,247.99042533,541.26670331,202.80181940,541.36477382,0.50298630,0.93812827,0.93693287,0.02986335,0.12355798,-0.02913306,0.99145997
2.31445303,31,855.16725781,704.89801975,811.50507712,704.58575461,0.50298630,0.93812827,0.93693287,0.02986335,0.12355798,-0.02913306,0.99145997
2.38445290,13,247.92894988,541.14781295,202.76654167,541.20143775,0.50299276,0.93813182,0.93694921,0.02996197,0.12336969,-0.02914957,0.99147995
2.38445290,31,855.09766196,704.76641714,811.46262098,704.51940044,0.50299276,0.93813182,0.93694921,0.02996197,0.12336969,-0.02914957,0.99147995
2.44445290,13,248.03370289,541.13893770,202.82574606,541.25049783,0.50299753,0.93816123,0.93692813,0.02965177,0.12347670,-0.02904965,0.99147889
2.44445290,31,855.14039861,704.74420744,811.51135296,704.49550343,0.50299753,0.93816123,0.93692813,0.02965177,0.12347670,-0.02904965,0.99147889
2.51445303,13,248.01406945,541.21578455,202.82865335,541.40731121,0.50298923,0.93815583,0.93691527,0.02987482,0.12353587,-0.02910966,0.99146307
2.51445303,31,855.12717715,704.82911245,811.46687737,704.49580607,0.50298923,0.93815583,0.93691527,0.02987482,0.12353587,-0.02910966,0.99146307
2.58445290,13,247.96274274,541.12997671,202.76811178,541.22629234,0.50297539,0.93815648,0.93695958,0.02973909,0.12333944,-0.02900299,0.99149473
2.58445290,31,855.08445613,704.78501489,811.39673147,704.46918002,0.50297539,0.93815648,0.93695958,0.02973909,0.12333944,-0.02900299,0.99149473
2.71445303,13,247.98939349,541.31115631,202.83114942,541.41616386,0.50297025,0.93816228,0.93693041,0.02966940,0.12347668,-0.02903806,0.99147871
2.71445303,31,855.16318138,704.87057738,811.52471558,704.59647705,0.50297025,0.93816228,0.93693041,0.02966940,0.12347668,-0.02903806,0.99147871
2.78445290,13,247.86204407,541.05163835,202.69812856,541.17571209,0.50294189,0.93812760,0.93693623,0.02993042,0.12334593,-0.02913669,0.99148424
2.78445290,31,855.05788351,704.71731149,811.41378928,704.48954131,0.50294189,0.93812760,0.93693623,0.02993042,0.12334593,-0.02913669,0.99148424
2.85445277,13,248.15178465,541.18509927,202.85866550,541.24563039,0.50291505,0.93813571,0.93691928,0.02987611,0.12349344,-0.02913247,0.99146764
2.85445277,31,855.20259695,704.71377758,811.60637781,704.40879094,0.50291505,0.93813571,0.93691928,0.02987611,0.12349344,-0.02913247,0.99146764
2.92445290,13,248.02324940,541.14337906,202.85290678,541.19905334,0.50292430,0.93813852,0.93691897,0.02992286,0.12344700,-0.02914256,0.99147172
2.92445290,31,855.20431831,704.71030442,811.56779367,704.41819381,0.50292430,0.93813852,0.93691897,0.02992286,0.12344700,-0.02914256,0.99147172
2.98445290,13,247.89247061,541.03720874,202.77052705,541.12519481,0.50290563,0.93813830,0.93691636,0.02987785,0.12345525,-0.02911592,0.99147283
2.98445290,31,855.11700471,704.72945774,811.45483346,704.45272413,0.50290563,0.93813830,0.93691636,0.02987785,0.12345525,-0.02911592,0.99147283
3.11445303,13,247.99342792,541.07314089,202.81772885,541.08599811,0.50286956,0.93812450,0.93699679,0.02985446,0.12342236,-0.02910556,0.99147794
3.11445303,31,855.16143107,704.64241481,811.56783224,704.30964752,0.50286956,0.93812450,0.93699679,0.02985446,0.12342236,-0.02910556,0.99147794
3.18445290,13,247.94663287,541.02834561,202.83714785,541.13272890,0.50282330,0.93813104,0.93707189,0.02981769,0.12319429,-0.02900333,0.99151040
3.18445290,31,855.11049081,704.61657249,811.49771201,704.47279237,0.50282330,0.93813104,0.93707189,0.02981769,0.12319429,-0.02900333,0.99151040
3.25445277,13,248.11128173,541.00844859,202.89521006,541.08743134,0.50281572,0.93813778,0.93702068,0.02998722,0.12328135,-0.02906597,0.99149264
3.25445277,31,855.28912029,704.47963144,811.61502102,704.18483528,0.50281572,0.93813778,0.93702068,0.02998722,0.12328135,-0.02906597,0.99149264
3.32445290,13,247.92607381,540.96647380,202.78242870,541.10672650,0.50285418,0.93812088,0.93696792,0.02997840,0.12335918,-0.02916282,0.99148038
3.32445290,31,855.16122312,704.58192983,811.57835237,704.32507304,0.50285418,0.93812088,0.93696792,0.02997840,0.12335918,-0.02916282,0.99148038
3.38445290,13,248.03666029,541.04479284,202.84679364,541.16630925,0.50284106,0.93813793,0.93696022,0.02991526,0.12341060,-0.02908245,0.99147825
3.38445290,31,855.13339803,704.69804255,811.56168774,704.41506515,0.50284106,0.93813793,0.93696022,0.02991526,0.12341060,-0.02908245,0.99147825
3.45445277,13,248.05612528,541.02475125,202.91944458,541.09481088,0.50283699,0.93815001,0.93696045,0.03001931,0.12325596,-0.02910265,0.99149374
3.45445277,31,855.27773460,704.53326493,811.62777861,704.28731125,0.50283699,0.93815001,0.93696045,0.03001931,0.12325596,-0.02910265,0.99149374
3.52445290,13,247.98678848,541.00430654,202.87248335,541.15153042,0.50286796,0.93818431,0.93685295,0.02971712,0.12366923,-0.02911750,0.99145095
3.52445290,31,855.24044610,704.54818255,811.58270702,704.31629704,0.50286796,0.93818431,0.93685295,0.02971712,0.12366923,-0.02911750,0.99145095
3.65445277,13,247.94759941,540.98616778,202.88444549,541.00377901,0.50280837,0.93818835,0.93682861,0.02971200,0.12362200,-0.02907920,0.99145812
3.65445277,31,855.14208922,704.60083506,811.51506507,704.26858094,0.50280837,0.93818835,0.93682861,0.02971200,0.12362200,-0.02907920,0.99145812
3.72445290,13,247.98160437,540.98477344,202.95467635,541.08978453,0.50281878,0.93819766,0.93683569,0.02973277,0.12363603,-0.02906319,0.99145622
3.72445290,31,855.27616774,704.54000343,811.61406995,704.21388758,0.50281878,0.93819766,0.93683569,0.02973277,0.12363603,-0.02906319,0.99145622
3.78445290,13,248.08882340,540.95372200,202.84865245,541.00235648,0.50282778,0.93821755,0.93683222,0.02965357,0.12365330,-0.02906894,0.99145626
3.78445290,31,855.16612676,704.53739252,811.53755701,704.29985964,0.50282778,0.93821755,0.93683222,0.02965357,0.12365330,-0.02906894,0.99145626
3.85445277,13,247.97790129,540.93786903,202.83625283,541.02338311,0.50280286,0.93820226,0.93684865,0.02966988,0.12361177,-0.02909752,0.99146012
3.85445277,31,855.14069906,704.55023820,811.53133038,704.28522984,0.50280286,0.93820226,0.93684865,0.02966988,0.12361177,-0.02909752,0.99146012
3.92445290,13,248.06324270,540.99169175,203.00270309,541.08174114,0.50278768,0.93821386,0.93683758,0.02970876,0.12363548,-0.02905929,0.99145712
3.92445290,31,855.33264476,704.53747080,811.61644514,704.20909731,0.50278768,0.93821386,0.93683758,0.02970876,0.12363548,-0.02905929,0.99145712
3.99445303,13,248.00126966,540.87781256,202.80020350,540.94857943,0.50277872,0.93820197,0.93685306,0.02962935,0.12363979,-0.02909604,0.99145788
3.99445303,31,855.12905725,704.60299574,811.53245460,704.29627100,0.50277872,0.93820197,0.93685306,0.02962935,0.12363979,-0.02909604,0.99145788
4.05445277,13,248.10556127,540.90635970,202.88423871,540.85412231,0.50277102,0.93818475,0.93686051,0.02973625,0.12361957,-0.02908972,0.99145738
4.05445277,31,855.26750686,704.40474920,811.53872038,704.14539611,0.50277102,0.93818475,0.93686051,0.02973625,0.12361957,-0.02908972,0.99145738
4.19445303,13,248.01422070,540.85583619,202.86935821,540.94824894,0.50267053,0.93818409,0.93689965,0.02973982,0.12355601,-0.02907668,0.99146558
4.19445303,31,855.16034821,704.53533302,811.51127880,704.18155945,0.50267053,0.93818409,0.93689965,0.02973982,0.12355601,-0.02907668,0.99146558
4.32445290,13,248.21635819,540.77740556,203.02278340,540.82963668,0.50267710,0.93819061,0.93688258,0.02967919,0.12358829,-0.02909108,0.99146295
4.32445290,31,855.33760829,704.32027050,811.61059765,704.03729736,0.50267710,0.93819061,0.93688258,0.02967919,0.12358829,-0.02909108,0.99146295
4.45445277,13,248.18035434,540.84013506,203.01336076,540.93373193,0.50263934,0.93813034,0.93698876,0.02994239,0.12332550,-0.02907258,0.99148830
4.45445277,31,855.26763040,704.39809935,811.54264793,704.13567438,0.50263934,0.93813034,0.93698876,0.02994239,0.12332550,-0.02907258,0.99148830
4.52445290,13,247.96407084,541.02771208,202.78785681,541.12637889,0.50236892,0.93807005,0.93709439,0.02969560,0.12333003,-0.02916816,0.99149236
4.52445290,31,855.13814069,704.59287537,811.51584212,704.24302623,0.50236892,0.93807005,0.93709439,0.02969560,0.12333003,-0.02916816,0.99149236
4.65445277,13,248.60905334,540.18718953,203.38907748,540.28594258,0.50229554,0.93810604,0.93709051,0.02965464,0.12338985,-0.02918103,0.99148576
4.65445277,31,855.50459841,703.63690042,811.86132845,703.41535869,0.50229554,0.93810604,0.93709051,0.02965464,0.12338985,-0.02918103,0.99148576
4.79445303,13,248.33519756,540.38025222,203.15840956,540.39491874,0.50247913,0.93813865,0.93726146,0.02900711,0.12323018,-0.02898879,0.99153038
4.79445303,31,855.36235639,703.92368468,811.64398478,703.66466265,0.50247913,0.93813865,0.93726146,0.02900711,0.12323018,-0.02898879,0.99153038
4.86445290,13,248.38849254,540.49502574,203.27401179,540.61594505,0.50250326,0.93820082,0.93743752,0.02892160,0.12281551,-0.02865355,0.99159410
4.86445290,31,855.44508271,704.11104954,811.70474414,703.76545206,0.50250326,0.93820082,0.93743752,0.02892160,0.12281551,-0.02865355,0.99159410
4.92445290,13,248.37069618,540.38375947,203.20601381,540.50609245,0.50261969,0.93816075,0.93744547,0.02894058,0.12337908,-0.02895095,0.99151492
4.92445290,31,855.29027937,703.90671470,811.64812886,703.65674171,0.50261969,0.93816075,0.93744547,0.02894058,0.12337908,-0.02895095,0.99151492
4.99445303,13,248.25906121,540.43514803,203.04534943,540.55582307,0.50270996,0.93807347,0.93734875,0.02875938,0.12440370,-0.02961115,0.99137268
4.99445303,31,855.32993463,704.14519194,811.61537540,703.81471625,0.50270996,0.93807347,0.93734875,0.02875938,0.12440370,-0.02961115,0.99137268
5.06445290,13,248.36772328,540.63070545,203.19124224,540.72669040,0.50270294,0.93809567,0.93749278,0.02874594,0.12320262,-0.02913382,0.99153719
5.06445290,31,855.42370321,704.13955113,811.75314546,703.79780335,0.50270294,0.93809567,0.93749278,0.02874594,0.12320262,-0.02913382,0.99153719
5.12445290,13,248.42397959,540.46783518,203.29062666,540.60845662,0.50299623,0.93801850,0.93752729,0.02855011,0.12408101,-0.02974525,0.99141515
5.12445290,31,855.41814683,703.83387232,811.74216175,703.60873365,0.50299623,0.93801850,0.93752729,0.02855011,0.12408101,-0.02974525,0.99141515
5.19445303,13,248.06956415,540.68009745,202.88958178,540.81283774,0.50307971,0.93784103,0.93754433,0.02828050,0.12407287,-0.03030439,0.99140694
5.19445303,31,855.09126259,704.59073733,811.48239576,704.34795629,0.50307971,0.93784103,0.93754433,0.02828050,0.12407287,-0.03030439,0.99140694
5.26445290,13,248.27363763,540.77073067,203.10883269,540.78598493,0.50290655,0.93797256,0.93734930,0.02826265,0.12441052,-0.02987065,0.99137833
5.26445290,31,855.38550136,704.32867325,811.76761885,703.94500786,0.50290655,0.93797256,0.93734930,0.02826265,0.12441052,-0.02987065,0.99137833
5.32445290,13,248.47566417,540.37344421,203.27389203,540.48764939,0.50277693,0.93810773,0.93721335,0.02875036,0.12365424,-0.02903663,0.99148367
5.32445290,31,855.28038479,703.83862788,811.65111117,703.53573071,0.50277693,0.93810773,0.93721335,0.02875036,0.12365424,-0.02903663,0.99148367
5.46445290,13,248.34839460,540.78360527,203.24673002,540.86427632,0.50261252,0.93820369,0.93727588,0.02903128,0.12294390,-0.02887085,0.99156869
5.46445290,31,855.41741954,704.25202404,811.70979894,703.98063477,0.50261252,0.93820369,0.93727588,0.02903128,0.12294390,-0.02887085,0.99156869
5.53445277,13,248.22370970,540.54927497,203.10939081,540.60820179,0.50266417,0.93814953,0.93725466,0.02893772,0.12308517,-0.02878692,0.99155633
5.53445277,31,855.29655334,704.08689291,811.58316831,703.74911842,0.50266417,0.93814953,0.93725466,0.02893772,0.12308517,-0.02878692,0.99155633
5.66445290,13,248.40178718,540.85152198,203.27747542,540.92161759,0.50263554,0.93814894,0.93729770,0.02867806,0.12342780,-0.02912673,0.99151136
5.66445290,31,855.43490588,704.32898227,811.73877293,704.01344503,0.50263554,0.93814894,0.93729770,0.02867806,0.12342780,-0.02912673,0.99151136
5.79445303,13,248.26116982,540.50781539,203.17969679,540.67755789,0.50281905,0.93808790,0.93726666,0.02877317,0.12337107,-0.02913872,0.99151530
5.79445303,31,855.38569439,704.23335125,811.65636123,703.89194924,0.50281905,0.93808790,0.93726666,0.02877317,0.12337107,-0.02913872,0.99151530
5.93445277,13,248.22017906,540.61181049,203.05607979,540.62980382,0.50281758,0.93811788,0.93729618,0.02873835,0.12318246,-0.02899777,0.99154385
5.93445277,31,855.31653913,704.15338755,811.57244528,703.91094464,0.50281758,0.93811788,0.93729618,0.02873835,0.12318246,-0.02899777,0.99154385
5.99445303,13,248.37094889,540.69553941,203.25403467,540.84367890,0.50292492,0.93808600,0.93729648,0.02887996,0.12381695,-0.02977360,0.99143776
5.99445303,31,855.40363317,704.34802912,811.75591853,703.95466554,0.50292492,0.93808600,0.93729648,0.02887996,0.12381695,-0.02977360,0.99143776
6.06445290,13,247.98959996,540.48106132,202.89352154,540.60340065,0.50290483,0.93814408,0.93716511,0.02851145,0.12376120,-0.02904879,0.99147689
6.06445290,31,855.18391820,704.23669494,811.42690600,703.92852192,0.50290483,0.93814408,0.93716511,0.02851145,0.12376120,-0.02904879,0.99147689
6.13445277,13,248.45013615,540.98560612,203.34451349,541.09016274,0.50275512,0.93822333,0.93712022,0.02965157,0.12306672,-0.02897730,0.99153198
6.13445277,31,855.50030819,704.51351455,811.94011228,704.19126822,0.50275512,0.93822333,0.93712022,0.02965157,0.12306672,-0.02897730,0.99153198
6.20445290,13,248.04625129,540.69898853,202.92784809,540.87127478,0.50261168,0.93817031,0.93708533,0.02985717,0.12325904,-0.02918427,0.99149586
6.20445290,31,855.11203384,704.56001397,811.50198593,704.24609026,0.50261168,0.93817031,0.93708533,0.02985717,0.12325904,-0.02918427,0.99149586
6.33445277,13,248.60131533,540.85802219,203.37971960,540.94580980,0.50264915,0.93824782,0.93696323,0.02964298,0.12358848,-0.02908101,0.99146431
6.33445277,31,855.48095740,704.33280377,811.81713378,704.07103376,0.50264915,0.93824782,0.93696323,0.02964298,0.12358848,-0.02908101,0.99146431
6.53445277,13,248.32661101,540.78623212,203.19057329,540.85219283,0.50270642,0.93821166,0.93699835,0.02967438,0.12334000,-0.02904517,0.99149536
6.53445277,31,855.43218892,704.36730767,811.77504673,704.00018124,0.50270642,0.93821166,0.93699835,0.02967438,0.12334000,-0.02904517,0.99149536
6.80445290,13,248.19235580,541.03877800,202.97240775,541.09958327,0.50268323,0.93822702,0.93704507,0.02972980,0.12327186,-0.02909026,0.99150085
6.80445290,31,855.38365478,704.62285572,811.68528858,704.33329734,0.50268323,0.93822702,0.93704507,0.02972980,0.12327186,-0.02909026,0.99150085
6.87445303,13,248.22372487,540.61751954,202.97583323,540.70484356,0.50272697,0.93826705,0.93709480,0.02947804,0.12314374,-0.02896969,0.99152782
6.87445303,31,855.28365681,704.30553573,811.57171786,703.98504503,0.50272697,0.93826705,0.93709480,0.02947804,0.12314374,-0.02896969,0.99152782
6.93445277,13,248.39994554,540.71617547,203.13493748,540.82118092,0.50282095,0.93823735,0.93709660,0.02881564,0.12352108,-0.02900147,0.99149943
6.93445277,31,855.40321877,704.34538889,811.68438215,704.09741909,0.50282095,0.93823735,0.93709660,0.02881564,0.12352108,-0.02900147,0.99149943
7.07445303,13,248.32493919,540.83713137,203.17800057,540.90812093,0.50287303,0.93819435,0.93721192,0.02879082,0.12333626,-0.02931356,0.99151397
7.07445303,31,855.39922472,704.44344194,811.67109531,704.17910547,0.50287303,0.93819435,0.93721192,0.02879082,0.12333626,-0.02931356,0.99151397
7.20445290,13,248.33721496,540.77171638,203.19166273,540.90290329,0.50277937,0.93826402,0.93717507,0.02901179,0.12316966,-0.02881476,0.99154287
7.20445290,31,855.43327578,704.40578971,811.79226860,704.13583745,0.50277937,0.93826402,0.93717507,0.02901179,0.12316966,-0.02881476,0.99154287
7.27445303,13,248.28564334,540.68867266,203.03349805,540.79148585,0.50277599,0.93829884,0.93718333,0.02907931,0.12297888,-0.02880075,0.99156498
7.27445303,31,855.30538764,704.34363043,811.57893679,704.04088346,0.50277599,0.93829884,0.93718333,0.02907931,0.12297888,-0.02880075,0.99156498
7.40445290,13,248.34792729,540.82982971,203.20635603,540.90857096,0.50275670,0.93828818,0.93719247,0.02902758,0.12298842,-0.02875296,0.99156669
7.40445290,31,855.46928952,704.45414464,811.79098705,704.16572224,0.50275670,0.93828818,0.93719247,0.02902758,0.12298842,-0.02875296,0.99156669
7.74445290,13,248.27872882,540.80222906,203.15910799,540.92916944,0.50270001,0.93820274,0.93702493,0.02990727,0.12332380,-0.02914143,0.99148755
7.74445290,31,855.45522840,704.38354601,811.74797741,704.12189561,0.50270001,0.93820274,0.93702493,0.02990727,0.12332380,-0.02914143,0.99148755
7.80445290,13,248.27703299,540.81493891,203.09797443,540.90289038,0.50270593,0.93822347,0.93699114,0.02982163,0.12338993,-0.02911137,0.99148279
7.80445290,31,855.35959763,704.45152589,811.65171456,704.16354458,0.50270593,0.93822347,0.93699114,0.02982163,0.12338993,-0.02911137,0.99148279
7.87445303,13,248.16118906,540.63878789,202.91137055,540.67791141,0.50269987,0.93818747,0.93702186,0.02996617,0.12328343,-0.02916879,0.99148999
7.87445303,31,855.24850831,704.33618715,811.51898838,704.07089514,0.50269987,0.93818747,0.93702186,0.02996617,0.12328343,-0.02916879,0.99148999
7.94445290,13,248.37203861,540.90139366,203.22608423,540.97233198,0.50268917,0.93822447,0.93699990,0.02981031,0.12337299,-0.02910890,0.99148531
