time_s,apriltag_id,left_u,left_v,right_u,right_v,x,y,z,rot_x,rot_y,rot_z,w,cam_x,cam_y,cam_z,cam_rot_x,cam_rot_y,cam_rot_z,cam_w,valid_frame,gt_left_u,gt_left_v,gt_right_u,gt_right_v
-0.02554723,13,247.99137083,541.08962352,202.79311525,541.20969961,0.50305033,0.93819381,0.93702855,0.02939991,0.12326947,-0.02893029,0.99151567,0.48096702,0.78715736,0.90863235,0.58043279,0.54299056,0.42374677,-0.43439349,1.00000000,228.03076870,540.92581895,183.74181426,540.92581895
-0.02554723,31,855.10373459,704.77312707,811.46130786,704.49406773,0.50305033,0.93819381,0.93702855,0.02939991,0.12326947,-0.02893029,0.99151567,0.48096702,0.78715736,0.90863235,0.58043279,0.54299056,0.42374677,-0.43439349,1.00000000,842.41471293,704.56757929,798.96516098,704.56757929
0.03445303,13,248.05256138,541.19351116,202.83440652,541.28468115,0.50311157,0.93818636,0.93689370,0.02865929,0.12393520,-0.02898033,0.99145289,0.48100716,0.78710661,0.90874535,0.58038042,0.54362967,0.42298083,-0.43441060,1.00000000,228.50256473,541.24089510,184.22199670,541.24089510
0.03445303,31,855.19354372,704.79419327,811.50943043,704.49038511,0.50311157,0.93818636,0.93689370,0.02865929,0.12393520,-0.02898033,0.99145289,0.48100716,0.78710661,0.90874535,0.58038042,0.54362967,0.42298083,-0.43441060,1.00000000,842.49174250,705.82507076,799.03413401,705.82507076
0.10445290,13,248.01139346,541.19798499,202.78583247,541.37439987,0.50309258,0.93818705,0.93695286,0.02928934,0.12336088,-0.02896650,0.99150651,0.48099782,0.78714516,0.90859449,0.58043596,0.54306786,0.42362203,-0.43441429,1.00000000,228.18156443,540.97876184,183.89494168,540.97876184
0.10445290,31,855.09649860,704.83769272,811.47879134,704.58180845,0.50309258,0.93818705,0.93695286,0.02928934,0.12336088,-0.02896650,0.99150651,0.48099782,0.78714516,0.90859449,0.58043596,0.54306786,0.42362203,-0.43441429,1.00000000,842.49022171,704.75682111,799.03923330,704.75682111
0.37445277,13,247.98179576,541.15132728,202.80532460,541.16157891,0.50304811,0.93817485,0.93710149,0.02884575,0.12325002,-0.02878649,0.99153855,0.48102912,0.78709892,0.90886584,0.58008225,0.54333429,0.42355493,-0.43461897,1.00000000,227.84352039,539.95804958,183.55083656,539.95804958
0.37445277,31,855.08596085,704.77647797,811.45229686,704.49002396,0.50304811,0.93817485,0.93710149,0.02884575,0.12325002,-0.02878649,0.99153855,0.48102912,0.78709892,0.90886584,0.58008225,0.54333429,0.42355493,-0.43461897,1.00000000,842.10019047,704.29984910,798.65059545,704.29984910
0.43445303,13,248.04960975,541.22489745,202.83695711,541.27682425,0.50305060,0.93818969,0.93707495,0.02899025,0.12319611,-0.02881557,0.99154019,0.48102029,0.78712368,0.90879507,0.58014429,0.54322310,0.42364208,-0.43459021,1.00000000,227.86131604,540.08519475,183.56901409,540.08519475
0.43445303,31,855.13334727,704.80839655,811.50224378,704.50842255,0.50305060,0.93818969,0.93707495,0.02899025,0.12319611,-0.02881557,0.99154019,0.48102029,0.78712368,0.90879507,0.58014429,0.54322310,0.42364208,-0.43459021,1.00000000,842.16212097,704.24190516,798.71315891,704.24190516
0.50445290,13,247.94781365,541.17997300,202.79526102,541.40606376,0.50304818,0.93817815,0.93703303,0.02898491,0.12325388,-0.02880191,0.99153356,0.48101932,0.78711134,0.90875623,0.58015952,0.54325809,0.42361438,-0.43455315,1.00000000,227.82356681,540.21222765,183.53033559,540.21222765
0.50445290,31,855.07280209,704.83309975,811.45277634,704.54217332,0.50304818,0.93817815,0.93703303,0.02898491,0.12325388,-0.02880191,0.99153356,0.48101932,0.78711134,0.90875623,0.58015952,0.54325809,0.42361438,-0.43455315,1.00000000,842.13413528,704.38291426,798.68413129,704.38291426
